k;seed;inf;tim
0;21;0.000000;0.008837
1;104;0.000000;0.013305
2;68;0.000000;0.016656
3;80;0.000000;0.019853
4;90;0.000000;0.022932
5;81;0.000000;0.025970
6;103;0.000000;0.029016
7;12;0.000000;0.032233
8;7;0.000000;0.035444
9;66;0.000000;0.038575
10;85;0.000000;0.041536
11;0;0.000000;0.044534
12;108;0.000000;0.047733
13;2;0.000000;0.050938
14;99;0.000000;0.053977
15;74;0.000000;0.056975
16;49;0.000000;0.060050
17;96;0.000000;0.066149
18;59;0.000000;0.077538
19;106;0.000000;0.080893
20;33;0.000000;0.083848
21;41;0.000000;0.086836
22;100;0.000000;0.089788
23;54;0.000000;0.092786
24;101;0.000000;0.095675
25;3;0.000000;0.098560
26;82;0.000000;0.101416
27;98;0.000000;0.104278
28;51;0.000000;0.107093
29;105;0.000000;0.109905
30;13;0.000000;0.112713
31;73;0.000000;0.115489
32;46;0.000000;0.118238
33;31;0.000000;0.120970
34;61;0.000000;0.123718
35;42;0.000000;0.126405
36;78;0.000000;0.129066
37;94;0.000000;0.131715
38;89;0.000000;0.134323
39;64;0.000000;0.136888
40;93;0.000000;0.139433
41;56;0.000000;0.142018
42;76;0.000000;0.144506
43;52;0.000000;0.146961
44;6;0.000000;0.149386
45;97;0.000000;0.151808
46;102;0.000000;0.154185
47;86;0.000000;0.156520
48;57;0.000000;0.158826
49;87;0.000000;0.161102
50;20;0.000000;0.163354
51;30;0.000000;0.165575
52;69;0.000000;0.167775
53;43;0.000000;0.169933
54;84;0.000000;0.172063
55;71;0.000000;0.174168
56;70;0.000000;0.176226
57;83;0.000000;0.178258
58;26;0.000000;0.180250
59;32;0.000000;0.182231
60;55;0.000000;0.184163
61;16;0.000000;0.186057
62;34;0.000000;0.187924
63;107;0.000000;0.189762
64;36;0.000000;0.191571
65;60;0.000000;0.193343
66;53;0.000000;0.195079
67;95;0.000000;0.196769
68;91;0.000000;0.198449
69;88;0.000000;0.200085
70;11;0.000000;0.201663
71;79;0.000000;0.203210
72;24;0.000000;0.204721
73;72;0.000000;0.206224
74;77;0.000000;0.207688
75;109;0.000000;0.209089
76;35;0.000000;0.210454
77;65;0.000000;0.211785
78;67;0.000000;0.213072
79;27;0.000000;0.214360
80;40;0.000000;0.215600
81;58;0.000000;0.216777
82;29;0.000000;0.217914
83;92;0.000000;0.219043
84;48;0.000000;0.220132
85;47;0.000000;0.221154
86;63;0.000000;0.222164
87;19;0.000000;0.223133
88;17;0.000000;0.224031
89;44;0.000000;0.224892
90;23;0.000000;0.225717
91;4;0.333333;0.226501
92;62;0.000000;0.227242
93;75;0.000000;0.227943
94;5;0.333333;0.228605
95;9;0.333333;0.229225
96;1;0.666667;0.229806
97;39;0.333333;0.230383
98;50;0.333333;0.230901
99;38;0.333333;0.231360
