k;seed;inf;tim
0;263;0.000000;0.000131
1;59;0.000000;0.002551
2;466;0.000000;0.005255
3;240;0.000000;0.008409
4;97;0.000000;0.011916
5;309;0.000000;0.015521
6;256;0.000000;0.019305
7;142;0.000000;0.023313
8;69;0.000000;0.027476
9;84;0.000000;0.031864
10;336;0.000000;0.036412
11;499;0.000000;0.041163
12;95;0.000000;0.046098
13;391;0.000000;0.051258
14;173;0.000000;0.056586
15;485;0.000000;0.062078
16;64;0.000000;0.067761
17;188;0.000000;0.073613
18;285;0.000200;0.079676
19;369;0.000100;0.085966
20;80;0.000100;0.092478
21;397;0.000000;0.099312
22;46;0.000100;0.106315
23;244;0.000200;0.113520
24;383;0.000400;0.120921
25;132;0.000300;0.128474
26;231;0.000600;0.136233
27;20;0.000500;0.144192
28;358;0.000700;0.152489
29;470;0.001400;0.160973
30;47;0.001800;0.169613
31;337;0.001800;0.178455
32;474;0.002300;0.187613
33;226;0.002500;0.197229
34;86;0.002900;0.206997
35;487;0.003200;0.216921
36;128;0.004300;0.227139
37;330;0.004800;0.237633
38;83;0.004400;0.248590
39;387;0.006000;0.259877
40;9;0.005200;0.271508
41;271;0.005700;0.283323
42;307;0.006200;0.295421
43;42;0.006800;0.307735
44;462;0.007500;0.320300
45;360;0.007600;0.333082
46;498;0.008500;0.346019
47;465;0.008900;0.359166
48;161;0.008900;0.372497
49;118;0.008700;0.386001
50;0;0.010500;0.399722
51;269;0.012500;0.413586
52;15;0.011200;0.427688
53;49;0.013200;0.442010
54;30;0.013700;0.456512
55;300;0.014300;0.471169
56;365;0.015600;0.486158
57;223;0.016500;0.501290
58;287;0.016400;0.516660
59;37;0.017500;0.532224
60;283;0.017600;0.547973
61;278;0.020200;0.563932
62;187;0.020200;0.580050
63;77;0.019800;0.596265
64;65;0.021000;0.612559
65;370;0.020800;0.629017
66;78;0.020900;0.645535
67;182;0.021300;0.662130
68;322;0.020100;0.679047
69;270;0.021400;0.696132
70;338;0.022800;0.713009
71;248;0.023200;0.730070
72;332;0.022100;0.747260
73;158;0.023800;0.764517
74;468;0.022800;0.781892
75;374;0.024500;0.799314
76;218;0.024800;0.816930
77;491;0.023500;0.834594
78;404;0.024500;0.852349
79;315;0.025700;0.870199
80;301;0.023700;0.888078
81;11;0.025700;0.906046
82;392;0.025400;0.924120
83;424;0.027400;0.942350
84;481;0.027200;0.960658
85;464;0.029300;0.979098
86;58;0.030100;0.997601
87;342;0.031100;1.016216
88;146;0.033900;1.034991
89;29;0.033700;1.053875
90;261;0.036500;1.072852
91;23;0.036100;1.091956
92;41;0.037300;1.111223
93;380;0.039800;1.130625
94;334;0.038600;1.150126
95;419;0.041800;1.169735
96;235;0.043600;1.189432
97;302;0.042300;1.209249
98;296;0.045100;1.229153
99;331;0.047700;1.249136
100;405;0.042900;1.269252
101;123;0.047300;1.289427
102;493;0.052000;1.309705
103;230;0.053700;1.330022
104;323;0.055000;1.350449
105;477;0.053500;1.370965
106;43;0.051100;1.391552
107;122;0.054500;1.412253
108;170;0.057900;1.433036
109;136;0.058500;1.453873
110;427;0.058300;1.474809
111;194;0.058400;1.495813
112;254;0.058400;1.516911
113;203;0.059600;1.538085
114;295;0.060600;1.559302
115;171;0.059100;1.580761
116;227;0.059800;1.602359
117;467;0.061700;1.623787
118;63;0.060200;1.645288
119;211;0.061300;1.666801
120;475;0.061000;1.688416
121;257;0.060500;1.710097
122;274;0.061000;1.731821
123;138;0.061000;1.753645
124;109;0.060700;1.775558
125;478;0.060000;1.797491
126;114;0.064400;1.819475
127;96;0.062800;1.841512
128;417;0.062600;1.863610
129;325;0.063700;1.885790
130;432;0.061700;1.908026
131;488;0.062500;1.930350
132;490;0.060200;1.952705
133;81;0.063700;1.975135
134;208;0.065500;1.997597
135;289;0.063600;2.020130
136;426;0.064800;2.042734
137;70;0.063100;2.065336
138;408;0.065000;2.087990
139;193;0.066700;2.110692
140;418;0.066800;2.133417
141;50;0.064900;2.156202
142;354;0.068300;2.179072
143;446;0.066500;2.202014
144;143;0.067300;2.225015
145;55;0.068600;2.248079
146;299;0.071300;2.271201
147;456;0.070100;2.294372
148;6;0.073000;2.317610
149;184;0.074100;2.340926
150;280;0.079100;2.364897
151;388;0.079900;2.388438
152;471;0.080500;2.412077
153;229;0.081000;2.435774
154;139;0.084800;2.459549
155;102;0.083900;2.483427
156;99;0.084900;2.507837
157;411;0.086600;2.531969
158;131;0.084100;2.556125
159;236;0.089300;2.580388
160;356;0.086900;2.604764
161;255;0.089200;2.629214
162;110;0.088800;2.653736
163;155;0.090500;2.678311
164;395;0.092900;2.703008
165;313;0.090400;2.727766
166;463;0.098600;2.752598
167;452;0.096400;2.777549
168;242;0.098600;2.802620
169;413;0.099700;2.828540
170;484;0.102000;2.855004
171;377;0.102700;2.881289
172;403;0.098500;2.906662
173;174;0.097600;2.932088
174;259;0.096900;2.957586
175;444;0.100900;2.983292
176;346;0.100200;3.008957
177;410;0.099900;3.035078
178;160;0.100800;3.061019
179;24;0.103200;3.086841
180;435;0.102100;3.112686
181;384;0.103400;3.139387
182;183;0.103200;3.166669
183;144;0.105700;3.193969
184;186;0.103700;3.221364
185;344;0.106600;3.248780
186;56;0.105600;3.276259
187;220;0.108300;3.303821
188;2;0.104700;3.331414
189;451;0.105400;3.359072
190;163;0.106600;3.386779
191;453;0.110000;3.414543
192;28;0.109900;3.442372
193;140;0.108200;3.470278
194;314;0.108700;3.498272
