k;seed;inf;tim
0;263;0.015400;0.000029
1;9;0.017600;0.100627
2;253;0.037400;0.201683
3;235;0.046300;0.302706
4;487;0.057600;0.403920
5;236;0.077500;0.505478
6;11;0.077500;0.607712
7;234;0.090800;0.710139
8;495;0.098700;0.812907
9;245;0.106900;0.916063
10;246;0.106400;1.019633
11;208;0.112400;1.123544
12;378;0.115000;1.228174
13;488;0.124600;1.333210
14;432;0.131500;1.438609
15;473;0.137600;1.544490
16;187;0.147600;1.651013
17;140;0.144200;1.757896
18;164;0.150200;1.865008
19;491;0.155400;1.972550
20;438;0.163100;2.080690
21;427;0.160500;2.189286
22;400;0.167900;2.298223
23;458;0.179000;2.407581
24;399;0.184400;2.517399
25;250;0.180300;2.627919
26;478;0.189600;2.738245
27;382;0.193700;2.849139
28;451;0.195900;2.960415
29;173;0.197700;3.071799
30;390;0.203800;3.183470
31;434;0.201600;3.295472
32;416;0.208000;3.407752
33;354;0.209200;3.520237
34;171;0.212400;3.633244
35;4;0.213400;3.746439
36;228;0.222400;3.860065
37;405;0.236100;3.974015
38;449;0.233800;4.088083
39;175;0.243500;4.202306
40;237;0.244500;4.316723
41;188;0.248000;4.431690
42;429;0.252700;4.546702
43;107;0.250800;4.661887
44;251;0.261600;4.777289
45;259;0.271100;4.893917
46;8;0.271700;5.010131
47;376;0.274600;5.126514
48;465;0.281100;5.242972
49;69;0.282500;5.359761
50;408;0.285300;5.476860
51;219;0.287500;5.594047
52;255;0.285000;5.711394
53;374;0.289700;5.829062
54;414;0.295900;5.947017
55;229;0.298800;6.062672
56;254;0.299000;6.176755
57;499;0.300300;6.291033
58;415;0.302700;6.405853
59;398;0.309500;6.520500
60;233;0.314600;6.635353
61;104;0.313700;6.750416
62;428;0.320000;6.865747
63;210;0.325900;6.981076
64;480;0.321600;7.097492
65;262;0.326900;7.213150
66;119;0.335000;7.329217
67;430;0.340300;7.445387
68;176;0.340400;7.561686
69;232;0.347200;7.678480
70;343;0.352000;7.795442
71;325;0.350100;7.912518
72;381;0.351800;8.029861
73;180;0.359300;8.147423
74;244;0.361800;8.265184
75;407;0.359600;8.383438
76;477;0.360800;8.501671
77;166;0.362600;8.620158
78;426;0.364400;8.739076
79;402;0.370600;8.857982
80;207;0.378100;8.977144
81;120;0.373600;9.096927
82;172;0.389600;9.216670
83;489;0.393600;9.336724
84;352;0.388800;9.456834
85;295;0.394400;9.577328
86;298;0.397400;9.697956
87;485;0.410300;9.818615
88;111;0.411200;9.939586
89;463;0.418600;10.060747
90;221;0.418600;10.181875
91;315;0.427400;10.303329
92;364;0.430800;10.424936
93;77;0.434100;10.546773
94;411;0.433100;10.669104
95;347;0.442700;10.792559
96;474;0.441700;10.915148
97;308;0.448500;11.038013
98;161;0.441100;11.160900
99;361;0.455700;11.284092
100;431;0.450900;11.407862
101;475;0.451200;11.531464
102;123;0.461400;11.655264
103;197;0.463200;11.779326
104;363;0.471400;11.903723
105;159;0.473200;12.028278
106;452;0.476500;12.152962
107;327;0.473300;12.277926
108;110;0.477800;12.403149
109;383;0.483200;12.528404
110;101;0.486200;12.653823
111;75;0.480800;12.779366
112;53;0.479200;12.906039
113;448;0.493000;13.032077
114;496;0.492600;13.158197
115;403;0.501400;13.284631
116;420;0.491800;13.411073
117;206;0.499500;13.537608
118;181;0.504400;13.664720
119;356;0.497600;13.791810
120;0;0.499100;13.918888
121;152;0.508900;14.046078
122;194;0.507000;14.173415
123;445;0.507700;14.301035
124;134;0.507600;14.428577
125;409;0.514600;14.556434
126;227;0.518700;14.684604
127;209;0.526500;14.812782
128;122;0.526900;14.941071
129;204;0.525000;15.069684
130;151;0.535600;15.198410
131;303;0.533700;15.327493
132;339;0.538100;15.456475
133;248;0.539900;15.585652
134;154;0.546800;15.714959
135;199;0.547000;15.844274
136;366;0.555100;15.974060
137;388;0.555100;16.103746
138;118;0.551900;16.233408
139;153;0.562300;16.363168
140;450;0.561100;16.492889
141;433;0.560100;16.622688
142;396;0.567000;16.752421
143;130;0.570600;16.882316
144;83;0.570500;17.012547
145;139;0.577300;17.142635
146;435;0.577400;17.272899
147;369;0.582700;17.403341
148;231;0.586100;17.534118
149;260;0.584500;17.665047
150;185;0.589500;17.795859
151;192;0.590300;17.926943
152;205;0.585200;18.058007
153;218;0.591500;18.189196
154;401;0.593300;18.320707
155;391;0.595400;18.451929
156;137;0.598700;18.583286
157;226;0.595300;18.714775
158;184;0.599700;18.846502
159;215;0.604200;18.978181
160;483;0.611000;19.109999
161;92;0.602700;19.242093
162;90;0.611400;19.374219
163;211;0.615000;19.506403
164;7;0.618400;19.638731
165;241;0.623100;19.771251
166;213;0.628100;19.904011
167;252;0.632200;20.036658
168;28;0.636900;20.169448
169;462;0.633800;20.302448
170;384;0.638900;20.435422
