k;seed;inf;tim
0;499;0.000000;0.002777
1;491;0.000000;0.005541
2;489;0.000000;0.008226
3;488;0.000000;0.010949
4;498;0.000000;0.013822
5;480;0.000000;0.016763
6;487;0.000000;0.020013
7;473;0.000000;0.023263
8;478;0.000000;0.026682
9;460;0.000000;0.030330
10;458;0.000000;0.034412
11;454;0.000000;0.038957
12;457;0.000000;0.043931
13;451;0.000000;0.049184
14;438;0.000000;0.054798
15;434;0.000000;0.060480
16;442;0.000000;0.066497
17;455;0.000000;0.072754
18;430;0.000000;0.079227
19;416;0.000000;0.086055
20;419;0.000000;0.093256
21;427;0.000000;0.100636
22;471;0.000000;0.108285
23;426;0.000000;0.116214
24;403;0.000000;0.124530
25;404;0.000000;0.132970
26;352;0.000000;0.141662
27;255;0.000000;0.150682
28;399;0.000000;0.159901
29;402;0.000000;0.169324
30;407;0.000000;0.178907
31;411;0.000000;0.188820
32;420;0.000000;0.198952
33;415;0.000000;0.209263
34;260;0.000000;0.219822
35;253;0.000000;0.230583
36;250;0.000000;0.241513
37;30;0.000000;0.252566
38;378;0.000000;0.263852
39;396;0.000000;0.275237
40;408;0.000000;0.287009
41;254;0.000000;0.298782
42;245;0.000000;0.310787
43;236;0.000000;0.323027
44;237;0.000000;0.335591
45;228;0.000000;0.348414
46;205;0.000000;0.361254
47;204;0.000100;0.374572
48;235;0.000100;0.388158
49;1;0.000100;0.402049
50;10;0.000200;0.416325
51;215;0.000100;0.430954
52;202;0.000300;0.445816
53;195;0.000400;0.461248
54;187;0.000500;0.476873
55;179;0.000600;0.492902
56;137;0.000700;0.509525
57;219;0.000900;0.526509
58;341;0.001000;0.544045
59;174;0.001600;0.561940
60;32;0.001500;0.580492
61;142;0.001800;0.599656
62;101;0.001900;0.619201
63;89;0.002200;0.638891
64;93;0.002600;0.659258
65;405;0.002600;0.680133
66;157;0.003100;0.701473
67;339;0.003500;0.723372
68;391;0.003400;0.745672
69;208;0.004200;0.768505
70;83;0.004000;0.791797
71;164;0.004700;0.815516
72;375;0.005100;0.840210
73;126;0.004900;0.865125
74;409;0.005300;0.890378
75;246;0.005400;0.916174
76;324;0.006300;0.942156
77;497;0.006700;0.968514
78;445;0.006900;0.995272
79;70;0.008200;1.022729
80;140;0.008400;1.050870
81;439;0.009200;1.079390
82;138;0.009400;1.108423
83;486;0.009200;1.138028
84;463;0.009900;1.168215
85;400;0.011200;1.199014
86;9;0.010300;1.230418
87;361;0.011400;1.262335
88;234;0.011300;1.294709
89;210;0.013400;1.327609
90;8;0.014300;1.360179
91;437;0.014300;1.392167
92;469;0.014400;1.424442
93;243;0.016400;1.457196
94;366;0.015400;1.490329
95;248;0.016800;1.523724
96;313;0.018000;1.557599
97;95;0.018200;1.591839
98;117;0.018600;1.626607
99;25;0.020300;1.661904
100;326;0.021100;1.697482
101;92;0.021700;1.733617
102;199;0.021900;1.770232
103;357;0.023500;1.807342
104;495;0.025400;1.844858
105;291;0.025200;1.882686
106;153;0.026200;1.920881
107;301;0.026300;1.959389
108;108;0.028200;1.999154
109;104;0.028100;2.038886
110;312;0.031500;2.078983
111;390;0.030200;2.119458
112;23;0.033400;2.160416
113;66;0.033200;2.202142
114;180;0.036200;2.244403
115;450;0.035300;2.287062
116;86;0.036500;2.330183
117;336;0.039700;2.373585
118;373;0.043200;2.417358
119;354;0.043000;2.462188
120;464;0.044300;2.506863
121;161;0.043600;2.552134
122;84;0.045300;2.597704
123;173;0.047100;2.643781
124;232;0.050000;2.690274
125;376;0.050700;2.737312
126;24;0.050700;2.784818
127;198;0.053900;2.832903
128;496;0.055900;2.881286
129;316;0.055000;2.930049
130;78;0.055700;2.979458
131;314;0.057700;3.029250
132;418;0.057800;3.079569
133;267;0.060800;3.130329
134;217;0.063100;3.181524
135;41;0.063200;3.234165
136;467;0.065600;3.285906
137;362;0.065100;3.337902
138;387;0.065600;3.390343
139;224;0.065800;3.443302
140;296;0.067900;3.496972
141;230;0.068000;3.551136
142;261;0.068900;3.605189
143;258;0.072900;3.659501
144;252;0.071000;3.714113
145;159;0.069400;3.769168
146;150;0.074400;3.824612
147;265;0.073300;3.880304
148;171;0.075200;3.936229
149;364;0.077700;3.992516
150;333;0.077800;4.048906
151;69;0.078700;4.106264
152;134;0.081600;4.163364
153;374;0.080700;4.220800
154;26;0.083500;4.278631
155;322;0.084200;4.336879
156;172;0.085600;4.395524
157;13;0.081700;4.454461
158;456;0.088600;4.513808
159;482;0.086700;4.573561
160;394;0.091500;4.633668
161;197;0.090600;4.694066
162;413;0.092100;4.754655
163;186;0.094400;4.815527
164;94;0.095700;4.876772
165;436;0.095400;4.938374
166;2;0.099500;5.000286
167;300;0.098600;5.063001
168;447;0.104100;5.125645
169;337;0.103700;5.188563
170;11;0.108200;5.251719
171;35;0.107600;5.316361
172;3;0.105200;5.380129
173;266;0.109700;5.444230
174;465;0.109700;5.508759
175;185;0.113600;5.573451
176;107;0.115400;5.638447
177;88;0.115800;5.704370
178;401;0.118100;5.770088
179;139;0.116500;5.835959
180;175;0.119700;5.902298
181;76;0.125400;5.968821
182;330;0.123900;6.035701
183;60;0.129400;6.102899
184;249;0.128900;6.170187
185;177;0.129900;6.237738
186;221;0.132200;6.305484
187;110;0.131600;6.373590
188;295;0.133400;6.441829
189;468;0.134400;6.510379
190;381;0.135700;6.579109
191;317;0.138400;6.648784
192;27;0.138600;6.718127
193;125;0.139000;6.787889
194;155;0.141500;6.857822
195;334;0.140400;6.927898
196;370;0.142400;6.998183
197;154;0.148100;7.069657
198;128;0.146900;7.143573
199;247;0.146200;7.217927
200;75;0.148500;7.292857
201;211;0.149000;7.368059
202;479;0.152700;7.444701
203;453;0.156300;7.520355
204;90;0.155400;7.596276
205;239;0.163200;7.672572
206;345;0.162500;7.749235
207;365;0.164500;7.826064
208;58;0.166500;7.903117
209;428;0.164200;7.980619
210;384;0.170500;8.058577
211;22;0.171000;8.136678
212;105;0.172100;8.215634
213;81;0.176100;8.294414
214;425;0.176100;8.373240
215;73;0.174200;8.452335
216;165;0.175200;8.531535
217;382;0.180700;8.611053
218;229;0.182500;8.690838
219;302;0.181400;8.770762
220;472;0.188300;8.850879
221;200;0.189700;8.931276
222;112;0.191500;9.011814
223;290;0.193900;9.092645
224;162;0.200600;9.173841
225;356;0.203000;9.255226
226;121;0.208100;9.336746
227;476;0.210800;9.418336
228;347;0.212100;9.500118
229;132;0.213300;9.582001
230;329;0.216100;9.665444
231;309;0.218100;9.747987
232;485;0.220800;9.830988
233;144;0.227000;9.914169
234;193;0.221900;9.997277
235;315;0.227100;10.080673
236;440;0.226300;10.164214
237;113;0.227300;10.247983
238;421;0.234300;10.331836
239;490;0.237100;10.416178
240;96;0.236300;10.500553
241;233;0.238600;10.585167
242;377;0.240300;10.670101
243;135;0.237200;10.755168
244;46;0.239100;10.840298
245;367;0.236200;10.925633
246;429;0.244000;11.010966
247;493;0.241200;11.096445
248;363;0.240100;11.182090
249;130;0.240600;11.268038
250;188;0.243000;11.354043
251;298;0.243100;11.440146
252;218;0.242700;11.527055
253;40;0.248000;11.613471
254;214;0.245500;11.699976
255;288;0.251300;11.786808
256;294;0.249500;11.874508
257;192;0.247400;11.962367
258;318;0.251100;12.049812
259;109;0.253700;12.137461
260;259;0.252000;12.225168
261;42;0.260800;12.313095
262;213;0.255300;12.401275
263;327;0.259700;12.489530
264;20;0.260000;12.577964
265;325;0.263800;12.666845
266;344;0.266100;12.755776
267;136;0.269000;12.844644
268;477;0.268200;12.934120
269;169;0.268800;13.022003
270;99;0.264600;13.107202
271;0;0.275800;13.192556
272;222;0.267200;13.277671
273;262;0.271400;13.362095
274;242;0.274600;13.442952
275;183;0.275900;13.524026
276;147;0.274800;13.605130
277;55;0.277700;13.686327
278;119;0.273800;13.770080
279;118;0.277000;13.855870
280;474;0.277200;13.939267
281;152;0.277900;14.021651
282;449;0.283700;14.104026
283;308;0.277100;14.186020
284;111;0.280900;14.268118
285;395;0.281400;14.350437
286;181;0.281700;14.432821
287;100;0.288200;14.515222
288;176;0.283700;14.597711
289;398;0.291100;14.680969
290;412;0.290100;14.764038
291;168;0.293900;14.847136
292;145;0.291500;14.930367
293;131;0.293900;15.013470
294;123;0.294500;15.096607
295;483;0.295200;15.179859
296;414;0.296000;15.263515
297;196;0.297200;15.346889
298;351;0.300200;15.430905
299;115;0.300300;15.514985
300;170;0.299400;15.599009
301;127;0.298400;15.683006
302;443;0.298600;15.767115
303;5;0.306000;15.851310
304;98;0.308600;15.935628
305;225;0.309200;16.020175
306;226;0.310200;16.106349
307;16;0.315000;16.195587
308;166;0.312100;16.285056
309;264;0.317400;16.374645
310;355;0.315400;16.464628
311;29;0.315000;16.554989
312;53;0.322600;16.640389
313;323;0.319200;16.725925
314;43;0.322800;16.813443
315;386;0.317000;16.903818
316;297;0.322300;16.994454
317;241;0.323200;17.081674
318;368;0.328700;17.167745
319;251;0.327000;17.256600
320;287;0.332900;17.349485
321;446;0.331300;17.442776
322;146;0.338100;17.535949
323;4;0.336700;17.627142
324;80;0.340200;17.715663
325;422;0.338800;17.803766
326;114;0.344400;17.891970
327;481;0.345200;17.980473
328;303;0.342000;18.069138
329;143;0.343700;18.159203
330;194;0.347700;18.248030
331;57;0.347000;18.336990
332;466;0.353200;18.426355
333;50;0.350200;18.515752
334;304;0.357600;18.605362
335;149;0.359200;18.694949
336;6;0.359700;18.784732
337;269;0.362500;18.874658
338;484;0.361200;18.964479
339;85;0.368000;19.054579
340;360;0.373900;19.144912
341;238;0.363300;19.235743
342;61;0.373100;19.326298
343;371;0.370900;19.416831
344;28;0.374900;19.507477
345;103;0.374400;19.598493
346;59;0.378400;19.689662
347;305;0.380300;19.780835
348;397;0.385400;19.872103
349;311;0.384300;19.963383
350;240;0.387800;20.054779
351;203;0.385000;20.146362
352;201;0.392500;20.239168
353;417;0.399300;20.330901
354;120;0.395500;20.422831
355;65;0.402600;20.514909
356;190;0.409800;20.606992
357;328;0.408600;20.699953
358;379;0.411200;20.792422
359;184;0.410500;20.885024
360;67;0.412900;20.977706
361;462;0.411400;21.070541
362;77;0.412200;21.163486
363;263;0.417400;21.256790
364;14;0.421200;21.350148
365;74;0.422900;21.443432
366;285;0.425300;21.536931
367;459;0.423200;21.630327
368;97;0.426700;21.723949
369;448;0.428400;21.817907
370;432;0.428000;21.911603
371;372;0.437600;22.005514
372;72;0.435700;22.099402
373;431;0.429800;22.193352
374;133;0.439500;22.289071
375;338;0.436700;22.383154
376;216;0.442000;22.477256
377;279;0.446600;22.571726
378;31;0.443000;22.666069
379;102;0.445800;22.760554
380;369;0.447900;22.855251
381;441;0.452500;22.949942
382;209;0.451800;23.044848
383;227;0.455400;23.139813
384;380;0.452900;23.234859
385;331;0.454700;23.329989
386;7;0.451700;23.425347
387;38;0.457200;23.520711
388;470;0.459800;23.616171
389;82;0.462000;23.711882
390;56;0.462400;23.808093
391;410;0.461400;23.904094
392;151;0.458900;23.999984
393;343;0.466900;24.095737
394;45;0.466500;24.191684
395;44;0.469400;24.287744
396;160;0.464700;24.385742
397;91;0.480500;24.482012
398;475;0.475200;24.578130
399;383;0.478800;24.674324
400;494;0.483900;24.770621
401;393;0.487500;24.867030
402;272;0.489100;24.963498
403;452;0.488000;25.060071
404;49;0.489500;25.156791
405;388;0.489600;25.254023
406;39;0.501200;25.350939
407;350;0.502000;25.447953
408;54;0.497500;25.545160
409;346;0.502900;25.642476
410;231;0.501000;25.740054
411;284;0.509400;25.837451
412;353;0.515900;25.935097
413;256;0.513400;26.032679
414;212;0.521000;26.130467
415;12;0.521300;26.228552
416;271;0.520700;26.326411
417;340;0.525400;26.425582
418;277;0.525900;26.523574
419;106;0.527500;26.621641
420;273;0.533600;26.719759
421;167;0.540200;26.818521
422;349;0.544100;26.916808
423;33;0.544500;27.015163
424;63;0.535800;27.113571
425;444;0.550700;27.212127
426;18;0.552000;27.310787
427;358;0.551500;27.409462
428;206;0.554600;27.508762
429;220;0.557300;27.607756
430;286;0.561600;27.707006
431;189;0.557600;27.806173
432;282;0.571400;27.905436
433;148;0.568500;28.005121
434;423;0.571100;28.105016
435;281;0.567700;28.204720
436;116;0.576200;28.305080
437;51;0.574100;28.405053
438;64;0.578000;28.504901
439;257;0.582600;28.604680
440;182;0.584400;28.704576
441;244;0.587500;28.804549
442;274;0.585900;28.904608
443;207;0.595100;29.004665
444;156;0.591300;29.106740
