k;seed;inf;tim
0;12;0.000000;0.000030
1;499;0.000000;0.001646
2;478;0.000000;0.003055
3;473;0.000000;0.004581
4;491;0.000000;0.006190
5;467;0.000000;0.007876
6;460;0.000000;0.009590
7;462;0.000000;0.011393
8;458;0.000000;0.013340
9;450;0.000000;0.015411
10;459;0.000000;0.017574
11;455;0.000000;0.019803
12;447;0.000000;0.022156
13;457;0.000000;0.024588
14;441;0.000000;0.027134
15;440;0.000000;0.029726
16;444;0.000000;0.032406
17;469;0.000000;0.035174
18;443;0.000000;0.038030
19;449;0.000000;0.040960
20;422;0.000000;0.043995
21;493;0.000000;0.047090
22;437;0.000000;0.050236
23;418;0.000000;0.053462
24;408;0.000000;0.056742
25;387;0.000000;0.060048
26;431;0.000000;0.063444
27;252;0.000000;0.066892
28;357;0.000000;0.070429
29;237;0.000000;0.074028
30;246;0.000000;0.077658
31;214;0.000000;0.081395
32;356;0.000000;0.085171
33;212;0.000000;0.089167
34;235;0.000000;0.093224
35;381;0.000000;0.097240
36;216;0.000000;0.101336
37;195;0.000000;0.105433
38;209;0.000000;0.109592
39;359;0.000000;0.113806
40;196;0.000000;0.118086
41;199;0.000000;0.122432
42;156;0.000000;0.126806
43;328;0.000100;0.131231
44;192;0.000300;0.135711
45;190;0.000100;0.140227
46;197;0.000000;0.144809
47;105;0.000200;0.149427
48;9;0.000400;0.154127
49;139;0.000300;0.158902
50;137;0.000300;0.163731
51;184;0.000700;0.168635
52;182;0.000500;0.173598
53;183;0.000500;0.178623
54;75;0.001000;0.183752
55;213;0.000700;0.188936
56;150;0.001100;0.194206
57;230;0.001400;0.199553
58;133;0.001200;0.204968
59;340;0.001400;0.210536
60;348;0.001700;0.216372
61;113;0.001900;0.222095
62;203;0.002000;0.227864
63;395;0.002000;0.233649
64;233;0.002100;0.239517
65;10;0.002200;0.245482
66;120;0.002700;0.251521
67;245;0.002800;0.257633
68;484;0.003000;0.263847
69;47;0.003000;0.270094
70;474;0.003800;0.276440
71;393;0.004100;0.282864
72;142;0.004300;0.289351
73;414;0.004200;0.295943
74;222;0.003600;0.302625
75;193;0.005000;0.309372
76;227;0.005500;0.316243
77;64;0.004400;0.323147
78;421;0.006200;0.330124
79;476;0.005700;0.337170
80;409;0.005800;0.344350
81;163;0.005100;0.351608
82;132;0.006000;0.358988
83;338;0.007300;0.366457
84;490;0.007700;0.374039
85;87;0.008100;0.381695
86;286;0.007500;0.389495
87;310;0.008300;0.397368
88;243;0.008800;0.405322
89;439;0.008600;0.413370
90;145;0.008900;0.421539
91;419;0.010000;0.429778
92;294;0.009800;0.438116
93;4;0.012400;0.446540
94;49;0.010700;0.455019
95;411;0.011500;0.463641
96;146;0.013000;0.472357
97;367;0.014100;0.481146
98;424;0.015000;0.489996
99;456;0.017000;0.498939
100;40;0.017400;0.508044
101;425;0.019200;0.517214
102;277;0.020100;0.526491
103;128;0.020100;0.535928
104;446;0.020400;0.545404
105;427;0.020100;0.555023
106;171;0.020800;0.564788
107;140;0.022800;0.574672
108;370;0.023700;0.584642
109;149;0.024000;0.594720
110;337;0.025400;0.604856
111;386;0.024300;0.615112
112;108;0.025600;0.625449
113;497;0.026400;0.635922
114;376;0.027300;0.646496
115;96;0.026000;0.657217
116;380;0.028200;0.668043
117;160;0.027400;0.678928
118;416;0.028300;0.689975
119;83;0.029600;0.701149
120;200;0.028600;0.712458
121;198;0.031300;0.723850
122;98;0.034800;0.735374
123;433;0.034900;0.747049
124;167;0.032300;0.758845
125;262;0.034200;0.770718
126;445;0.037600;0.782741
127;11;0.037700;0.794892
128;172;0.034600;0.807170
129;351;0.039400;0.819537
130;226;0.038800;0.832041
131;487;0.041900;0.844680
132;247;0.043300;0.857443
133;186;0.045600;0.870294
134;176;0.045200;0.883297
135;48;0.044100;0.896425
136;254;0.047700;0.909674
137;231;0.048500;0.923101
138;255;0.049800;0.936574
139;68;0.048700;0.950083
140;407;0.051400;0.963797
141;53;0.054400;0.977569
142;152;0.052800;0.991463
143;389;0.057500;1.005437
144;3;0.055900;1.019551
145;170;0.061600;1.033740
146;43;0.060700;1.048069
147;77;0.064500;1.062480
148;155;0.067400;1.077033
149;435;0.071500;1.091629
150;429;0.071100;1.106387
151;7;0.074500;1.121300
152;392;0.071800;1.136307
153;179;0.072800;1.151365
154;135;0.075500;1.166554
155;454;0.073000;1.181849
156;475;0.078500;1.197251
157;134;0.081500;1.212741
158;148;0.081100;1.228350
159;323;0.080300;1.244049
160;201;0.082600;1.259790
161;364;0.086400;1.275676
162;333;0.088000;1.291606
163;109;0.088900;1.307644
164;248;0.094200;1.323769
165;159;0.092800;1.340031
166;100;0.096200;1.356419
167;1;0.096500;1.372934
168;259;0.095400;1.389540
169;118;0.096700;1.406217
170;399;0.100900;1.423020
171;402;0.103600;1.439939
172;432;0.101500;1.456982
173;143;0.104600;1.474280
174;168;0.105000;1.492060
175;114;0.107900;1.510147
176;436;0.108500;1.527638
177;234;0.114200;1.545289
178;396;0.113800;1.563071
179;123;0.109600;1.580944
180;141;0.116600;1.599018
181;251;0.117400;1.617163
182;129;0.118200;1.635408
183;270;0.121000;1.653859
184;452;0.120300;1.672371
185;119;0.123900;1.691022
186;161;0.126600;1.709828
187;413;0.127900;1.728632
188;477;0.125400;1.747556
189;352;0.128900;1.766645
190;37;0.128800;1.785761
191;299;0.134100;1.804996
192;187;0.134900;1.824352
193;205;0.136400;1.843909
194;375;0.140400;1.863573
195;296;0.146200;1.883347
196;191;0.144800;1.903238
197;385;0.147700;1.923250
198;88;0.144500;1.943360
199;174;0.151100;1.963529
200;103;0.150600;1.983798
201;282;0.153000;2.004205
202;480;0.155000;2.024684
203;260;0.157900;2.045231
204;295;0.157500;2.065861
205;379;0.163000;2.086622
206;326;0.161500;2.107508
207;242;0.162800;2.128439
208;465;0.166200;2.149518
209;50;0.164700;2.170666
210;410;0.173700;2.191931
211;115;0.173100;2.213295
212;91;0.171900;2.234706
213;157;0.173000;2.256243
214;6;0.174000;2.277933
215;99;0.174200;2.300103
216;390;0.181100;2.321932
217;361;0.189700;2.343839
218;136;0.184500;2.365888
219;325;0.184600;2.388029
220;360;0.192800;2.410270
221;358;0.192500;2.432589
222;90;0.197800;2.455048
223;52;0.198700;2.477621
224;71;0.199600;2.500204
225;218;0.205900;2.522984
226;33;0.212200;2.545821
227;165;0.216800;2.568749
228;397;0.225700;2.591697
229;130;0.226400;2.614750
230;122;0.232500;2.637855
231;442;0.230300;2.661060
232;306;0.235000;2.684324
233;204;0.240400;2.707745
234;228;0.240300;2.731334
235;81;0.240900;2.755117
236;322;0.246900;2.778894
237;206;0.253900;2.802723
238;144;0.254300;2.827023
239;274;0.257000;2.851151
240;320;0.258200;2.875274
241;482;0.263900;2.899525
242;334;0.258400;2.923839
243;394;0.257900;2.948218
244;63;0.269600;2.972696
245;173;0.271800;2.997270
246;138;0.277300;3.021970
247;496;0.277600;3.047145
248;194;0.284000;3.072009
249;185;0.282500;3.096870
250;405;0.285100;3.121830
251;332;0.283800;3.146900
252;215;0.288200;3.172036
253;34;0.285700;3.197268
254;311;0.288800;3.222527
255;38;0.289000;3.247872
256;278;0.294000;3.273331
257;73;0.293400;3.298899
258;86;0.299200;3.324532
259;258;0.300000;3.350259
260;468;0.298100;3.376044
261;232;0.303500;3.401916
262;354;0.305200;3.427903
263;257;0.305500;3.453929
264;95;0.307500;3.480007
265;285;0.311700;3.506298
266;362;0.310200;3.532872
267;29;0.306400;3.560083
268;85;0.313700;3.586462
269;486;0.313000;3.612947
270;106;0.318700;3.639483
271;236;0.320700;3.666125
272;471;0.319800;3.692825
273;317;0.326000;3.719621
274;74;0.325500;3.746877
275;62;0.327700;3.773802
276;368;0.333400;3.800789
277;304;0.339100;3.827830
278;315;0.331300;3.854944
279;495;0.341900;3.882086
280;313;0.348500;3.909295
281;428;0.347200;3.936649
282;314;0.349400;3.964078
283;434;0.351600;3.991605
284;321;0.351900;4.019180
285;164;0.355800;4.046847
286;344;0.352600;4.074556
287;350;0.356700;4.102333
288;373;0.361400;4.130160
289;58;0.362100;4.158081
290;307;0.360000;4.186101
291;41;0.362700;4.214193
292;472;0.359300;4.242396
293;0;0.368300;4.270657
294;23;0.368700;4.298981
295;463;0.373800;4.327825
296;124;0.376300;4.356293
297;266;0.385100;4.384829
298;207;0.380800;4.413400
299;127;0.382900;4.442128
300;178;0.387200;4.470936
301;177;0.392300;4.499741
302;92;0.388100;4.528607
303;76;0.391100;4.557544
304;162;0.401000;4.586559
