k;seed;inf;tim
0;269;0.007700;0.000030
1;491;0.042600;0.034902
2;245;0.066900;0.069849
3;212;0.094400;0.105194
4;251;0.103800;0.141003
5;487;0.101100;0.177251
6;249;0.107600;0.213897
7;429;0.111300;0.250640
8;352;0.112800;0.287582
9;237;0.119400;0.325084
10;463;0.125700;0.362856
11;210;0.159000;0.400775
12;395;0.161400;0.439059
13;215;0.160700;0.477559
14;486;0.170400;0.516418
15;454;0.173900;0.555399
16;157;0.177900;0.594563
17;379;0.186300;0.634027
18;497;0.184700;0.673551
19;355;0.195900;0.713143
20;165;0.196000;0.753001
21;490;0.208000;0.793063
22;459;0.208900;0.833156
23;229;0.224400;0.873568
24;373;0.228200;0.914179
25;148;0.234100;0.955024
26;354;0.236600;0.996100
27;475;0.240900;1.037359
28;198;0.236900;1.078815
29;424;0.244000;1.120444
30;7;0.250200;1.162064
31;90;0.247900;1.203981
32;496;0.254100;1.246007
33;375;0.254800;1.288183
34;248;0.265400;1.328844
35;398;0.273600;1.369495
36;428;0.282000;1.410254
37;222;0.277100;1.451123
38;262;0.280800;1.491960
39;421;0.285900;1.533006
40;255;0.284500;1.574032
41;478;0.287300;1.615147
42;473;0.295100;1.656370
43;358;0.298200;1.697678
44;325;0.301500;1.739107
45;433;0.313500;1.780741
46;161;0.326500;1.822289
47;153;0.334600;1.863865
48;480;0.337300;1.905505
49;9;0.345300;1.947304
50;214;0.352100;1.989160
51;411;0.352600;2.031113
52;353;0.368100;2.073241
53;495;0.370500;2.115875
54;235;0.375400;2.158190
55;329;0.381800;2.200654
56;356;0.377900;2.243178
57;405;0.382900;2.285777
58;226;0.386500;2.328450
59;2;0.380400;2.371212
60;441;0.394300;2.414104
61;115;0.402100;2.457137
62;147;0.406900;2.500524
63;180;0.407800;2.543691
64;176;0.407700;2.586860
65;201;0.421200;2.630106
66;103;0.414300;2.673394
67;204;0.416800;2.716791
68;187;0.418400;2.761096
69;453;0.429000;2.806476
70;252;0.423200;2.851944
71;211;0.437800;2.897493
72;138;0.439700;2.943083
73;217;0.440600;2.988700
74;334;0.437800;3.034432
75;213;0.444400;3.080422
76;458;0.446400;3.126324
77;484;0.449500;3.172240
78;208;0.453700;3.218208
79;105;0.455700;3.264258
80;202;0.463400;3.310408
81;236;0.468500;3.356669
82;134;0.469600;3.402997
83;244;0.479100;3.449378
84;469;0.477800;3.495811
85;412;0.480400;3.542273
86;63;0.484900;3.588781
87;470;0.490200;3.635446
88;193;0.496900;3.682099
89;342;0.493900;3.728858
90;448;0.504500;3.775684
91;392;0.500500;3.822565
92;311;0.510500;3.869527
93;279;0.508600;3.916538
94;96;0.517000;3.963598
95;316;0.514400;4.010748
96;382;0.507800;4.057974
97;381;0.512100;4.105295
98;387;0.521500;4.152713
99;260;0.524700;4.200178
100;323;0.529700;4.247696
101;175;0.525600;4.295285
102;192;0.527200;4.342975
103;431;0.520800;4.390688
104;143;0.530000;4.439692
105;434;0.533400;4.487521
106;456;0.541200;4.535704
107;4;0.540400;4.583604
108;8;0.546200;4.631575
109;92;0.543700;4.679588
110;488;0.552400;4.727659
111;194;0.548800;4.775754
112;386;0.551500;4.824340
113;219;0.552200;4.872672
114;336;0.563500;4.920887
115;203;0.565100;4.969143
116;149;0.565000;5.017404
117;139;0.568700;5.065830
118;196;0.572000;5.114244
119;363;0.574200;5.162671
120;160;0.580600;5.211117
121;166;0.578700;5.259603
122;247;0.579900;5.308134
123;164;0.582200;5.356706
124;186;0.589700;5.405680
125;94;0.598800;5.454477
126;418;0.597200;5.503161
127;417;0.593500;5.551908
128;384;0.595500;5.600713
129;232;0.599500;5.649532
130;468;0.598500;5.698422
131;407;0.609900;5.747409
132;99;0.605600;5.796419
133;437;0.609100;5.845489
134;462;0.608800;5.894569
135;56;0.608700;5.944069
136;499;0.613100;5.993376
137;436;0.617200;6.042628
138;483;0.616800;6.091911
139;370;0.618400;6.141254
140;0;0.617800;6.190612
141;374;0.628000;6.240003
142;368;0.625500;6.289425
143;489;0.629100;6.338922
144;347;0.633200;6.388414
145;82;0.629300;6.437988
146;494;0.631400;6.487552
147;413;0.634300;6.537126
148;246;0.640300;6.586743
149;162;0.637400;6.636465
150;3;0.647000;6.686159
151;102;0.654800;6.735987
152;397;0.649900;6.786718
153;122;0.657100;6.836524
154;206;0.654200;6.886309
155;108;0.658900;6.936213
156;297;0.656500;6.986089
157;77;0.659500;7.036003
158;359;0.662200;7.085906
159;230;0.665400;7.136059
160;67;0.672200;7.186495
161;177;0.673900;7.236587
162;449;0.678200;7.286686
163;100;0.686500;7.336783
164;221;0.686600;7.386926
165;11;0.689800;7.437193
166;216;0.689500;7.487414
167;253;0.696300;7.537672
168;440;0.688600;7.587922
169;154;0.700900;7.638230
170;195;0.704700;7.688523
171;340;0.703200;7.738896
172;16;0.708800;7.789673
173;189;0.710300;7.840081
174;98;0.711300;7.890472
175;432;0.711000;7.940872
176;65;0.714000;7.991333
177;287;0.714300;8.041820
178;385;0.714400;8.092309
179;315;0.720300;8.142883
180;254;0.720900;8.193385
181;55;0.717700;8.243944
182;127;0.723700;8.294651
183;22;0.724900;8.345293
184;80;0.721600;8.395920
185;83;0.725200;8.446623
186;169;0.728800;8.497298
187;289;0.723400;8.548019
188;58;0.727600;8.598747
189;402;0.727800;8.649506
190;205;0.727500;8.700282
191;335;0.732700;8.751133
192;41;0.733000;8.801944
193;116;0.734700;8.852850
194;330;0.736600;8.903728
195;120;0.735200;8.954689
196;377;0.743300;9.005607
197;93;0.743500;9.056554
198;290;0.743700;9.107956
199;422;0.740700;9.159526
200;233;0.745900;9.210538
201;152;0.748700;9.261557
202;410;0.750500;9.312611
203;309;0.749100;9.363650
204;401;0.754400;9.414728
205;304;0.754200;9.465868
206;173;0.754300;9.517491
207;200;0.752700;9.568666
208;259;0.755900;9.619870
