k;seed;inf;tim
0;263;0.000000;0.229689
1;15;0.000000;1.008821
2;268;0.000000;2.348170
3;51;0.000000;4.045817
4;324;0.000000;5.915269
5;225;0.000000;7.986233
6;492;0.000000;10.174882
7;238;0.000000;12.495631
8;12;0.000000;14.978575
9;274;0.000000;17.641111
10;347;0.000000;20.424757
11;339;0.000000;23.348314
12;48;0.000100;26.407288
13;179;0.000100;29.586219
14;18;0.000100;32.832733
15;38;0.000200;36.177238
16;465;0.000400;39.597653
17;135;0.000600;43.097440
18;60;0.000500;46.691074
19;363;0.000500;50.375849
20;290;0.000800;54.131394
21;3;0.000800;57.968839
22;23;0.000700;61.878763
23;206;0.000900;65.861372
24;115;0.000800;69.918498
25;9;0.001000;74.111690
26;8;0.000900;78.394646
27;11;0.001000;82.746680
28;232;0.000900;87.192463
29;129;0.001000;91.677156
30;24;0.001000;96.228248
31;369;0.001000;100.847429
32;29;0.001100;105.545829
33;72;0.001100;110.305123
34;69;0.001000;115.120097
35;1;0.001100;119.997512
36;20;0.001200;124.906048
37;59;0.001200;129.861256
38;41;0.001100;134.847376
39;33;0.001200;139.873056
40;313;0.001200;144.950314
41;13;0.001300;150.079894
42;22;0.001200;155.252665
43;14;0.001100;160.479910
44;499;0.001300;165.747577
45;382;0.001200;171.053037
46;5;0.001400;176.392090
47;4;0.001500;181.776727
48;0;0.001500;187.184786
49;10;0.001400;192.634174
50;6;0.001400;198.110712
51;21;0.001400;203.616821
52;16;0.001600;209.151078
53;185;0.001800;214.722509
54;17;0.001700;220.314454
55;395;0.001400;225.950455
56;174;0.001800;231.627770
57;2;0.001700;237.341534
58;26;0.002000;243.073582
59;25;0.001800;248.849912
60;30;0.001800;254.673382
61;57;0.002000;260.519781
62;406;0.001900;266.389963
63;34;0.002100;272.283946
64;240;0.002400;278.208462
65;36;0.002000;284.159221
66;488;0.002000;290.147473
67;279;0.002400;296.158577
68;230;0.002200;302.205428
69;7;0.002100;308.264115
70;303;0.002100;314.380260
71;413;0.002100;320.531831
72;27;0.002000;326.704260
73;35;0.002200;332.898038
74;204;0.002400;339.110907
75;37;0.002400;345.370982
76;28;0.002400;351.667759
77;32;0.002300;357.960109
78;288;0.002400;364.274885
79;19;0.002600;370.615682
80;55;0.002600;376.977848
81;143;0.002400;383.357843
82;39;0.002600;389.758801
83;46;0.002700;396.185267
84;91;0.002600;402.868190
85;141;0.002600;409.755146
86;98;0.003000;416.651281
87;52;0.002700;423.565664
88;222;0.002900;430.501507
89;31;0.002700;437.128191
90;40;0.003000;443.774655
91;44;0.003100;450.359300
92;153;0.003200;456.952822
93;167;0.003100;463.599533
94;65;0.003200;470.514158
95;77;0.003300;477.162944
96;58;0.003100;483.825293
97;54;0.002800;490.497920
98;49;0.003200;497.182960
99;210;0.003300;503.878401
100;56;0.003000;510.585594
101;66;0.003100;517.310311
102;47;0.003500;524.049707
103;50;0.003200;530.799297
104;61;0.003700;537.556728
105;63;0.003600;544.311927
106;43;0.003700;551.099374
107;101;0.003900;557.895566
108;148;0.003400;564.708862
109;140;0.004000;571.536231
110;156;0.004000;578.367628
111;45;0.004000;585.215946
112;325;0.003900;592.062883
113;138;0.004100;598.917728
114;277;0.004000;605.774399
115;79;0.004100;612.642762
116;78;0.004500;619.526864
117;71;0.004200;626.420606
118;67;0.005000;633.322267
119;107;0.004600;640.222539
120;198;0.004900;647.118028
121;168;0.004800;654.009817
122;64;0.004800;660.907944
123;252;0.004300;667.803955
124;42;0.004800;674.698120
125;482;0.004600;681.591753
126;53;0.004800;688.501499
127;62;0.005100;695.419526
128;307;0.005000;702.346042
129;80;0.005000;709.280932
130;70;0.005200;716.222853
131;68;0.005300;723.165613
132;76;0.005900;730.216010
133;82;0.005100;737.588885
134;249;0.004900;744.571917
135;73;0.005100;751.513245
136;184;0.005100;758.459061
137;154;0.005600;765.415665
138;102;0.005400;772.378231
139;213;0.005000;779.332825
140;74;0.005100;786.284284
141;75;0.005700;793.232856
142;81;0.005200;800.183489
143;280;0.005700;807.129525
144;110;0.005300;814.086790
145;83;0.005900;821.041111
146;90;0.005500;827.989333
147;84;0.006000;834.929575
148;147;0.005800;841.864462
149;86;0.006100;848.800889
150;92;0.006400;855.734212
151;94;0.006200;862.670595
152;87;0.006300;869.602831
153;423;0.006500;876.535911
154;85;0.006600;883.474498
155;100;0.006300;890.398206
156;111;0.006300;897.321656
157;88;0.006900;904.239839
158;93;0.006800;911.150784
159;497;0.006500;918.056066
160;89;0.007200;924.966075
161;112;0.007200;931.876650
162;256;0.006800;938.777755
163;114;0.007400;945.674811
164;119;0.007200;952.567724
165;95;0.007400;959.478463
166;96;0.007600;966.381205
167;99;0.008400;973.277612
168;97;0.007500;980.164898
169;452;0.007900;987.043240
170;131;0.008000;993.921151
171;103;0.007900;1000.786599
172;136;0.008300;1007.653921
173;104;0.007800;1014.510516
174;105;0.007800;1021.360653
175;106;0.008300;1028.200903
176;108;0.007800;1035.028118
177;467;0.007800;1041.849298
178;487;0.007900;1048.658888
179;258;0.008400;1055.457037
180;113;0.008900;1062.244673
181;109;0.008800;1069.025783
182;458;0.008400;1075.798282
