k;seed;inf;tim
0;12;0.000000;0.000028
1;499;0.000000;0.004669
2;497;0.000000;0.009401
3;146;0.000000;0.014325
4;490;0.000000;0.019481
5;488;0.000000;0.024832
6;484;0.000000;0.030496
7;475;0.000000;0.036376
8;473;0.000000;0.042505
9;460;0.000000;0.048852
10;457;0.000000;0.055470
11;459;0.000000;0.062354
12;450;0.000000;0.069500
13;230;0.000000;0.076913
14;462;0.000000;0.084548
15;454;0.000000;0.092494
16;440;0.000000;0.100572
17;444;0.000000;0.108824
18;373;0.000000;0.117324
19;159;0.000000;0.126026
20;121;0.000000;0.134969
21;169;0.000000;0.144119
22;437;0.000000;0.153411
23;374;0.000000;0.162882
24;439;0.000000;0.172536
25;244;0.000000;0.182292
26;345;0.000000;0.192293
27;258;0.000000;0.202565
28;172;0.000000;0.212989
29;395;0.000000;0.223586
30;237;0.000000;0.234370
31;376;0.000000;0.245405
32;188;0.000000;0.256607
33;448;0.000000;0.268034
34;403;0.000000;0.279619
35;220;0.000000;0.291429
36;222;0.000000;0.303488
37;315;0.000000;0.315738
38;198;0.000000;0.328279
39;116;0.000000;0.340999
40;236;0.000000;0.354023
41;295;0.000000;0.367241
42;408;0.000100;0.380650
43;91;0.000000;0.394252
44;173;0.000200;0.408025
45;321;0.000100;0.421945
46;421;0.000100;0.436094
47;66;0.000400;0.450431
48;227;0.000500;0.464976
49;197;0.000100;0.479684
50;362;0.000600;0.494599
51;351;0.000600;0.509677
52;254;0.000800;0.525068
53;367;0.000900;0.540735
54;498;0.001200;0.556706
55;192;0.001100;0.572936
56;201;0.001200;0.589371
57;262;0.001400;0.606104
58;231;0.001400;0.623048
59;252;0.001500;0.640225
60;144;0.001500;0.657695
61;149;0.001600;0.675305
62;245;0.001800;0.693142
63;304;0.001900;0.711328
64;141;0.002100;0.729754
65;39;0.001900;0.748497
66;365;0.002800;0.767485
67;213;0.002700;0.786716
68;432;0.002400;0.806253
69;199;0.002800;0.826081
70;352;0.002700;0.846257
71;208;0.002800;0.866625
72;472;0.003100;0.887324
73;276;0.003800;0.908237
74;10;0.003600;0.929459
75;178;0.003600;0.951025
76;187;0.003800;0.972846
77;58;0.004700;0.994844
78;342;0.004000;1.017127
79;143;0.004500;1.039666
80;233;0.004700;1.062564
81;228;0.004900;1.085869
82;221;0.005100;1.109427
83;309;0.005800;1.133149
84;296;0.005300;1.157277
85;206;0.006100;1.181718
86;414;0.005900;1.206410
87;8;0.006400;1.231443
88;92;0.006000;1.256812
89;259;0.006700;1.282539
90;441;0.006900;1.308606
91;418;0.007200;1.334961
92;223;0.007100;1.361654
93;435;0.007400;1.388731
94;398;0.006400;1.416162
95;189;0.008000;1.443889
96;312;0.008400;1.471934
97;389;0.009000;1.500340
98;477;0.008900;1.529074
99;158;0.010000;1.558180
100;431;0.008800;1.587560
101;429;0.010200;1.617238
102;98;0.010300;1.647145
103;279;0.010800;1.677364
104;404;0.010900;1.707951
105;463;0.012000;1.738739
106;290;0.010000;1.769839
107;103;0.012100;1.801283
108;160;0.013200;1.833060
109;355;0.012600;1.865109
110;94;0.012900;1.897493
111;2;0.013900;1.930090
112;430;0.013200;1.962975
113;344;0.015200;1.996178
114;469;0.013800;2.029668
115;151;0.014900;2.063380
116;242;0.015500;2.097377
117;253;0.015000;2.131678
118;313;0.015900;2.166313
119;361;0.016700;2.201361
120;235;0.015700;2.236618
121;112;0.016100;2.272089
122;80;0.017400;2.307830
123;480;0.018600;2.343956
124;391;0.020000;2.380495
125;447;0.019300;2.417202
126;119;0.019400;2.454121
127;179;0.020100;2.491436
128;100;0.020900;2.529008
129;386;0.021100;2.566946
130;147;0.022200;2.605109
131;251;0.022000;2.643579
132;350;0.022800;2.682441
133;224;0.022500;2.721581
134;117;0.023500;2.761046
135;249;0.023700;2.800808
136;166;0.024700;2.840959
137;229;0.025600;2.881398
138;332;0.026600;2.922238
139;162;0.028500;2.963472
140;320;0.028500;3.005005
141;261;0.028200;3.046943
142;225;0.028400;3.089235
143;234;0.029300;3.131810
144;226;0.029900;3.174598
145;232;0.029300;3.217698
146;338;0.029500;3.261058
147;70;0.029000;3.304610
148;381;0.031500;3.348539
149;25;0.031900;3.392841
150;152;0.032200;3.437422
151;336;0.034700;3.480562
152;131;0.035900;3.523524
153;150;0.036500;3.566752
154;4;0.036900;3.610293
155;426;0.037900;3.654135
156;161;0.037500;3.698213
157;364;0.038200;3.742537
158;260;0.040800;3.787232
159;415;0.041200;3.832250
160;423;0.043200;3.877562
161;137;0.041600;3.923276
162;384;0.044600;3.969251
163;163;0.042800;4.015582
164;495;0.045200;4.062277
165;443;0.046800;4.109228
166;185;0.046900;4.156583
167;340;0.047700;4.204292
168;416;0.047800;4.252258
169;346;0.051300;4.300534
170;327;0.050200;4.349126
171;99;0.049900;4.398103
172;300;0.050600;4.447434
173;407;0.050700;4.497133
174;82;0.051000;4.547206
175;180;0.053400;4.597550
176;396;0.055000;4.648201
177;107;0.056300;4.699195
178;360;0.057300;4.750560
179;303;0.056400;4.802155
180;410;0.060300;4.854123
181;110;0.063100;4.906483
182;255;0.062900;4.959194
183;126;0.067300;5.012345
184;148;0.064600;5.065682
185;177;0.067500;5.119392
186;120;0.067000;5.173517
187;466;0.070500;5.227915
188;348;0.070400;5.282706
189;417;0.072000;5.337853
190;397;0.071700;5.393342
191;453;0.073100;5.449249
192;483;0.075900;5.505444
193;324;0.074800;5.561857
194;93;0.079000;5.618458
195;194;0.080300;5.675360
196;337;0.080300;5.732677
197;427;0.083200;5.790311
198;122;0.081600;5.848222
199;318;0.084500;5.906440
200;306;0.086000;5.964937
201;83;0.085600;6.023687
202;349;0.090100;6.082688
203;190;0.088700;6.141903
204;157;0.089000;6.201419
205;438;0.091300;6.261348
206;168;0.093200;6.321520
207;449;0.094000;6.381998
208;294;0.094000;6.442938
209;489;0.096700;6.503953
210;375;0.097100;6.565170
211;333;0.099300;6.626752
212;478;0.101300;6.688542
213;37;0.103700;6.750679
214;428;0.102900;6.813207
215;442;0.106900;6.875804
216;392;0.104100;6.938797
217;171;0.107100;7.002061
218;369;0.110900;7.065599
219;134;0.108600;7.129514
220;81;0.115100;7.193844
221;125;0.114200;7.258498
222;482;0.117000;7.323384
223;265;0.115700;7.388540
224;202;0.116000;7.454011
225;305;0.117900;7.519626
226;205;0.120100;7.585551
227;135;0.122100;7.651914
228;424;0.120500;7.718502
229;354;0.123400;7.785473
230;370;0.125400;7.852750
231;113;0.124100;7.920254
232;243;0.125800;7.988035
233;184;0.128500;8.056178
234;413;0.126600;8.124489
235;399;0.130200;8.192984
236;218;0.132400;8.261762
237;270;0.137900;8.330812
238;289;0.135000;8.400346
239;240;0.136900;8.470017
240;379;0.135300;8.539987
241;219;0.136100;8.610359
242;266;0.138700;8.681067
243;215;0.140900;8.751873
244;409;0.141800;8.823008
245;393;0.145700;8.894666
246;452;0.151600;8.966430
247;385;0.150400;9.038268
248;155;0.153000;9.110413
