k;seed;inf;tim
0;107;0.007000;0.003292
10;1750;0.011000;67.304459
20;2029;0.012750;136.801327
30;1763;0.014000;206.452590
40;3895;0.025250;276.185088
50;279;0.033000;346.075940
60;1746;0.047500;415.987415
70;301;0.052000;485.939491
80;43;0.054250;555.912580
90;3495;0.057750;625.933005
100;4025;0.056000;695.923125
110;4003;0.063750;765.916334
120;3594;0.069000;835.913210
130;1599;0.075250;905.942109
140;2088;0.077750;976.001328
150;3929;0.083000;1046.108065
160;1877;0.094500;1116.202187
170;1345;0.103500;1186.419533
180;1986;0.112000;1256.611688
190;2040;0.118000;1326.761351
200;1375;0.129500;1396.942926
210;2361;0.133000;1467.134915
220;201;0.142000;1537.325585
230;3817;0.147750;1607.550438
240;3935;0.159250;1677.803291
250;1551;0.160750;1748.067505
260;1567;0.193250;1818.470357
270;2001;0.198750;1888.833209
280;1262;0.206000;1959.228196
290;1394;0.207500;2029.660169
300;3244;0.230000;2100.137609
310;365;0.258500;2170.554215
320;1727;0.270500;2241.021779
330;636;0.282500;2311.536813
340;4036;0.306500;2382.176232
350;3881;0.309000;2452.733238
360;355;0.337000;2523.292228
370;193;0.366000;2593.910629
380;2679;0.388500;2664.498878
390;3974;0.391000;2735.094419
400;3297;0.423250;2805.754486
410;3027;0.412250;2876.441578
420;3663;0.460000;2947.136286
430;1319;0.481000;3017.928729
440;11;0.489750;3088.668913
450;3620;0.487500;3159.450725
460;1044;0.494750;3230.216614
470;1072;0.489000;3300.989411
480;2670;0.497500;3371.770933
490;619;0.500000;3442.560149
