k;seed;inf;tim
0;271;0.053000;0.000091
10;478;0.137000;0.331939
20;487;0.198000;0.669924
30;92;0.261000;1.020639
40;213;0.302000;1.380047
50;73;0.337000;1.744648
60;200;0.373000;2.115271
70;440;0.422000;2.492446
80;404;0.461000;2.876032
90;392;0.479000;3.263421
100;149;0.497000;3.655908
110;332;0.533000;4.052173
120;384;0.573000;4.451542
130;450;0.590000;4.855590
140;194;0.588000;5.264108
150;359;0.618000;5.674705
160;244;0.644000;6.087794
170;218;0.674000;6.502776
180;178;0.686000;6.921061
190;115;0.716000;7.343490
200;214;0.740000;7.767247
210;69;0.751000;8.191504
220;171;0.770000;8.616544
230;137;0.778000;9.045099
240;455;0.790000;9.476228
250;184;0.812000;9.907383
260;283;0.830000;10.339992
270;247;0.835000;10.774186
280;156;0.844000;11.210411
290;406;0.871000;11.645812
300;118;0.877000;12.082486
310;397;0.895000;12.518812
320;376;0.905000;12.956065
330;160;0.904000;13.395673
340;107;0.932000;13.833310
350;127;0.939000;14.270832
360;343;0.938000;14.707352
370;354;0.949000;15.144378
380;380;0.956000;15.582421
390;393;0.962000;16.019250
400;279;0.971000;16.454499
410;32;0.977000;16.889563
420;227;0.983000;17.324089
430;268;0.985000;17.759576
440;312;0.987000;18.193463
450;310;0.993000;18.624526
460;313;0.996000;19.054718
470;34;0.997000;19.485547
480;263;0.998000;19.915901
490;499;1.000000;20.343785
