k;seed;inf;tim
0;271;0.065400;0.000163
10;19;0.290100;0.693572
20;260;0.420900;1.402296
30;238;0.477700;2.115506
40;246;0.515600;2.825529
50;18;0.552200;3.533643
60;490;0.608600;4.238778
70;74;0.652000;4.943704
80;93;0.686300;5.650728
90;32;0.724200;6.362531
100;457;0.731600;7.077676
110;493;0.741400;7.803566
120;235;0.766600;8.531518
130;480;0.790700;9.250463
140;186;0.794000;9.966188
150;237;0.820700;10.675190
160;496;0.829400;11.383902
170;225;0.845400;12.098762
180;300;0.855600;12.817725
190;85;0.870700;13.532588
200;209;0.881700;14.247307
210;130;0.890000;14.960746
220;420;0.899800;15.671330
230;171;0.914000;16.379580
240;282;0.925000;17.084315
250;87;0.931900;17.790093
260;252;0.932200;18.496019
270;136;0.940500;19.199640
280;192;0.946400;19.900715
290;76;0.948700;20.598532
300;334;0.956800;21.297588
310;288;0.960400;21.999047
320;156;0.964200;22.707543
330;353;0.967600;23.421564
340;187;0.972500;24.139128
350;236;0.975500;24.850282
360;204;0.979400;25.557603
370;383;0.981900;26.266209
380;101;0.980500;26.976603
390;448;0.983700;27.690508
400;361;0.987800;28.395376
410;338;0.989700;29.104168
420;404;0.992700;29.808091
430;417;0.993800;30.512752
440;120;0.994600;31.215533
450;314;0.996500;31.917998
460;106;0.996900;32.620897
470;285;0.998000;33.313227
480;453;0.998400;34.002697
490;374;0.999200;34.692018
