k;seed;inf;tim
0;499;0.000000;0.003330
10;237;0.000100;0.290292
20;236;0.001690;0.976756
30;4;0.004640;2.195924
40;447;0.010450;3.927625
50;389;0.019550;6.223720
60;487;0.028370;9.276422
70;235;0.042010;13.041867
80;401;0.054240;17.500968
90;402;0.069330;22.584722
100;496;0.085070;28.184434
110;388;0.101940;34.414487
120;333;0.117840;41.217588
130;17;0.135150;48.581045
140;54;0.147220;56.402961
150;103;0.167400;64.689903
160;180;0.182630;73.425522
170;194;0.203190;82.579809
180;73;0.226870;92.043503
190;218;0.246080;101.734917
200;86;0.266400;111.704354
210;346;0.279470;121.955334
220;353;0.294830;132.437588
230;268;0.309100;143.134995
240;247;0.325060;154.105477
250;104;0.342160;165.350735
260;367;0.360050;176.811139
270;141;0.378000;188.617890
280;68;0.401700;200.517901
290;489;0.410260;212.747588
300;366;0.427330;225.103113
310;183;0.450370;237.706927
320;453;0.468130;250.520997
330;206;0.482310;263.591062
340;228;0.499820;276.683455
350;377;0.519170;289.974465
360;26;0.537320;303.320570
370;485;0.550520;316.885999
380;334;0.569520;330.513215
390;264;0.589450;344.159742
400;437;0.604890;357.919237
410;371;0.630290;371.780798
420;245;0.662440;385.739161
430;79;0.688030;399.804139
440;23;0.718060;413.975926
450;326;0.744100;428.264619
460;52;0.770980;442.602308
470;30;0.794780;457.101924
480;310;0.842930;471.669573
490;308;0.895380;486.286970
