k;seed;inf;tim
0;499;0.000000;0.000705
10;237;0.082800;0.455579
20;376;0.174900;1.314737
30;143;0.208800;2.329612
40;354;0.247700;3.392593
50;168;0.312700;4.485537
60;63;0.348300;5.597616
70;201;0.374600;6.732641
80;483;0.410400;7.889251
90;435;0.449300;9.062054
100;284;0.476200;10.251474
110;159;0.509200;11.457928
120;346;0.530700;12.678811
130;491;0.570800;13.908392
140;494;0.600900;15.150114
150;231;0.623800;16.402326
160;290;0.650500;17.661868
170;188;0.678000;18.932461
180;297;0.698700;20.215853
190;51;0.713000;21.497253
200;322;0.722400;22.787616
210;6;0.735400;24.080659
220;134;0.763700;25.379929
230;380;0.775000;26.684156
240;122;0.791900;27.992797
250;408;0.811900;29.306300
260;8;0.820700;30.622527
270;142;0.839400;31.941809
280;71;0.855200;33.264791
290;113;0.869800;34.590714
300;371;0.883400;35.920271
310;355;0.890100;37.249737
320;406;0.904200;38.578839
330;465;0.909400;39.906873
340;422;0.921700;41.232429
350;356;0.930600;42.559207
360;287;0.934300;43.891878
370;72;0.944900;45.224853
380;361;0.951000;46.554581
390;308;0.958700;47.882467
400;485;0.965200;49.209255
410;36;0.970300;50.534191
420;274;0.972600;51.857754
430;118;0.976200;53.179098
440;148;0.982800;54.500350
450;104;0.988900;55.819632
460;18;0.992400;57.136593
470;5;0.995800;58.454254
480;16;0.997300;59.766091
490;285;0.999300;61.074676
