k;seed;inf;tim
0;263;0.000000;3.002040
10;380;0.000400;62.212372
20;418;0.001000;88.270332
30;372;0.003600;105.953125
40;83;0.010700;152.403177
50;318;0.017500;175.631096
60;65;0.024900;296.262518
70;485;0.030600;314.024969
80;418;0.032700;336.878064
90;300;0.046600;354.779296
100;263;0.057600;378.140601
110;226;0.073200;399.872311
120;263;0.075000;414.602490
130;118;0.075700;420.086302
140;208;0.078100;286.562785
150;20;0.097300;738.184172
160;337;0.105400;454.417771
170;283;0.118600;625.536416
180;9;0.119400;484.878640
190;283;0.121800;332.513655
200;278;0.133600;341.971386
210;464;0.150500;522.090597
220;20;0.159800;357.117191
230;56;0.178300;1257.662906
240;345;0.183000;551.599884
250;300;0.211300;568.436282
260;270;0.253000;1720.789704
270;333;0.255600;586.461213
280;295;0.261700;397.271037
290;12;0.273600;797.233119
300;65;0.289600;607.187399
310;77;0.295800;611.468735
320;285;0.306000;414.895027
330;271;0.313600;420.458573
340;41;0.321100;425.248718
350;6;0.338400;851.372743
360;471;0.344100;436.220582
370;269;0.354900;441.439117
380;304;0.366600;880.735802
390;14;0.395100;671.545501
400;384;0.434100;456.214058
410;413;0.438600;458.572936
420;397;0.462000;463.766028
430;361;0.478400;694.504560
440;286;0.506200;1384.883236
450;464;0.551800;704.918440
460;50;0.607200;1635.717886
470;18;0.613600;481.703835
480;264;0.649800;953.159840
490;55;0.916000;3552.870729
