k;seed;inf;tim
0;263;0.000000;0.000117
10;182;0.000000;0.034032
20;80;0.000000;0.086983
30;474;0.001300;0.158016
40;285;0.005800;0.250709
50;337;0.012200;0.368698
60;15;0.019200;0.505926
70;491;0.022100;0.657675
80;218;0.026200;0.817157
90;259;0.036400;0.986722
100;302;0.049900;1.166408
110;427;0.057800;1.354127
120;81;0.061000;1.548731
130;136;0.060700;1.749642
140;325;0.064700;1.955217
150;6;0.077700;2.166419
160;255;0.087300;2.385372
170;139;0.096700;2.612005
180;2;0.102700;2.847242
190;28;0.107400;3.086926
200;31;0.116900;3.330988
210;429;0.129800;3.580791
220;364;0.145900;3.837180
230;347;0.159600;4.097418
240;457;0.162900;4.361991
250;479;0.190100;4.632482
260;35;0.219400;4.909400
270;428;0.236900;5.192606
280;121;0.236600;5.477702
290;368;0.258600;5.764741
300;350;0.264400;6.054588
310;472;0.272800;6.347378
320;156;0.274900;6.644506
330;130;0.286000;6.944010
340;75;0.298200;7.248274
350;361;0.314800;7.554458
360;442;0.318900;7.864886
370;422;0.329800;8.180914
380;469;0.346100;8.500523
390;321;0.372300;8.819642
400;169;0.401000;9.144193
410;407;0.419200;9.471071
420;154;0.439800;9.800650
430;100;0.451200;10.132699
440;60;0.466300;10.466680
450;340;0.510500;10.802727
460;256;0.569300;11.142206
470;421;0.591000;11.491954
480;149;0.609600;11.834703
490;372;0.693500;12.179674
