k;seed;inf;tim
0;263;0.000000;0.000130
10;466;0.003020;0.440472
20;470;0.009110;1.138756
30;78;0.018120;2.146854
40;28;0.031510;3.465838
50;269;0.047000;5.085016
60;317;0.060590;6.953667
70;43;0.075580;9.119003
80;62;0.090090;11.467768
90;302;0.108320;14.016287
100;331;0.133780;16.714948
110;301;0.152940;19.566169
120;307;0.170440;22.568058
130;96;0.203890;25.703362
140;450;0.222260;28.960943
150;493;0.223050;32.289011
160;11;0.224270;35.648086
170;7;0.224540;39.030145
180;201;0.224540;42.436520
190;237;0.224190;45.861490
200;404;0.224040;49.309591
210;186;0.225020;52.775570
220;447;0.226940;56.262162
230;215;0.227800;59.766779
240;283;0.242700;63.289272
250;437;0.259020;66.851484
260;316;0.269360;70.462945
270;13;0.279400;74.120253
280;163;0.295110;77.839223
290;243;0.317330;81.648060
300;446;0.322000;85.514468
310;486;0.324800;89.421643
320;179;0.339760;93.367802
330;196;0.353050;97.367705
340;292;0.383360;101.428087
350;249;0.401400;105.545474
360;474;0.403500;109.710628
370;294;0.404340;113.909972
380;166;0.406710;118.144425
390;167;0.417850;122.405791
400;216;0.450790;126.707352
410;428;0.475010;131.060913
420;54;0.479740;135.456640
430;351;0.484630;139.882280
440;400;0.539400;144.345616
450;164;0.542240;148.850232
460;355;0.544680;153.386756
470;67;0.579630;157.952568
480;3;0.603420;162.553691
490;17;0.651870;167.190730
