k;seed;inf;tim
0;1;0.000000;0.001535
10;2637;0.000125;12.279010
20;1616;0.000575;24.376725
30;3057;0.001025;36.438203
40;3092;0.001700;48.518443
50;3336;0.002150;60.691688
60;3109;0.002225;72.770139
70;2539;0.002950;84.882373
80;3753;0.003125;97.160098
90;3458;0.004075;109.445273
100;3359;0.004525;121.790661
110;3602;0.005200;134.104596
120;3026;0.005075;146.568883
130;3399;0.006100;159.104941
140;1682;0.006425;171.489959
150;3068;0.007075;183.887099
160;3306;0.007575;196.064282
170;1807;0.007425;208.284980
180;3247;0.008200;220.538805
190;3164;0.008650;232.879918
200;3593;0.009425;245.342372
210;795;0.009800;257.770122
220;534;0.009625;270.071142
230;613;0.009775;282.318861
240;2282;0.009850;294.564610
250;3555;0.010200;306.720907
260;497;0.010350;318.963281
270;78;0.010125;331.239415
280;521;0.009950;343.504600
290;1987;0.009550;355.794178
300;1632;0.009950;368.110058
310;3183;0.010175;380.515005
320;2916;0.010450;392.901350
330;1465;0.010600;405.283917
340;1826;0.010125;417.689221
350;2719;0.010375;430.003538
360;2476;0.010375;441.820024
370;37;0.010350;453.869109
380;3618;0.010475;465.815357
390;3778;0.010300;477.549792
400;3021;0.010525;489.303189
410;3702;0.010025;501.068159
420;1597;0.010550;512.800504
430;285;0.010500;524.657172
440;1373;0.010450;536.472377
450;3423;0.010625;548.366874
460;2329;0.010575;560.381864
470;2877;0.010475;572.411392
480;875;0.010975;584.414667
490;660;0.010525;596.518286
