k;seed;inf;tim
0;1550;0.004000;0.014132
10;78726;0.006100;6196.246016
20;81283;0.007300;12390.886313
30;80670;0.011200;18899.781595
40;76501;0.010700;25086.315224
50;78780;0.010200;31130.043147
60;79878;0.010500;36940.637986
70;79865;0.010600;42749.437010
80;79250;0.011400;48556.446577
90;79088;0.011600;54338.559363
100;80071;0.012000;60108.979940
110;79406;0.011900;65889.595832
120;80333;0.011900;71670.887074
130;76767;0.011700;77470.947595
140;79356;0.011600;83255.136960
150;78777;0.011600;89048.522594
160;80013;0.011600;94842.506233
170;80393;0.011000;100662.621711
180;77539;0.011600;106449.904129
190;78701;0.012100;112236.173361
200;77208;0.011400;118026.426357
210;77422;0.011200;123906.287612
220;79640;0.011700;129737.153549
230;79549;0.011600;135565.396961
240;79835;0.011500;141399.012982
250;79021;0.011800;147232.515119
260;80807;0.011100;153068.295040
270;79836;0.011500;158858.314481
280;76814;0.011500;164648.801440
290;79797;0.011700;170451.530124
300;80294;0.011000;176310.036880
310;81042;0.010900;182098.653265
320;80994;0.011800;187946.895280
330;79773;0.011700;193733.043847
340;79304;0.010900;199517.206497
350;80740;0.011300;205300.794906
360;77715;0.012000;211106.814395
370;79930;0.011700;216881.445432
380;77141;0.011600;222657.970404
390;81292;0.012100;228433.919881
400;76620;0.011700;234234.290067
410;77291;0.011400;240063.797186
420;78548;0.011600;245847.793351
430;78677;0.010800;251622.367561
440;79825;0.011800;257398.285234
450;78301;0.011000;263189.311993
460;78920;0.011300;268991.637097
470;80319;0.012100;274769.711171
480;76589;0.011800;280549.572489
490;80581;0.011500;286341.206535
