k;seed;inf;tim
0;499;0.000000;0.000700
10;463;0.000000;0.035325
20;432;0.000000;0.124461
30;402;0.000000;0.255927
40;259;0.000000;0.416478
50;218;0.000000;0.611628
60;166;0.000000;0.845513
70;208;0.000100;1.108847
80;217;0.014500;1.396819
90;424;0.075000;1.707955
100;233;0.110500;2.041119
110;385;0.184200;2.392760
120;109;0.241700;2.763585
130;336;0.336700;3.152005
140;423;0.423200;3.554515
150;152;0.492700;3.970386
160;311;0.588500;4.398264
170;479;0.647100;4.834945
180;82;0.702200;5.280833
190;27;0.744500;5.734033
200;118;0.799300;6.193474
210;175;0.859400;6.656388
220;169;0.909000;7.122598
230;321;0.929600;7.592166
240;25;0.965200;8.064918
250;415;0.985600;8.538829
260;231;0.977900;9.014945
270;226;0.998600;9.493649
280;495;0.999900;9.975121
290;452;1.000000;10.457382
300;405;1.000000;10.939637
310;379;0.999900;11.423711
320;357;1.000000;11.908765
330;341;1.000000;12.395150
340;320;1.000000;12.881168
350;298;1.000000;13.367795
360;284;1.000000;13.855370
370;273;1.000000;14.343461
380;263;1.000000;14.829614
390;241;1.000000;15.316106
400;198;1.000000;15.803187
410;151;1.000000;16.291983
420;122;0.997400;16.781935
430;99;1.000000;17.273164
440;84;1.000000;17.765543
450;63;1.000000;18.258934
460;50;1.000000;18.750193
470;39;1.000000;19.241490
480;28;1.000000;19.733615
490;16;1.000000;20.226738
