k;seed;inf;tim
0;263;0.000000;0.000119
10;466;0.000000;0.009768
20;167;0.000000;0.029001
30;250;0.000000;0.055876
40;322;0.000000;0.089892
50;41;0.002200;0.128925
60;304;0.008600;0.175107
70;457;0.017400;0.227230
80;315;0.021600;0.285326
90;491;0.031200;0.348542
100;424;0.050700;0.417281
110;310;0.055600;0.490668
120;308;0.072200;0.568304
130;358;0.090000;0.650873
140;83;0.102400;0.738878
150;49;0.115000;0.831188
160;495;0.133900;0.927392
170;141;0.152000;1.027390
180;364;0.174100;1.131817
190;24;0.200000;1.240620
200;53;0.211700;1.353123
210;92;0.237200;1.469067
220;428;0.266000;1.588239
230;390;0.290000;1.711071
240;6;0.307300;1.836904
250;458;0.337400;1.965656
260;133;0.372500;2.097685
270;461;0.393800;2.233212
280;18;0.455400;2.370367
290;469;0.492800;2.509682
300;406;0.544500;2.651342
310;400;0.588100;2.794842
320;335;0.633600;2.940451
330;429;0.678100;3.088085
340;399;0.655400;3.238198
350;442;0.736900;3.389508
360;298;0.784100;3.541414
370;476;0.815200;3.694010
380;294;0.870300;3.847442
390;225;0.885100;4.001743
400;243;0.912500;4.157001
410;262;0.944000;4.313088
420;460;0.968500;4.469125
430;172;0.986200;4.625346
440;363;0.996600;4.781999
450;382;0.999800;4.939299
460;371;0.999800;5.097071
470;414;0.999800;5.255377
480;104;1.000000;5.414506
490;56;1.000000;5.573633
