k;seed;inf;tim
0;23;0.000000;0.000520
10;5870;0.000000;0.052854
20;5860;0.000000;0.125984
30;5850;0.000000;0.241506
40;5838;0.000000;0.385569
50;5822;0.000000;0.552903
60;5830;0.000000;0.742910
70;5798;0.000000;0.953152
80;5787;0.000000;1.185158
90;5775;0.000000;1.437696
100;5764;0.000000;1.707775
110;5753;0.000000;1.993426
120;5743;0.000000;2.301858
130;5732;0.000000;2.629486
140;5714;0.000000;2.976907
150;5704;0.000000;3.347705
160;5692;0.000000;3.763341
170;5678;0.000000;4.208686
180;5665;0.000000;4.684151
190;5653;0.000000;5.185057
200;5635;0.000000;5.716432
210;5625;0.000000;6.271264
220;5614;0.000000;6.848532
230;5599;0.000000;7.452138
240;5588;0.000000;8.080582
250;5574;0.000000;8.734054
260;5559;0.000000;9.419839
270;5540;0.000000;10.126899
280;5521;0.000000;10.860047
290;5502;0.000000;11.625631
300;5494;0.000000;12.428137
310;5470;0.000000;13.254614
320;5459;0.000000;14.118155
330;5447;0.000000;15.005667
340;5432;0.000000;15.918282
350;5407;0.000000;16.853221
360;5395;0.000000;17.803970
370;5371;0.000000;18.778127
380;5357;0.000000;19.777897
390;5346;0.000000;20.800272
400;5330;0.000000;21.846541
410;5319;0.000000;22.917728
420;5302;0.000000;24.008359
430;5290;0.000000;25.116388
440;5279;0.000000;26.246136
450;5265;0.000000;27.396907
460;5247;0.000000;28.568502
470;5235;0.000000;29.754468
480;5225;0.000000;30.955593
490;5213;0.000000;32.164993
