k;seed;inf;tim
0;5880;0.000000;0.011353
10;5869;0.000000;0.163336
20;5859;0.000000;0.398406
30;5849;0.000000;0.766425
40;5837;0.000000;1.219371
50;5830;0.000000;1.740372
60;5808;0.000000;2.329911
70;5797;0.000000;2.971572
80;5787;0.000000;3.711885
90;5774;0.000000;4.526807
100;5764;0.000000;5.387601
110;5754;0.000000;6.297370
120;5744;0.000000;7.266141
130;5733;0.000000;8.292424
140;5717;0.000000;9.375107
150;5705;0.000000;10.525315
160;5693;0.000000;11.813000
170;5679;0.000000;13.225424
180;5667;0.000000;14.728612
190;5655;0.000000;16.314594
200;5636;0.000000;17.975521
210;5627;0.000000;19.723067
220;5618;0.000000;21.527372
230;5604;0.000000;23.400412
240;5591;0.000000;25.349429
250;5578;0.000000;27.375000
260;5564;0.000000;29.476459
270;5547;0.000000;31.680484
280;5533;0.000000;33.965099
290;5511;0.000000;36.348216
300;5495;0.000000;38.857622
310;5477;0.000000;41.464318
320;5467;0.000000;44.159503
330;5458;0.000000;47.004702
340;5446;0.000000;49.938532
350;5432;0.000000;52.953754
360;5407;0.000000;56.041850
370;5395;0.000000;59.190035
380;5371;0.000000;62.423324
390;5357;0.000000;65.724581
400;5346;0.000000;69.083583
410;5332;0.000000;72.516212
420;5328;0.000000;76.016830
430;5302;0.000000;79.579939
440;5291;0.000000;82.788125
450;5279;0.000000;85.728748
460;5265;0.000000;88.712121
470;5248;0.000000;91.762270
480;5237;0.000000;94.890044
490;5228;0.000000;98.047225
