k;seed;inf;tim
0;20;0.000000;0.000008
1;79;0.003700;0.003484
2;108;0.013900;0.006855
3;86;0.024000;0.010133
4;109;0.029100;0.013376
5;103;0.032500;0.016701
6;101;0.035700;0.020121
7;56;0.041000;0.023613
8;89;0.041400;0.027472
9;98;0.041800;0.031324
10;87;0.047000;0.035193
11;62;0.048100;0.038993
12;10;0.049200;0.042880
13;15;0.053200;0.046854
14;84;0.060200;0.050890
15;85;0.070200;0.054986
16;64;0.073100;0.059145
17;5;0.078900;0.063354
18;47;0.087200;0.067647
19;68;0.090600;0.072018
20;78;0.105600;0.076425
21;82;0.115600;0.080889
22;81;0.115100;0.085468
23;74;0.122700;0.090183
24;39;0.125900;0.094961
25;72;0.134000;0.099807
26;25;0.137100;0.104696
27;93;0.145900;0.109706
28;42;0.154700;0.114805
29;28;0.160400;0.119965
30;49;0.163500;0.125231
31;8;0.168900;0.130589
32;59;0.171900;0.135988
33;107;0.176400;0.141450
34;43;0.190200;0.146973
35;57;0.194000;0.152552
36;65;0.200900;0.158208
37;90;0.206800;0.163944
38;58;0.212300;0.169752
39;71;0.217400;0.175592
40;38;0.223800;0.181508
41;22;0.228200;0.187488
42;30;0.238700;0.193517
43;104;0.241900;0.199588
44;102;0.249500;0.205728
45;61;0.254800;0.211949
46;75;0.252900;0.218264
47;31;0.260700;0.224651
48;91;0.266100;0.231102
49;110;0.273700;0.237585
50;83;0.267200;0.244159
51;80;0.272600;0.250749
52;45;0.270600;0.257412
53;37;0.282000;0.264126
54;63;0.289500;0.270906
55;46;0.294700;0.277715
56;9;0.299400;0.284577
57;52;0.312000;0.291486
58;100;0.311100;0.298464
59;35;0.329600;0.305461
60;27;0.343900;0.312491
61;55;0.350500;0.319586
62;44;0.365200;0.326742
63;6;0.361700;0.333938
64;111;0.380100;0.341213
65;106;0.381200;0.348540
66;21;0.393700;0.355902
67;16;0.397100;0.363303
68;19;0.407500;0.370743
69;54;0.415400;0.378213
70;40;0.428700;0.385771
71;96;0.433400;0.393368
72;77;0.448900;0.401007
73;41;0.466300;0.408721
74;105;0.474700;0.416505
75;50;0.478100;0.424301
76;76;0.493300;0.432159
77;18;0.495100;0.440052
78;13;0.505300;0.448023
79;23;0.529100;0.456024
80;69;0.542400;0.464094
81;33;0.555400;0.472210
82;51;0.564100;0.480378
83;99;0.574500;0.488580
84;88;0.581200;0.496833
85;12;0.589800;0.505114
86;26;0.599900;0.513478
87;53;0.598400;0.521902
88;60;0.615200;0.530358
89;95;0.630700;0.538842
90;48;0.649300;0.547364
91;92;0.682800;0.555942
92;2;0.720100;0.564576
93;32;0.739700;0.573212
94;29;0.754800;0.581854
95;97;0.802400;0.590554
96;36;0.803600;0.599274
97;4;0.805300;0.608040
98;34;0.813600;0.616832
99;94;0.827600;0.625656
100;66;0.855800;0.634492
101;1;0.902400;0.643346
102;0;0.903500;0.652223
103;11;0.913200;0.661124
104;67;0.924000;0.670032
105;70;0.929600;0.678909
106;14;0.934200;0.687825
107;3;0.940100;0.696752
108;73;0.971200;0.705658
109;17;0.974900;0.714564
