k;seed;inf;tim
0;20;0.002300;0.000008
1;79;0.012100;0.009866
2;108;0.024100;0.018704
3;86;0.027900;0.027615
4;109;0.030300;0.037499
5;56;0.038700;0.047130
6;103;0.038600;0.056769
7;101;0.044200;0.066639
8;62;0.043800;0.076694
9;87;0.045500;0.087582
10;10;0.048500;0.098039
11;98;0.049000;0.108641
12;84;0.048500;0.119424
13;85;0.057200;0.130445
14;15;0.064800;0.141766
15;89;0.076100;0.153170
16;64;0.078300;0.164739
17;78;0.082800;0.176484
18;68;0.095000;0.188448
19;47;0.106400;0.200685
20;5;0.112900;0.213105
21;74;0.120500;0.225765
22;81;0.121500;0.238601
23;25;0.123600;0.251659
24;72;0.130400;0.264929
25;82;0.141300;0.278397
26;39;0.151200;0.292083
27;28;0.155500;0.306070
28;93;0.157400;0.320325
29;49;0.162200;0.334732
30;71;0.167700;0.349281
31;42;0.175700;0.364081
32;8;0.177000;0.379044
33;61;0.183300;0.394198
34;57;0.191600;0.409547
35;107;0.198700;0.425078
36;90;0.210900;0.440786
37;43;0.211100;0.456731
38;58;0.211100;0.472911
39;65;0.223500;0.489202
40;38;0.227700;0.505657
41;102;0.234400;0.522195
42;30;0.246700;0.538875
43;22;0.254900;0.555785
44;91;0.256000;0.572996
45;31;0.255700;0.590356
46;75;0.260200;0.607942
47;63;0.263100;0.625697
48;104;0.261700;0.643590
49;37;0.264000;0.661687
50;59;0.266500;0.679967
51;80;0.273600;0.698306
52;45;0.277300;0.716812
53;46;0.285300;0.735451
54;110;0.299500;0.754288
55;83;0.300400;0.773198
56;100;0.309700;0.792242
57;35;0.310800;0.811380
58;9;0.324400;0.830702
59;52;0.330800;0.850121
60;44;0.357100;0.869764
61;54;0.364800;0.889369
62;27;0.373800;0.909178
63;111;0.377700;0.929091
64;6;0.380600;0.949097
65;21;0.392900;0.969260
66;106;0.404400;0.989718
67;19;0.404100;1.010283
68;16;0.404900;1.031004
69;40;0.430000;1.051870
70;55;0.430200;1.072745
71;96;0.447200;1.093764
72;77;0.462900;1.114896
73;41;0.473200;1.136162
74;18;0.479200;1.157526
75;50;0.477400;1.179049
76;105;0.503300;1.200724
77;76;0.517100;1.222617
78;23;0.532900;1.244519
79;13;0.547500;1.266587
80;69;0.553700;1.288768
81;51;0.559600;1.311041
82;33;0.577600;1.333388
83;60;0.582900;1.355882
84;99;0.590100;1.378517
85;26;0.593000;1.401435
86;95;0.592100;1.424268
87;12;0.615600;1.447283
88;53;0.628500;1.470348
89;48;0.643700;1.493510
90;92;0.689500;1.516848
91;88;0.724700;1.540280
92;2;0.750900;1.563775
93;32;0.752100;1.587489
94;97;0.800300;1.611149
95;29;0.799800;1.634978
96;4;0.804100;1.658960
97;36;0.808600;1.682997
98;94;0.814200;1.707024
99;34;0.857100;1.731112
100;66;0.901600;1.755431
101;1;0.910200;1.779656
102;11;0.914500;1.803909
103;14;0.922500;1.828139
104;0;0.930400;1.852394
105;70;0.930700;1.876708
106;73;0.940900;1.901077
107;67;0.970300;1.925476
108;3;0.972500;1.949932
109;24;0.000000;1.974323
