k;seed;inf;tim
0;271;0.000000;0.000183
10;90;0.000000;0.379079
20;5;0.000200;0.974624
30;494;0.001300;1.800278
40;44;0.006400;2.903015
50;317;0.011200;4.318931
60;256;0.024900;6.155277
70;497;0.027300;8.382037
80;260;0.028500;10.614293
90;422;0.037600;12.761861
100;222;0.045800;15.184715
110;150;0.064000;17.789212
120;298;0.071900;20.386787
130;130;0.074600;23.119865
140;381;0.074400;25.896899
150;122;0.086600;28.721438
160;223;0.092300;31.618749
170;289;0.099400;34.617921
180;469;0.116400;37.711452
190;491;0.119700;40.892286
200;486;0.134200;44.140513
210;229;0.139400;47.466072
220;378;0.154800;50.861769
230;203;0.168600;54.331249
240;218;0.178500;57.898748
250;24;0.192100;61.528775
260;56;0.205700;65.224901
270;292;0.219100;69.012183
280;321;0.251700;72.879266
290;124;0.261000;76.791766
300;172;0.269400;80.743812
310;10;0.284200;84.759290
320;93;0.293200;88.811573
330;402;0.294300;92.893244
340;443;0.298100;96.993271
350;252;0.311500;101.129364
360;390;0.313900;105.307325
370;461;0.334800;109.527523
380;247;0.348900;113.788760
390;472;0.371200;118.087457
400;102;0.384700;122.429653
410;285;0.398500;126.815783
420;4;0.428900;131.245086
430;288;0.452000;135.706082
440;220;0.465600;140.203396
450;74;0.488300;144.731614
460;326;0.524800;149.289759
470;391;0.542300;153.879756
480;42;0.592300;158.503539
490;323;0.705000;163.150388
