k;seed;inf;tim
0;364;0.040000;1.403994
10;344;0.102000;1.449930
20;428;0.140000;1.500090
30;458;0.204000;4.235332
40;90;0.222000;4.287775
50;317;0.230000;4.340760
60;455;0.244000;8.383645
70;161;0.264000;8.437949
80;293;0.258000;8.492507
90;191;0.288000;15.619039
100;219;0.302000;15.674948
110;112;0.306000;15.731159
120;33;0.308000;28.515141
130;499;0.328000;28.572276
140;38;0.364000;28.629687
150;402;0.344000;51.596736
160;95;0.362000;51.654779
170;287;0.340000;51.712866
180;273;0.346000;89.353716
190;445;0.378000;89.412351
200;393;0.376000;89.471149
