k;seed;inf;tim
0;271;0.061110;0.000052
10;177;0.329900;9.400989
20;257;0.485940;18.516272
30;471;0.552940;27.769474
40;498;0.654520;37.212769
50;222;0.723410;46.711805
60;174;0.745880;56.338141
70;480;0.799130;66.172876
80;333;0.812960;75.977683
90;496;0.841280;85.712855
100;466;0.875100;95.466563
110;247;0.899700;104.999768
120;126;0.911060;114.521422
130;373;0.924390;124.269470
140;31;0.938260;134.269773
150;252;0.944810;144.114270
160;476;0.953520;154.156800
170;407;0.963510;164.099454
180;370;0.968350;173.434359
190;64;0.972660;182.722486
200;404;0.981070;191.961150
210;9;0.982700;201.530106
220;360;0.985110;211.300788
230;219;0.988210;221.023973
240;383;0.991100;230.706301
250;231;0.992660;240.208115
260;1;0.994000;249.501111
270;337;0.995000;258.679205
280;441;0.995900;268.003725
290;351;0.996510;277.347868
300;332;0.997120;286.620912
310;428;0.997410;295.754214
320;394;0.998180;304.944362
330;342;0.998840;314.096398
340;55;0.999110;323.402273
350;16;0.999180;332.991141
360;43;0.999410;342.148499
370;190;0.999640;351.149708
380;228;0.999690;360.478304
390;368;0.999790;369.729991
400;391;0.999820;378.843211
410;293;0.999890;387.992249
420;499;0.999910;397.261983
430;226;0.999920;406.539085
440;405;0.999950;415.564144
450;499;0.999940;424.768168
460;499;0.999970;434.249934
470;499;0.999990;443.619540
480;111;0.999990;452.723113
490;278;1.000000;461.836686
