k;seed;inf;tim
0;499;0.000000;0.003348
10;3;0.305500;19.192564
20;240;0.471960;40.283685
30;246;0.518670;61.519076
40;388;0.582170;82.868968
50;484;0.661600;104.268085
60;472;0.716020;125.721847
70;212;0.739840;147.234533
80;395;0.758470;168.856981
90;182;0.795780;190.447963
100;365;0.814590;212.047996
110;296;0.839200;233.669746
120;398;0.858630;255.295597
130;131;0.875880;276.913048
140;247;0.893680;298.629163
150;168;0.904970;320.259697
160;13;0.918960;341.899869
170;202;0.931220;363.517751
180;313;0.936980;385.128335
190;121;0.944370;406.696582
200;127;0.950960;428.234500
210;136;0.958290;449.770739
220;122;0.963060;471.280066
230;288;0.968110;492.765573
240;277;0.972380;514.255416
250;242;0.977170;535.663505
260;367;0.980210;557.042578
270;162;0.983740;578.414369
280;205;0.985540;599.785244
290;28;0.987560;621.078282
300;65;0.989980;642.366612
310;266;0.991650;663.672911
320;139;0.993230;684.894202
330;19;0.994360;706.095493
340;459;0.995550;727.239401
350;251;0.996120;748.339684
360;148;0.996630;769.405258
370;78;0.997250;790.447978
380;394;0.997750;811.443474
390;207;0.998100;832.427748
400;107;0.998860;853.400757
410;355;0.999050;874.335489
420;342;0.999310;895.223543
430;47;0.999470;916.081551
440;36;0.999700;936.878741
450;371;0.999780;957.649018
460;368;0.999890;978.401623
470;143;0.999930;999.125933
480;405;0.999960;1019.802065
490;270;0.999980;1040.429877
