k;seed;inf;tim
0;271;0.000000;0.261319
10;494;0.000000;2.236459
20;494;0.000000;4.963237
30;470;0.000000;8.362774
40;132;0.000000;12.452404
50;454;0.000000;17.424137
60;493;0.004000;23.487984
70;281;0.008000;31.114275
80;482;0.002000;40.672042
90;249;0.010000;52.444504
100;432;0.010000;66.964796
110;426;0.012000;85.047968
120;435;0.006000;106.816632
130;487;0.016000;133.478605
140;422;0.012000;165.692890
150;486;0.004000;204.024337
160;476;0.016000;249.612144
170;92;0.022000;303.428954
180;200;0.016000;366.421698
190;197;0.016000;439.764675
200;88;0.018000;524.679507
