k;seed;inf;tim
0;499;0.000000;0.005176
10;454;0.000150;0.485926
20;419;0.001580;1.477167
30;487;0.004150;3.328547
40;235;0.010560;6.462484
50;128;0.018650;11.003775
60;365;0.030150;16.611446
70;483;0.047270;23.198490
80;248;0.069650;30.906567
90;109;0.092580;39.470992
100;434;0.121790;48.748072
110;175;0.150380;58.788791
120;242;0.187500;69.434160
130;456;0.255340;80.726682
140;433;0.303530;92.638469
150;106;0.335870;105.041740
160;93;0.368340;117.925746
170;41;0.399500;131.191176
180;301;0.425290;144.834289
190;278;0.455460;158.722613
200;343;0.483570;172.881688
210;43;0.505260;187.181230
220;68;0.521670;201.659133
230;145;0.530510;216.249670
240;127;0.548430;230.999574
250;415;0.561440;245.916101
260;453;0.576460;260.973039
270;146;0.601430;276.196187
280;485;0.640880;291.692072
290;335;0.673260;307.277904
300;218;0.708250;322.872340
310;334;0.735910;338.592525
320;254;0.748360;354.425573
330;374;0.760290;370.240722
340;426;0.772040;386.056947
350;327;0.782810;401.902241
360;360;0.798170;417.878737
370;70;0.829510;433.831803
380;385;0.855130;449.790894
390;455;0.871400;465.787684
400;207;0.879960;481.779076
410;325;0.886340;497.781047
420;331;0.893260;513.771598
430;32;0.905060;529.741987
440;318;0.924150;545.722365
450;164;0.938990;561.703594
460;465;0.948490;577.654050
470;338;0.964840;593.588474
480;303;0.978650;609.487985
490;61;0.989850;625.356183
