k;seed;inf;tim
0;271;0.000000;4.258901
1;1;0.000000;4.298452
2;91;0.000000;4.341638
3;476;0.000200;4.385656
4;258;0.000300;4.431719
5;161;0.000600;4.481232
6;230;0.000100;4.534004
7;251;0.001200;4.589609
8;494;0.001200;4.646928
9;46;0.001500;4.706644
10;344;0.002900;4.769120
11;90;0.003300;4.836979
12;467;0.003400;4.909451
13;237;0.003600;4.981669
14;435;0.004200;5.055470
15;188;0.003200;5.130172
16;486;0.005300;5.205886
17;163;0.005700;5.288755
18;222;0.005900;5.373389
19;87;0.004900;5.463702
20;304;0.007200;5.555584
21;231;0.009400;5.650643
22;351;0.010000;5.749938
23;405;0.010100;5.853376
24;200;0.010900;5.958104
25;246;0.011300;6.066334
26;71;0.012600;6.178861
27;306;0.017200;6.294455
28;261;0.014800;6.413819
29;269;0.016400;6.537686
30;481;0.019800;89.025262
31;482;0.018600;89.152749
32;269;0.021400;89.284327
33;468;0.020500;89.418703
34;2;0.018900;89.554524
35;45;0.021600;89.697632
36;462;0.021200;89.842147
37;495;0.022200;89.989280
38;205;0.020900;90.137441
39;371;0.022000;90.289819
40;60;0.022300;90.445819
41;95;0.021400;90.607231
42;397;0.024700;90.772269
43;343;0.028800;90.940810
44;428;0.031900;91.111603
45;19;0.028800;91.287981
46;360;0.027800;91.466589
47;279;0.030600;91.646762
48;317;0.029900;91.831866
49;489;0.028000;92.017295
50;327;0.030100;92.208754
51;483;0.031000;92.400996
52;239;0.029400;92.596744
53;61;0.031100;92.797302
54;315;0.032200;93.001043
55;30;0.024300;93.208357
56;122;0.028700;93.418477
57;112;0.031000;93.632958
58;479;0.035100;93.849552
59;312;0.034200;94.069640
60;200;0.034800;343.733718
61;81;0.036100;343.960568
62;6;0.041800;344.189659
63;226;0.037400;344.421106
64;289;0.035100;344.653504
65;20;0.032400;344.888865
66;245;0.035400;345.125836
67;39;0.036100;345.368859
68;55;0.033100;345.614577
69;56;0.036100;345.861076
70;485;0.038700;346.108551
71;465;0.034500;346.357059
72;310;0.037100;346.609331
73;35;0.037300;346.865778
74;326;0.036700;347.124260
75;284;0.037700;347.385244
76;173;0.037700;347.645841
77;62;0.037600;347.907982
78;293;0.036700;348.172054
79;27;0.037900;348.437993
80;162;0.039800;348.704825
81;256;0.036200;348.972510
82;339;0.038600;349.242747
83;464;0.037300;349.513304
84;16;0.038500;349.785984
85;5;0.036800;350.061339
86;272;0.038800;350.336562
87;40;0.038700;350.613011
88;32;0.039000;350.892040
89;300;0.041800;351.172597
90;360;0.043400;964.492747
91;278;0.043600;964.779514
92;50;0.041500;965.068896
93;282;0.045300;965.359865
94;99;0.043000;965.651254
95;77;0.039600;965.944687
96;442;0.042200;966.239334
97;350;0.041800;966.535364
98;266;0.041500;966.832554
99;376;0.043700;967.131816
100;37;0.043200;967.431352
101;301;0.057300;967.732635
102;275;0.057700;968.035424
103;223;0.057900;968.339991
104;53;0.058100;968.646218
105;330;0.079100;968.952528
106;140;0.079900;969.262199
107;313;0.087000;969.574155
108;238;0.084600;969.886318
109;263;0.086600;970.199263
110;44;0.085300;970.514046
111;17;0.089400;970.900498
112;24;0.082600;971.254101
113;303;0.084400;971.571807
114;499;0.078400;971.890223
115;453;0.086400;972.211036
116;102;0.083700;972.532484
117;267;0.083000;972.854672
118;294;0.088200;973.177996
119;165;0.084000;973.502164
120;499;0.089900;2366.290239
121;268;0.083900;2366.612948
122;126;0.086100;2366.936665
123;287;0.087600;2367.261683
124;18;0.088700;2367.587199
125;13;0.089500;2367.913031
126;21;0.083500;2368.239608
127;127;0.082800;2368.566928
128;270;0.087000;2368.895247
129;36;0.081600;2369.224706
130;338;0.089400;2369.555510
131;434;0.087600;2369.887053
132;73;0.083300;2370.219243
133;124;0.085800;2370.551605
134;232;0.086200;2370.884457
135;182;0.083500;2371.217651
