k;seed;inf;tim
0;271;0.000000;0.000036
10;213;0.000890;0.422371
20;435;0.003860;0.970867
30;205;0.008550;1.663944
40;210;0.016380;2.503682
50;356;0.024660;3.522414
60;169;0.034550;4.732167
70;106;0.045300;6.108414
80;145;0.057160;7.673996
90;8;0.069380;9.418528
100;410;0.087970;11.316743
110;382;0.100410;13.395156
120;132;0.113960;15.632978
130;0;0.130920;18.019136
140;416;0.143120;20.530490
150;257;0.158520;23.218169
160;92;0.177910;25.994049
170;455;0.193260;28.903426
180;147;0.211940;31.904304
190;88;0.244290;35.032914
