k;seed;inf;tim
0;499;0.000000;0.003372
10;439;0.000150;0.291245
20;458;0.001650;0.955808
30;232;0.004570;2.120354
40;430;0.010270;3.785249
50;315;0.018390;6.061062
60;259;0.028600;9.124584
70;106;0.041610;12.799498
80;212;0.055080;17.173578
90;4;0.069210;22.186629
100;114;0.087470;27.792229
110;445;0.103320;33.979271
120;333;0.118870;40.769671
130;311;0.135000;48.068879
140;83;0.149930;55.825148
150;103;0.170760;64.049467
160;180;0.184340;72.659328
170;470;0.201160;81.645855
180;440;0.228710;90.938864
190;59;0.244040;100.506710
200;336;0.264290;110.361112
210;288;0.279490;120.494843
220;252;0.292010;130.892609
230;462;0.308040;141.518434
240;160;0.324230;152.368476
250;162;0.336310;163.480408
260;312;0.355170;174.811505
270;391;0.371790;186.371927
280;187;0.397450;198.175529
290;457;0.407660;210.176116
300;472;0.423480;222.399196
310;380;0.446580;234.756879
320;115;0.464580;247.303470
330;309;0.478490;260.013766
340;231;0.501290;272.926854
350;108;0.518530;285.978258
360;29;0.536050;299.176996
370;148;0.545520;312.516017
380;41;0.562130;325.922220
390;307;0.583720;339.508190
400;344;0.599630;353.190111
410;423;0.616500;367.036760
420;349;0.651820;380.997700
430;81;0.681020;395.057155
440;492;0.711980;409.130709
450;62;0.739410;423.393101
460;34;0.767250;437.632197
470;265;0.796410;451.926836
480;300;0.843310;466.325330
490;40;0.897600;480.746730
