k;seed;inf;tim
0;263;0.000010;0.000178
10;462;0.002860;0.588268
20;418;0.009600;1.467619
30;242;0.017670;2.734376
40;28;0.032000;4.351598
50;269;0.046680;6.305045
60;317;0.060770;8.639030
70;77;0.076040;11.344951
80;9;0.090290;14.128256
90;30;0.111420;17.187678
100;309;0.131240;20.883165
110;481;0.149660;24.596507
120;36;0.171290;28.509831
130;96;0.202740;32.597459
140;264;0.223690;36.694677
150;320;0.224210;40.862622
160;160;0.223480;45.068800
170;159;0.223990;49.304067
180;124;0.224690;53.635272
190;443;0.224770;57.894573
200;447;0.225590;62.308336
210;1;0.225400;66.755742
220;237;0.227200;71.418775
230;404;0.227490;76.011015
240;248;0.241910;80.656238
250;24;0.258850;85.725978
260;399;0.268710;90.839864
270;146;0.280260;95.794635
280;99;0.294880;100.432417
290;235;0.314600;105.455397
300;116;0.321760;110.352969
310;202;0.324810;115.084044
320;108;0.340500;120.126827
330;326;0.355730;125.122128
340;175;0.384740;129.987441
350;120;0.401550;134.867805
360;165;0.403040;140.282864
370;249;0.403660;145.837374
380;373;0.404750;151.465160
390;440;0.415050;157.492958
400;157;0.451250;163.665283
410;409;0.476790;169.543249
420;206;0.479850;175.257418
430;40;0.482770;181.044256
440;25;0.539820;186.642126
450;8;0.542300;192.471367
460;164;0.542820;198.485963
470;68;0.575360;204.314983
480;371;0.602410;210.060395
490;178;0.650650;216.081654
