k;seed;inf;tim
0;1;0.000000;0.001378
10;3393;0.000500;34.174840
20;1616;0.000780;68.362749
30;2159;0.001400;103.235194
40;2425;0.002120;138.715434
50;1923;0.002820;176.595482
60;2751;0.002840;214.422491
70;2681;0.003680;252.346316
80;1684;0.004280;288.771482
90;2196;0.004560;326.358089
100;2932;0.005020;364.527872
110;3013;0.005500;400.665988
120;1450;0.006700;437.079827
130;3262;0.006980;473.107133
140;988;0.007700;507.222284
150;3303;0.008360;542.860031
160;3306;0.008640;578.609650
170;3072;0.009340;613.469291
180;682;0.008540;649.347504
190;793;0.010180;685.375158
200;68;0.010920;723.226665
210;82;0.011220;761.249289
220;681;0.011220;797.009973
230;3394;0.011780;832.531598
240;3554;0.012080;865.985715
250;113;0.011760;903.108281
260;1330;0.011700;934.694579
270;588;0.012020;968.058966
280;3597;0.011820;1000.710580
290;2389;0.011900;1033.393194
300;2774;0.012260;1067.722774
310;3687;0.011820;1101.855670
320;466;0.011880;1137.889638
330;2986;0.012260;1171.402028
340;3468;0.012000;1205.407485
350;155;0.011880;1236.697816
360;3772;0.012140;1269.166497
370;3258;0.012020;1301.561081
380;343;0.012100;1334.987725
390;2943;0.012080;1368.347963
400;45;0.012280;1400.168824
410;3312;0.012200;1430.378180
420;3229;0.012100;1460.870960
430;2961;0.012100;1490.858739
440;3085;0.012340;1521.087816
450;1632;0.012460;1551.039398
460;2066;0.012420;1581.009841
470;163;0.012520;1612.482455
480;966;0.012200;1642.749428
490;381;0.012380;1672.626677
