k;seed;inf;tim
0;23;0.000000;0.001757
10;1206;0.000000;18.085381
20;2738;0.000100;36.475398
30;3725;0.000550;55.348375
40;1042;0.000800;75.629259
50;4310;0.000950;95.248243
60;4936;0.001200;113.442769
70;1214;0.001300;132.427723
80;4501;0.002250;152.096260
90;4611;0.002100;171.471204
100;3656;0.002800;192.028611
110;4986;0.003150;211.814263
120;1353;0.003550;234.199292
130;67;0.003800;256.168296
140;733;0.004700;274.805539
150;351;0.005450;294.205146
160;3079;0.005100;314.180489
170;4001;0.005800;333.706187
180;1925;0.006600;353.362063
190;4775;0.006400;374.265926
200;1442;0.007600;395.778701
210;5605;0.007400;415.790284
220;3906;0.007550;436.237150
230;4958;0.007650;455.667548
240;900;0.008100;474.964132
250;2918;0.009050;493.864343
260;94;0.008800;511.765785
270;2086;0.009800;529.671108
280;2825;0.008650;547.991413
290;4961;0.009350;567.090104
300;1822;0.009650;586.971786
310;1239;0.009850;607.219334
320;883;0.009750;627.946639
330;3347;0.009100;648.372462
340;2114;0.009900;669.567163
350;4881;0.010100;690.254467
360;4803;0.009900;710.208945
370;496;0.009500;728.762832
380;251;0.010150;746.730449
390;387;0.009700;764.841228
400;1432;0.009650;784.325859
410;1581;0.009800;803.326178
420;5789;0.010100;823.446931
430;3635;0.009800;842.108673
440;1785;0.009550;861.954340
450;4031;0.010300;881.167223
460;2184;0.010000;901.208715
470;4954;0.010150;920.501348
480;1647;0.010250;938.923882
490;727;0.009300;957.259505
