k;seed;inf;tim
0;5880;0.000000;0.012490
10;5703;0.000000;14.137365
20;4530;0.000000;29.854752
30;4012;0.000000;47.424328
40;668;0.000000;70.288480
50;5780;0.000250;95.382994
60;5480;0.000450;124.222050
70;5378;0.000850;156.837658
80;1065;0.001250;193.609122
90;939;0.001650;237.100526
100;5162;0.002350;284.457369
110;1467;0.002950;333.435469
120;4870;0.003300;384.543175
130;5187;0.003900;436.270162
140;5713;0.004700;490.380451
150;783;0.004650;543.554624
160;4571;0.005400;597.601150
170;782;0.005950;655.333022
180;2232;0.006350;712.310946
190;883;0.006900;771.417844
200;3491;0.007100;829.319417
210;1332;0.007550;887.712522
220;1331;0.007500;946.507109
230;100;0.007650;1005.080403
240;1099;0.008100;1062.166816
250;537;0.008350;1117.995782
260;4499;0.009150;1172.822029
270;5374;0.009200;1227.333061
280;1432;0.009450;1282.506033
290;3744;0.009500;1337.894249
300;2240;0.010000;1393.714776
310;2180;0.009800;1448.711614
320;2807;0.009900;1504.772004
330;1617;0.010050;1559.305290
340;5760;0.010000;1613.259782
350;1633;0.010100;1667.723721
360;2681;0.009850;1722.273722
370;3792;0.010250;1777.036723
380;5460;0.010050;1833.408930
390;2764;0.010150;1888.849235
400;5874;0.010250;1945.450364
410;5470;0.010250;2002.770041
420;4186;0.010100;2058.891054
430;4274;0.010150;2117.652771
440;24;0.010500;2175.950531
450;1928;0.010200;2234.761838
460;1822;0.010000;2291.552204
470;3511;0.010100;2349.195935
480;2343;0.010300;2404.461422
490;3420;0.010100;2460.431391
