k;seed;inf;tim
0;463;0.000000;1.975351
10;87;0.000000;140.746047
20;208;0.000000;406.433147
30;433;0.000000;756.032340
40;410;0.000000;1156.776384
50;439;0.000000;1601.324827
60;399;0.000000;2078.979148
70;491;0.000000;2579.316977
80;403;0.000000;3092.540958
90;499;0.000000;3625.233234
100;495;0.000000;4167.116918
110;492;0.000000;4710.892999
120;117;0.000100;5249.042196
130;443;0.000000;5788.550525
140;4;0.002100;6336.840443
150;17;0.017200;6894.603371
160;64;0.000100;7450.602207
170;56;0.000200;8002.470183
180;411;0.000000;8545.553942
190;43;0.088400;9085.598135
200;215;0.093200;9616.163349
