k;seed;inf;tim
0;271;0.000000;0.000129
10;287;0.000000;0.214367
20;315;0.000000;0.676185
30;282;0.000000;1.309836
40;95;0.000000;2.116682
50;485;0.000000;3.051035
60;14;0.000000;4.090425
70;326;0.000000;5.214750
80;267;0.000000;6.460751
90;488;0.000000;7.753773
100;53;0.000000;9.106833
110;58;0.000000;10.518202
120;176;0.000000;11.987702
130;363;0.000000;13.526800
140;149;0.000000;15.122519
150;276;0.000000;16.778834
160;174;0.000000;18.475091
170;240;0.000000;20.196339
180;190;0.001870;21.935700
190;43;0.012080;23.730138
200;344;0.088680;25.521631
210;300;0.140740;27.373253
220;435;0.389470;29.232325
230;3;0.533670;31.116643
240;384;0.475750;33.014475
250;265;0.974780;34.950590
260;24;1.000000;36.877635
270;338;1.000000;38.802410
280;279;0.900000;40.730755
290;198;0.900000;42.664776
300;376;1.000000;44.634979
310;252;1.000000;46.585245
320;126;1.000000;48.569965
330;146;1.000000;50.599096
340;111;1.000000;52.650922
350;401;1.000000;54.755992
360;179;1.000000;56.910895
370;42;1.000000;59.048630
380;360;1.000000;61.098631
390;414;1.000000;63.160576
400;374;1.000000;65.214546
410;26;1.000000;67.215832
420;455;1.000000;69.310912
430;443;1.000000;71.380564
440;417;1.000000;73.444969
450;106;1.000000;75.526827
460;292;1.000000;77.677528
470;64;1.000000;79.907252
480;216;1.000000;82.023033
490;203;1.000000;84.097646
