k;seed;inf;tim
0;271;0.000000;0.000141
10;287;0.000000;0.222428
20;239;0.000000;0.680547
30;313;0.000000;1.301074
40;415;0.000000;2.099851
50;485;0.000000;3.058044
60;351;0.000000;4.103647
70;38;0.000000;5.245449
80;446;0.000000;6.468110
90;428;0.000000;7.824511
100;53;0.000000;9.248765
110;335;0.000000;10.776352
120;16;0.000000;12.256233
130;214;0.000000;13.777338
140;233;0.000000;15.416078
150;141;0.000000;17.109821
160;185;0.000000;18.953937
170;475;0.000000;20.963971
180;31;0.001450;22.988323
190;154;0.018940;24.909693
200;454;0.102150;26.860226
210;188;0.223010;28.936024
220;51;0.350080;31.083876
230;256;0.503850;33.111232
240;161;0.418000;35.112010
250;285;0.985540;37.134222
260;20;0.900000;39.153770
270;421;0.800000;41.148146
280;294;1.000000;43.094928
290;186;1.000000;45.031627
300;209;1.000000;47.065165
310;436;1.000000;49.031659
320;118;1.000000;51.014470
330;89;1.000000;53.052899
340;180;1.000000;55.055516
350;48;1.000000;57.077359
360;46;1.000000;59.078744
370;401;1.000000;61.172785
380;359;1.000000;63.235019
390;28;1.000000;65.427017
400;484;1.000000;67.420579
410;329;1.000000;69.408297
420;480;1.000000;71.379182
430;114;1.000000;73.370153
440;105;1.000000;75.352239
450;144;1.000000;77.349092
460;292;1.000000;79.359016
470;283;1.000000;81.400977
480;206;1.000000;83.450164
490;202;1.000000;85.476314
