k;seed;inf;tim
0;271;0.000000;0.000141
10;270;0.000000;0.187124
20;39;0.000000;0.550281
30;461;0.000000;1.114732
40;15;0.000000;1.798372
50;340;0.000000;2.580389
60;217;0.000000;3.457697
70;158;0.000000;4.396954
80;365;0.000000;5.373659
90;122;0.000400;6.468673
100;222;0.001020;7.619841
110;282;0.006960;8.731705
120;85;0.007580;9.909566
130;55;0.009060;11.155488
140;188;0.042310;12.549514
150;48;0.057310;14.098097
160;415;0.084970;15.639805
170;168;0.105610;17.280886
180;462;0.137260;19.005849
190;59;0.190510;20.781566
200;69;0.225560;22.538981
210;353;0.280600;24.350448
220;302;0.313570;26.202840
230;176;0.369140;28.067052
240;477;0.435560;30.151303
250;298;0.510720;32.184351
260;321;0.562330;34.175575
270;320;0.585800;36.158421
280;66;0.641430;38.285331
290;72;0.675630;40.371166
300;480;0.753990;42.468404
310;38;0.757200;44.579356
320;244;0.860920;46.693584
330;41;0.919110;48.797156
340;204;0.963900;50.862847
350;411;0.992270;52.898325
360;347;0.999980;54.977334
370;330;1.000000;57.052564
380;498;1.000000;59.307472
390;218;1.000000;61.571150
400;153;1.000000;63.826293
410;400;1.000000;66.103067
420;335;1.000000;68.361199
430;458;1.000000;70.639782
440;409;1.000000;72.926390
450;118;1.000000;75.147922
460;139;1.000000;77.399143
470;7;1.000000;79.708995
480;56;1.000000;82.066396
490;249;1.000000;84.326953
