k;seed;inf;tim
0;499;0.000000;0.003970
10;459;0.000000;0.307154
20;399;0.000000;1.042988
30;215;0.000000;2.215674
40;158;0.000000;3.801333
50;208;0.000350;5.677313
60;201;0.003140;7.814363
70;191;0.005510;10.403976
80;188;0.015990;13.244172
90;336;0.026060;16.524524
100;168;0.043230;20.015086
110;11;0.065970;23.789825
120;419;0.079540;27.714567
130;233;0.113890;31.786377
140;130;0.155020;36.294769
150;361;0.206540;41.350137
160;86;0.257500;46.405334
170;392;0.333470;51.889997
180;302;0.386770;57.454349
190;111;0.487220;63.229679
200;192;0.541640;69.256223
210;473;0.581680;75.318591
220;277;0.628680;81.555014
230;228;0.686260;87.796491
240;371;0.748800;94.197333
250;250;0.793210;100.662672
260;41;0.835350;107.538639
270;437;0.863680;114.334326
280;179;0.903440;121.430349
290;352;0.936220;128.293265
300;327;0.961880;135.214381
310;366;0.979530;142.133151
320;404;0.988420;148.852359
330;54;0.995960;155.553912
340;264;0.999190;162.708597
350;293;0.999920;169.531210
360;465;0.999990;176.228280
370;412;1.000000;182.622977
380;357;1.000000;189.072726
390;330;1.000000;195.548584
400;307;1.000000;201.900568
410;285;1.000000;208.696293
420;270;1.000000;215.333668
430;241;1.000000;221.768238
440;153;1.000000;228.478874
450;126;1.000000;235.272541
460;87;1.000000;242.020976
470;64;1.000000;248.911237
480;37;1.000000;255.703864
490;19;1.000000;262.621542
