k;seed;inf;tim
0;271;0.000000;1.314613
10;495;0.000000;11.696345
20;495;0.000000;19.224959
30;495;0.000000;25.738970
40;495;0.000000;30.216360
50;12;0.005030;130.654924
60;303;0.018380;270.897514
70;338;0.041130;284.733124
80;21;0.059120;223.545422
90;313;0.075040;134.096857
100;21;0.098350;252.396954
110;313;0.124190;168.474853
120;375;0.126310;162.973536
130;317;0.139190;106.176568
140;40;0.173220;166.141547
150;266;0.198250;132.864171
160;19;0.224110;77.469919
170;19;0.243830;166.202591
180;426;0.243900;129.913286
190;19;0.286550;84.767581
200;19;0.312880;130.365131
