k;seed;inf;tim
0;271;0.000000;1.265314
1;13;0.000000;1.271845
2;481;0.000000;1.280671
3;18;0.000000;1.291523
4;303;0.000000;1.304267
5;485;0.000000;1.317759
6;135;0.000000;1.331733
7;21;0.000000;1.347753
8;163;0.000000;1.366282
9;479;0.000000;1.386559
10;489;0.000000;1.407324
11;457;0.000000;1.428637
12;68;0.000000;1.450337
13;495;0.000000;1.473405
14;12;0.000000;1.498220
15;483;0.000000;1.523508
16;173;0.000000;1.549111
17;284;0.000000;1.576933
18;251;0.000000;1.605596
19;136;0.000000;1.634625
20;40;0.000000;1.665069
21;278;0.000000;1.697174
22;263;0.000000;1.730972
23;37;0.000000;1.766322
24;266;0.000000;1.803262
25;174;0.000000;1.840602
26;440;0.000000;1.878205
27;158;0.000000;1.916118
28;388;0.000000;1.954151
29;124;0.000000;1.992527
30;68;0.000000;30.356469
31;214;0.000000;30.395909
32;210;0.000000;30.435437
33;333;0.000000;30.475182
34;328;0.000000;30.515211
35;182;0.000000;30.555673
36;381;0.000000;30.596439
37;276;0.000000;30.638594
38;297;0.000000;30.682101
39;399;0.000000;30.726501
40;317;0.000000;30.772815
41;427;0.000000;30.819212
42;476;0.000000;30.866279
43;44;0.000000;30.915046
44;149;0.000000;30.964086
45;327;0.000000;31.015478
46;370;0.000000;31.067419
47;200;0.000000;31.120221
48;17;0.000000;31.174030
49;237;0.000000;31.228368
50;125;0.000000;31.283854
51;238;0.000000;31.340818
52;240;0.000000;31.398143
53;462;0.000000;31.456339
54;258;0.000000;31.515403
55;313;0.000000;31.575137
56;426;0.000000;31.636099
57;91;0.000000;31.697562
58;397;0.000000;31.760267
59;467;0.000000;31.824142
60;483;0.000000;118.187576
61;190;0.000000;118.253071
62;1;0.000000;118.319209
63;161;0.000000;118.386238
64;160;0.000000;118.454033
65;405;0.000000;118.522993
66;379;0.000000;118.592898
67;223;0.000000;118.664089
68;275;0.000000;118.736744
69;408;0.000000;118.809624
70;436;0.000000;118.883261
71;112;0.000000;118.958553
72;145;0.000000;119.034326
73;61;0.000000;119.111038
74;53;0.000000;119.188987
75;308;0.000000;119.267425
76;269;0.000000;119.347044
77;241;0.000000;119.427300
78;222;0.000000;119.508107
79;256;0.000000;119.589610
80;55;0.000000;119.672196
81;15;0.000000;119.755827
82;270;0.000000;119.840883
83;465;0.000000;119.926614
84;494;0.000000;120.013697
85;46;0.000000;120.101309
86;428;0.000000;120.190136
87;482;0.000000;120.278992
88;14;0.000000;120.368919
89;147;0.000000;120.459462
90;461;0.000000;341.772659
91;304;0.000000;341.866248
92;261;0.000000;341.960354
93;376;0.000000;342.055550
94;79;0.000000;342.151736
95;437;0.000000;342.248555
96;282;0.000000;342.346267
97;148;0.000000;342.444735
98;192;0.000000;342.543592
99;442;0.000000;342.643701
100;340;0.000000;342.745105
101;287;0.000000;342.847273
102;66;0.000000;342.950538
103;43;0.000000;343.054576
104;393;0.000000;343.159009
105;45;0.000000;343.264480
106;2;0.000000;343.370622
107;80;0.000000;343.477575
108;154;0.000000;343.585073
109;73;0.000000;343.693029
110;247;0.000000;343.801519
111;450;0.000000;343.910336
112;429;0.000000;344.019586
113;419;0.000000;344.129363
114;474;0.000000;344.240096
115;350;0.000000;344.351244
116;298;0.000000;344.462680
117;402;0.000000;344.575086
118;375;0.000000;344.687466
119;425;0.000000;344.800186
120;41;0.000000;804.798450
121;441;0.000000;804.913715
122;212;0.000000;805.028888
123;259;0.000000;805.144028
124;205;0.000000;805.259758
125;407;0.000000;805.375951
126;199;0.000000;805.492498
127;52;0.000000;805.610481
128;344;0.000000;805.729042
129;462;0.000000;805.847798
130;293;0.000000;805.967720
131;417;0.000000;806.087891
132;231;0.000000;806.208759
133;121;0.000000;806.331243
134;30;0.000000;806.453144
135;35;0.000000;806.576012
136;175;0.000000;806.699458
137;336;0.000000;806.823661
138;181;0.000000;806.947976
139;264;0.000000;807.072932
140;307;0.000000;807.199617
141;361;0.000000;807.326444
142;188;0.000000;807.453579
143;95;0.000000;807.581542
144;262;0.000000;807.709376
145;272;0.000000;807.838713
146;445;0.000000;807.967480
147;245;0.000000;808.097080
148;71;0.000000;808.227805
149;446;0.000000;808.358557
150;316;0.000000;1633.876561
151;318;0.000000;1634.010015
152;464;0.000000;1634.143786
153;150;0.000000;1634.279242
154;39;0.000000;1634.415191
155;108;0.000000;1634.552048
156;225;0.000000;1634.689309
157;5;0.000000;1634.828513
158;99;0.000000;1634.966769
159;93;0.000000;1635.104760
160;19;0.000000;1635.243915
161;155;0.000000;1635.383097
162;300;0.000000;1635.524490
163;418;0.000000;1635.664375
164;324;0.000000;1635.804664
165;309;0.000000;1635.945447
166;377;0.000000;1636.087746
167;341;0.000000;1636.231319
168;234;0.000000;1636.375107
169;232;0.000000;1636.519808
170;449;0.000000;1636.664762
171;7;0.000000;1636.809169
172;486;0.000000;1636.954095
173;109;0.000000;1637.098983
174;103;0.000000;1637.244909
175;215;0.000000;1637.390873
176;454;0.000000;1637.537835
177;168;0.000000;1637.684897
178;439;0.000000;1637.833010
179;3;0.000000;1637.978887
180;6;0.000000;2983.662448
181;213;0.000000;2983.808502
182;424;0.000000;2983.954910
183;248;0.000000;2984.102324
184;122;0.000000;2984.249831
185;466;0.000000;2984.397375
186;104;0.000000;2984.545794
187;496;0.000000;2984.694799
188;477;0.000000;2984.843554
189;310;0.000000;2984.993360
190;325;0.000000;2985.144178
191;332;0.000000;2985.296701
192;475;0.000000;2985.448055
193;59;0.000000;2985.600187
194;189;0.000000;2985.752474
195;306;0.000000;2985.905115
196;363;0.000000;2986.057486
197;114;0.000000;2986.210846
