k;seed;inf;tim
0;271;0.000000;0.000146
10;21;0.000000;0.136302
20;37;0.000000;0.409473
30;388;0.000000;0.794325
40;317;0.000440;1.225851
50;125;0.003390;1.752000
60;91;0.007490;2.375084
70;223;0.025680;3.094584
80;192;0.050290;3.907443
90;261;0.070180;4.871347
100;442;0.083580;5.969292
110;94;0.118880;7.140511
120;35;0.120950;8.388704
130;52;0.139560;9.623258
140;474;0.165680;10.933082
150;418;0.199900;12.327477
160;272;0.228340;13.822695
170;363;0.243640;15.444501
180;475;0.245710;17.116241
190;85;0.276880;18.805317
200;185;0.316450;20.513867
210;157;0.343490;22.253083
220;99;0.370920;24.055002
230;186;0.402970;25.917084
240;273;0.430880;27.918086
250;453;0.463610;29.887023
260;75;0.492390;31.855400
270;415;0.527180;33.919048
280;48;0.558400;36.066673
290;134;0.587660;38.208579
300;389;0.588940;40.332680
310;421;0.656940;42.419235
320;358;0.682730;44.472949
330;208;0.720820;46.516132
340;456;0.757050;48.526112
350;29;0.803220;50.553267
360;337;0.830860;52.589874
370;290;0.869190;54.651215
380;295;0.893440;56.776691
390;98;0.922150;59.009368
400;362;0.955520;61.164625
410;291;0.965320;63.365001
420;203;0.988850;65.501843
430;110;0.996880;67.691978
440;143;0.999990;69.869059
450;335;1.000000;72.157059
460;423;1.000000;74.500345
470;119;1.000000;76.720522
480;139;1.000000;79.010364
490;42;1.000000;81.280703
