k;seed;inf;tim
0;263;0.000000;0.000162
10;313;0.000000;0.262164
20;55;0.000000;0.833760
30;238;0.000000;1.615201
40;99;0.000000;2.555377
50;158;0.000000;3.645747
60;41;0.000000;4.885338
70;64;0.000000;6.251410
80;170;0.000000;7.748176
90;197;0.000000;9.346726
100;491;0.000000;10.967464
110;458;0.000000;12.640812
120;404;0.000000;14.394859
130;121;0.000000;16.182265
140;488;0.000000;18.030941
150;123;0.007150;19.868731
160;101;0.052430;21.782167
170;308;0.106210;23.793270
180;480;0.123840;25.888540
190;495;0.134640;28.072405
200;23;0.235120;30.281048
210;273;0.241930;32.473829
220;498;0.320670;34.732095
230;378;0.421380;37.065261
240;146;0.413940;39.445668
250;179;0.561410;41.938273
260;141;0.397780;44.493325
270;451;0.668560;47.039535
280;262;0.881150;49.601778
290;311;0.953990;52.198946
300;272;0.981310;54.784750
310;129;1.000000;57.438466
320;360;1.000000;59.973358
330;128;1.000000;62.487088
340;409;1.000000;65.013831
350;361;1.000000;67.547953
360;31;1.000000;70.094383
370;217;1.000000;72.633464
380;376;1.000000;75.155691
390;359;1.000000;77.819262
400;425;1.000000;80.331029
410;321;1.000000;82.807674
420;382;1.000000;85.260433
430;436;1.000000;87.812075
440;119;1.000000;90.501550
450;303;1.000000;93.130881
460;38;1.000000;95.688085
470;17;1.000000;98.367456
480;68;1.000000;101.158362
490;198;1.000000;103.886040
