k;seed;inf;tim
0;499;0.000000;0.005746
10;475;0.000000;0.546944
20;437;0.000000;1.997319
30;331;0.000000;4.325608
40;250;0.000000;7.088751
50;216;0.000000;10.314589
60;262;0.000000;14.133534
70;375;0.000160;18.427047
80;156;0.008420;23.076696
90;175;0.053520;28.121562
100;70;0.101260;33.532125
110;91;0.147530;39.356146
120;177;0.189790;45.511988
130;162;0.252540;51.991490
140;462;0.351450;58.627730
150;179;0.454260;65.386280
160;325;0.507820;72.323675
170;497;0.584080;79.607974
180;193;0.654760;87.035169
190;257;0.726370;94.664106
200;424;0.774910;102.489007
210;236;0.775400;110.474558
220;186;0.861590;118.398112
230;71;0.871650;126.338225
240;232;0.920020;134.208302
250;447;0.949160;142.380224
260;383;0.957690;150.513960
270;312;0.981710;158.356939
280;267;0.992080;166.168971
290;137;0.997960;174.035293
300;492;0.990830;181.948499
310;469;0.999440;190.046486
320;411;1.000000;198.151449
330;384;0.999990;206.142219
340;358;1.000000;213.802171
350;336;1.000000;221.430482
360;310;1.000000;229.251038
370;298;1.000000;237.156705
380;282;1.000000;244.917433
390;271;1.000000;252.854732
400;241;1.000000;260.816962
410;217;1.000000;268.876726
420;173;0.964010;276.983903
430;131;0.998920;285.231749
440;107;1.000000;293.473121
450;86;1.000000;301.678224
460;67;1.000000;309.906345
470;51;1.000000;317.987405
480;32;1.000000;325.922919
490;21;1.000000;334.202948
