k;seed;inf;tim
0;499;0.000000;0.004232
10;437;0.000000;0.147254
20;315;0.000000;0.489899
30;143;0.000110;1.022314
40;114;0.000770;1.710610
50;322;0.002070;2.541858
60;448;0.004320;3.586382
70;28;0.009210;4.887107
80;110;0.014810;6.285832
90;224;0.022180;7.786768
100;450;0.031260;9.523771
110;436;0.041620;11.480181
120;469;0.057140;13.768627
130;138;0.071490;16.398896
140;1;0.089510;19.439028
150;333;0.117400;22.485760
160;191;0.139280;25.898253
170;162;0.159580;29.852860
180;39;0.201360;34.180204
190;486;0.237920;38.608185
200;383;0.283020;43.369350
210;97;0.311680;48.289883
220;134;0.358890;53.303672
230;142;0.411020;58.712346
240;284;0.452240;64.361291
250;421;0.499140;70.112764
260;324;0.550720;75.987497
270;359;0.592220;82.116247
280;406;0.635420;88.399684
290;355;0.685370;94.349743
300;360;0.720950;100.676159
310;498;0.758970;107.303345
320;328;0.793620;113.786431
330;287;0.823770;120.711410
340;172;0.860810;127.625719
350;173;0.887470;134.404795
360;342;0.921400;141.307035
370;384;0.945050;148.293379
380;374;0.961700;155.526934
390;41;0.971840;163.110256
400;42;0.984750;170.879908
410;129;0.990540;178.569016
420;433;0.996540;186.224632
430;49;0.998750;193.767251
440;165;0.999610;201.117865
450;425;0.999970;208.560705
460;338;1.000000;216.086436
470;280;1.000000;223.658548
480;222;1.000000;231.087633
490;79;1.000000;238.223970
