k;seed;inf;tim
0;263;0.000000;0.000203
10;167;0.000000;0.146551
20;392;0.000000;0.449940
30;498;0.000370;0.870464
40;440;0.001890;1.389919
50;227;0.004050;2.044722
60;9;0.013870;2.838945
70;0;0.022750;3.744572
80;315;0.029600;4.772933
90;146;0.043240;5.864265
100;403;0.058570;7.040283
110;219;0.068200;8.264507
120;417;0.080680;9.601291
130;212;0.097990;11.023216
140;60;0.118750;12.539668
150;346;0.128350;14.125868
160;257;0.146220;15.809701
170;360;0.144740;17.572121
180;141;0.190550;19.309113
190;418;0.215820;21.116898
200;16;0.231980;23.098089
210;328;0.252460;25.116485
220;368;0.275810;27.203342
230;362;0.299590;29.351557
240;319;0.320370;31.555040
250;379;0.348730;33.803006
260;202;0.382230;36.050584
270;90;0.411370;38.357999
280;412;0.477930;40.764086
290;44;0.470960;43.180868
300;7;0.545810;45.616145
310;290;0.587830;48.135103
320;81;0.638660;50.689935
330;96;0.669230;53.288458
340;78;0.710210;55.914523
350;74;0.736450;58.501419
360;101;0.778770;61.169577
370;67;0.824470;63.867554
380;8;0.861180;66.585646
390;225;0.897890;69.324830
400;486;0.918900;72.082394
410;106;0.950550;74.855529
420;43;0.971260;77.638819
430;98;0.990010;80.432596
440;454;0.998200;83.241495
450;72;1.000000;86.066769
460;359;1.000000;88.805047
470;385;1.000000;91.555582
480;124;1.000000;94.387546
490;61;1.000000;97.258927
