k;seed;inf;tim
0;271;0.000060;0.000120
10;60;0.002590;1.187056
20;122;0.014850;3.022251
30;44;0.025680;5.734470
40;173;0.028230;8.783580
50;192;0.035230;11.946775
60;481;0.040570;15.299942
70;343;0.061790;18.831625
80;24;0.072360;22.508033
90;245;0.074040;26.278610
100;68;0.083850;30.103881
110;258;0.088980;34.046216
120;89;0.100960;38.022782
130;128;0.111620;42.062872
140;270;0.121940;46.183942
150;242;0.131510;50.334819
160;125;0.148870;54.564297
170;197;0.181170;58.900723
180;354;0.215280;63.286440
190;482;0.276400;67.748906
