k;seed;inf;tim
0;271;0.055030;0.000119
10;435;0.158200;4.460450
20;27;0.225960;9.288455
30;232;0.240390;14.223234
40;418;0.289640;19.237832
50;55;0.324870;24.329308
60;497;0.334150;29.464289
70;166;0.339700;34.647081
80;30;0.378810;39.865227
90;279;0.410700;45.156567
100;496;0.430700;50.497040
110;9;0.456330;55.890862
120;325;0.478590;61.312607
130;205;0.497070;66.771148
140;105;0.508030;72.264933
150;275;0.542340;77.841384
160;475;0.551590;83.395400
170;438;0.553970;88.973496
180;149;0.560120;94.586652
190;245;0.566120;100.190115
