k;seed;inf;tim
0;271;0.000020;0.000031
10;477;0.001610;1.065585
20;123;0.005520;2.255261
30;449;0.008460;3.632096
40;435;0.015110;5.239973
50;444;0.024920;7.010662
60;209;0.033280;9.005980
70;498;0.043910;11.238134
80;72;0.066870;13.673323
90;459;0.089640;16.332237
100;304;0.127700;19.239428
110;175;0.153220;22.427811
120;259;0.214060;25.835041
130;155;0.276740;29.489249
140;129;0.312760;33.362126
150;389;0.347190;37.416238
160;178;0.377560;41.630754
170;212;0.401970;45.973707
180;181;0.444680;50.432292
190;131;0.473920;54.996415
