k;seed;inf;tim
0;11;0.705500;0.000144
1;1832;0.726600;0.890657
2;1479;0.749700;1.783622
3;2039;0.754600;2.676758
4;1679;0.760000;3.572794
5;1265;0.765600;4.467120
6;1902;0.771000;5.361877
7;886;0.771200;6.256079
8;1611;0.766800;7.150985
9;2067;0.769800;8.048409
10;1018;0.777200;8.941300
11;2035;0.780100;9.837654
12;966;0.785100;10.732546
13;1618;0.790000;11.626783
14;1905;0.791800;12.523676
15;1150;0.794500;13.417391
16;1824;0.805000;14.315069
17;1706;0.807100;15.210404
18;1430;0.805900;16.105967
19;1472;0.809000;17.000540
20;1725;0.813700;17.896098
21;2009;0.815700;18.792044
22;1334;0.817600;19.687366
23;2030;0.819300;20.583038
24;2083;0.822400;21.477614
25;1172;0.819300;22.372379
26;1523;0.819100;23.268791
27;1977;0.824500;24.164088
28;1553;0.823400;25.059833
29;1948;0.823200;25.953346
30;1655;0.822700;26.849385
31;1678;0.822900;27.747237
32;1556;0.828000;28.645012
33;1614;0.829400;29.543387
34;1804;0.829000;30.439950
35;1561;0.830300;31.337278
36;1746;0.831300;32.235735
37;1387;0.832800;33.133373
38;1510;0.831400;34.031747
39;1319;0.834600;34.927740
40;2012;0.835000;35.826908
41;1460;0.837400;36.723849
42;1680;0.839600;37.620091
43;1843;0.838800;38.518507
44;1862;0.836500;39.415635
45;1742;0.835800;40.314761
46;1947;0.838000;41.211840
47;1628;0.837400;42.107987
48;2050;0.838900;43.007435
49;1963;0.842500;43.904257
50;1277;0.844900;44.803204
51;1782;0.842900;45.699662
52;1848;0.841800;46.598155
53;2019;0.843300;47.498147
54;1207;0.844500;48.395056
55;1215;0.841600;49.295017
56;1973;0.845400;50.191947
57;2061;0.846900;51.092673
58;1344;0.845300;51.991372
59;838;0.846900;52.891257
60;1911;0.849300;53.790408
61;2090;0.845000;54.689089
62;1656;0.847800;55.588733
63;1189;0.848000;56.486597
64;1630;0.851200;57.385600
65;1578;0.850700;58.285416
66;509;0.850700;59.182852
67;889;0.854900;60.083401
68;917;0.852400;60.980847
69;1741;0.851100;61.880065
70;1599;0.852900;62.779892
71;1967;0.853100;63.677794
72;1701;0.851600;64.577001
73;1880;0.857200;65.474693
74;1818;0.854200;66.372589
75;1449;0.854600;67.271774
76;2001;0.853000;68.170154
77;1146;0.856200;69.070476
78;1970;0.858700;69.967830
79;1764;0.856300;70.867271
80;1867;0.855600;71.766155
81;1135;0.858700;72.665346
82;1896;0.857300;73.565323
83;1731;0.853600;74.463081
84;1759;0.859800;75.362776
85;1882;0.859300;76.261836
86;1801;0.855300;77.159431
87;1990;0.860100;78.058922
88;1713;0.863100;78.957010
89;1303;0.856200;79.858270
90;1749;0.861700;80.756624
91;1718;0.861700;81.655726
92;1972;0.864600;82.556535
93;1429;0.863000;83.455177
94;1354;0.860400;84.356981
95;1964;0.862400;85.255555
96;1719;0.866000;86.155064
97;1438;0.864400;87.055175
98;1433;0.863300;87.954210
99;1774;0.865500;88.855618
100;1766;0.865600;89.755434
101;1868;0.864100;90.658428
102;1999;0.864500;91.559658
103;1849;0.864300;92.461515
104;1622;0.865500;93.363480
105;2082;0.867700;94.263987
106;1156;0.867300;95.166669
107;1928;0.868200;96.068211
108;939;0.869100;96.969363
109;510;0.868500;97.872610
110;1651;0.871500;98.772679
111;1846;0.868800;99.674634
112;1807;0.870500;100.573049
113;1376;0.868800;101.472889
114;831;0.872000;102.373584
115;1943;0.871300;103.272494
116;1598;0.871500;104.173454
117;1809;0.871500;105.071597
118;1533;0.870000;105.971146
119;2060;0.869600;106.871121
120;1511;0.872200;107.769553
121;1286;0.872200;108.672798
122;1714;0.876000;109.572210
123;1827;0.872600;110.474200
124;1436;0.872500;111.372587
125;1435;0.873300;112.273530
126;1595;0.874500;113.175521
127;1532;0.875100;114.076031
128;991;0.873500;114.979302
129;1406;0.875100;115.878573
130;925;0.876200;116.778385
131;1164;0.872300;117.679569
132;1643;0.877600;118.578793
133;1371;0.874200;119.480313
134;249;0.875600;120.383220
135;1594;0.873100;121.283382
136;1939;0.875400;122.184734
137;1470;0.875600;123.083626
138;990;0.872900;123.985017
139;1956;0.878100;124.884850
140;1108;0.878800;125.785836
141;1020;0.876300;126.686101
142;1907;0.871200;127.585245
143;1864;0.875400;128.492417
144;1554;0.876300;129.390636
145;1780;0.879300;130.291845
146;1437;0.876300;131.190928
147;1683;0.881100;132.089299
148;1949;0.875700;133.001171
149;2075;0.879800;133.913101
150;1219;0.876500;134.814532
151;849;0.879600;135.713278
152;1768;0.879000;136.613192
153;1445;0.881400;137.513698
154;571;0.880300;138.412160
155;1077;0.881700;139.314655
156;891;0.883600;140.213478
157;1794;0.879800;141.120868
158;1796;0.879800;142.020802
159;1802;0.882700;142.920046
160;1373;0.881100;143.820245
161;1971;0.881000;144.720192
162;2088;0.879000;145.622940
163;1305;0.883400;146.522837
164;607;0.880700;147.420508
165;1530;0.887000;148.319723
166;1918;0.881600;149.218603
167;1475;0.882500;150.117209
168;1748;0.885000;151.016906
169;1589;0.884900;151.915164
170;2017;0.884100;152.819960
171;1968;0.886400;153.718825
172;1979;0.886000;154.679422
173;1351;0.886200;155.642255
174;1055;0.884200;156.604873
175;1839;0.888600;157.568350
176;1276;0.885400;158.532149
177;1686;0.886500;159.500587
178;1925;0.888700;160.464720
