k;seed;inf;tim
0;11;0.696300;0.001251
1;753;0.703600;1.024602
2;1735;0.694900;2.048778
3;104;0.698200;3.071794
4;34;0.697500;4.097720
5;32;0.690500;5.123162
6;1096;0.687800;6.148269
7;111;0.693400;7.173277
8;112;0.705400;8.197539
9;579;0.698400;9.223215
10;154;0.692900;10.249594
11;85;0.693400;11.275317
12;1832;0.714500;12.300492
13;466;0.718100;13.325487
14;1;0.719600;14.350964
15;200;0.725000;15.374873
16;588;0.728400;16.400052
17;448;0.737400;17.424966
18;737;0.734200;18.448805
19;704;0.728800;19.473216
20;498;0.732200;20.498025
21;690;0.724700;21.522574
22;1857;0.735200;22.547248
23;804;0.728500;23.570846
24;4;0.727900;24.594945
25;388;0.740400;25.619784
26;1479;0.749600;26.645223
27;70;0.755700;27.670803
28;1525;0.748600;28.696112
29;645;0.760000;29.721723
30;101;0.759900;30.701238
31;1492;0.758700;31.674734
32;1959;0.752300;32.648632
33;1195;0.758200;33.622942
34;1601;0.756400;34.596971
35;289;0.756500;35.570930
36;553;0.762000;36.545040
37;23;0.755200;37.519251
38;1355;0.755900;38.461228
39;9;0.755400;39.383545
40;304;0.758300;40.305169
41;684;0.762200;41.226995
42;1110;0.758900;42.148716
43;446;0.760300;43.070408
44;43;0.758100;43.991751
45;214;0.756900;44.914032
46;240;0.758400;45.836230
47;428;0.759700;46.758825
48;33;0.763100;47.681008
49;1508;0.760100;48.603141
50;1614;0.762300;49.532065
51;655;0.756500;50.455251
52;1356;0.757800;51.378833
53;819;0.760300;52.301114
54;487;0.761000;53.224158
55;292;0.759700;54.147523
56;291;0.760500;55.069346
57;709;0.761900;55.993121
58;2039;0.765100;56.915721
59;25;0.756200;57.839518
60;135;0.762300;58.762398
61;515;0.762200;59.684381
62;1539;0.766900;60.607777
63;206;0.760800;61.529569
64;132;0.767300;62.452269
65;950;0.764300;63.375416
66;144;0.765700;64.298529
67;138;0.757900;65.222276
68;1726;0.764600;66.144389
69;15;0.761800;67.067981
70;1532;0.764100;67.993307
71;1779;0.768800;68.916806
72;393;0.766300;69.842086
73;1196;0.763900;70.765763
74;1455;0.766200;71.691165
75;203;0.764400;72.616084
76;643;0.764600;73.538931
77;265;0.767600;74.463399
78;109;0.767700;75.432996
79;38;0.768400;76.407870
80;40;0.765000;77.382211
81;580;0.768500;78.357173
82;1128;0.765400;79.330830
83;1902;0.771100;80.303979
84;1001;0.767000;81.279092
85;940;0.762000;82.252422
86;303;0.774700;83.227009
87;384;0.770300;84.202774
88;41;0.770800;85.176384
89;123;0.768100;86.151301
90;294;0.773400;87.107064
91;711;0.771000;88.029464
92;624;0.768500;88.952548
93;44;0.774000;89.874904
94;13;0.770800;90.798083
95;465;0.770800;91.720153
96;87;0.771900;92.643809
97;998;0.766300;93.567217
98;886;0.772000;94.490803
99;781;0.777000;95.414054
100;146;0.771900;96.336537
101;913;0.775600;97.259645
102;346;0.774700;98.182482
103;532;0.772900;99.105176
104;490;0.774500;100.027880
105;75;0.775400;100.952018
106;1611;0.771200;101.874492
107;1618;0.771900;102.798204
108;1460;0.777800;103.720833
109;208;0.770600;104.643845
110;806;0.770300;105.566838
111;1345;0.779000;106.489479
112;51;0.776700;107.414161
113;106;0.777700;108.336823
114;268;0.772600;109.259524
115;596;0.777100;110.181715
116;234;0.776300;111.105867
117;256;0.775400;112.028190
118;309;0.780100;112.951184
119;163;0.774900;113.873107
120;46;0.780500;114.795283
121;412;0.781400;115.717674
122;2064;0.777800;116.639927
123;64;0.780800;117.563521
124;2;0.778400;118.486043
125;84;0.779700;119.410380
126;562;0.776200;120.333985
127;1018;0.776500;121.257985
128;3;0.780900;122.180262
129;1545;0.785400;123.103588
130;356;0.785100;124.026636
131;275;0.785300;124.949892
132;2067;0.775700;125.873169
133;1265;0.780600;126.796509
134;1678;0.784300;127.721450
135;745;0.781900;128.675895
