k;seed;inf;tim
0;11;0.698700;0.001288
1;753;0.697400;0.973846
2;1735;0.681000;1.947648
3;104;0.698800;2.921024
4;34;0.694100;3.892814
5;32;0.696800;4.866194
6;1096;0.699400;5.839557
7;111;0.700700;6.811991
8;112;0.692300;7.786873
9;579;0.699300;8.784938
10;154;0.700200;9.810576
11;85;0.699300;10.837999
12;1;0.709000;11.863825
13;1832;0.724400;12.890822
14;200;0.728000;13.910918
15;588;0.724900;14.888317
16;448;0.727700;15.865305
17;737;0.733400;16.839674
18;704;0.730900;17.861939
19;498;0.727400;18.888241
20;690;0.734500;19.914419
21;1857;0.725100;20.941265
22;101;0.731700;21.995656
23;466;0.723800;23.072913
24;804;0.730900;24.148346
25;4;0.738800;25.226072
26;388;0.746000;26.303052
27;1479;0.752800;27.378293
28;291;0.750200;28.455229
29;289;0.751100;29.530376
30;684;0.755200;30.630142
31;1525;0.757800;31.757447
32;15;0.756800;32.883308
33;645;0.758500;34.010182
34;1492;0.749300;35.136385
35;1195;0.757800;36.263426
36;1110;0.751300;37.390437
37;9;0.755400;38.515898
38;214;0.754300;39.642589
39;240;0.754800;40.769592
40;428;0.754600;41.898247
41;655;0.758500;43.025526
42;33;0.761600;44.151665
43;1508;0.758600;45.280109
44;1355;0.754500;46.407291
45;446;0.758600;47.535597
46;1601;0.755300;48.663233
47;70;0.757400;49.789726
48;819;0.757800;50.918333
49;1539;0.756400;52.045811
50;1614;0.755800;53.174164
51;132;0.758300;54.301292
52;144;0.762400;55.428262
53;487;0.764400;56.556726
54;1532;0.755500;57.684564
55;203;0.763600;58.814478
56;1959;0.759900;59.941146
57;265;0.759500;61.068247
58;709;0.761400;62.196792
59;135;0.760400;63.324047
60;1455;0.761900;64.452320
61;43;0.765100;65.572567
62;2039;0.762900;66.671814
63;1196;0.764200;67.791222
64;384;0.764100;68.827761
65;138;0.762300;69.854497
66;580;0.763200;70.880730
67;41;0.766000;71.877504
68;643;0.764000;72.853824
69;109;0.766900;73.828560
70;1356;0.760400;74.804310
71;1902;0.762400;75.779460
72;553;0.763100;76.739548
73;292;0.768200;77.663745
74;515;0.771500;78.585640
75;1345;0.764700;79.508711
76;1726;0.766900;80.431509
77;1128;0.760900;81.354081
78;1001;0.766500;82.279274
79;206;0.766900;83.201690
80;294;0.769400;84.125811
81;998;0.763000;85.048708
82;393;0.770700;85.972436
83;66;0.768100;86.897876
84;806;0.770900;87.821702
85;356;0.764900;88.746500
86;303;0.766900;89.678320
87;624;0.767800;90.652678
88;38;0.771700;91.626638
89;412;0.768400;92.600426
90;40;0.773700;93.575567
91;13;0.772400;94.548641
92;346;0.768300;95.522988
93;84;0.768800;96.499232
94;64;0.765400;97.474991
95;75;0.766600;98.450920
96;886;0.772100;99.446257
97;490;0.767200;100.473580
98;23;0.774200;101.501355
99;44;0.774100;102.529092
100;950;0.772700;103.557758
101;25;0.772000;104.585681
102;913;0.776100;105.612960
103;106;0.771900;106.640923
104;1611;0.771400;107.668615
105;940;0.762700;108.697346
106;465;0.771300;109.725489
107;275;0.775200;110.753344
108;208;0.775100;111.782238
109;163;0.770000;112.809897
110;51;0.772900;113.838949
111;268;0.772700;114.866158
112;46;0.778000;115.894399
113;1337;0.777900;116.922936
114;309;0.771500;117.951931
115;123;0.776900;118.979622
116;2067;0.775500;120.008374
117;87;0.772800;121.035598
118;1678;0.773900;122.065244
119;304;0.772300;123.093840
120;256;0.779700;124.122279
121;532;0.778300;125.150862
122;253;0.779400;126.178767
123;3;0.780900;127.206902
124;1265;0.778700;128.234716
125;1460;0.779400;129.289756
126;234;0.780500;130.369691
127;745;0.782500;131.448577
128;962;0.777800;132.528826
129;2;0.780600;133.608746
130;1293;0.780200;134.688486
131;711;0.780300;135.767922
132;1018;0.781900;136.846788
133;781;0.787300;137.927030
134;510;0.783400;139.005772
135;562;0.782300;140.085371
136;146;0.787500;141.165014
137;1618;0.786000;142.245986
138;1779;0.784400;143.326130
139;1843;0.788100;144.405958
140;780;0.785500;145.485463
141;69;0.784100;146.563008
142;1545;0.787800;147.642148
143;226;0.791900;148.721224
144;6;0.789000;149.799302
145;321;0.790300;150.839883
146;986;0.789000;151.837357
147;450;0.786800;152.776395
148;1799;0.791000;153.703046
149;581;0.791200;154.629172
150;395;0.792400;155.555127
151;815;0.791200;156.481291
152;566;0.791500;157.407587
153;171;0.794100;158.335333
154;2035;0.793500;159.260870
155;8;0.795200;160.188361
156;876;0.794100;161.115626
157;738;0.795100;162.043076
158;367;0.793100;162.972564
159;1905;0.795900;163.900777
160;52;0.794500;164.830051
161;1042;0.795900;165.758661
162;453;0.800400;166.687345
163;266;0.799300;167.615880
164;713;0.798200;168.544196
165;966;0.798500;169.472982
166;2064;0.797000;170.400575
167;73;0.797500;171.328685
168;1679;0.797200;172.256508
169;1102;0.793200;173.184492
170;271;0.796200;174.112960
171;807;0.798000;175.040010
172;1299;0.803900;175.967352
173;1834;0.802600;176.895159
174;1150;0.807500;177.822671
175;1457;0.804700;178.750921
176;1518;0.804400;179.678406
177;718;0.801100;180.606471
178;529;0.803900;181.534315
179;89;0.806900;182.462245
180;187;0.801100;183.389897
181;840;0.802700;184.316757
182;288;0.807500;185.243809
183;1075;0.804400;186.172210
184;1291;0.808900;187.099138
185;773;0.805700;188.026750
186;1153;0.809800;188.954120
187;1706;0.804300;189.881543
188;726;0.806600;190.809400
189;259;0.807600;191.737677
190;225;0.809800;192.664470
191;385;0.810700;193.591964
192;437;0.808000;194.520134
193;1878;0.809800;195.447517
194;839;0.810300;196.375653
195;1824;0.811400;197.302429
196;688;0.810100;198.229596
197;2071;0.808000;199.157485
198;1203;0.810100;200.085102
199;679;0.807900;201.012497
200;1589;0.809700;201.939812
201;717;0.815300;202.866994
202;1472;0.813300;203.796841
203;742;0.813600;204.724350
204;934;0.812600;205.652273
205;49;0.810900;206.579245
206;336;0.816100;207.506929
207;432;0.818700;208.435772
208;741;0.816800;209.364460
209;1526;0.814600;210.292608
210;425;0.810200;211.219591
211;1300;0.810700;212.146753
212;1024;0.816200;213.111825
213;612;0.817400;214.071534
214;102;0.817600;214.998422
215;992;0.818700;215.926414
216;105;0.814300;216.853775
217;12;0.820500;217.781709
218;423;0.821300;218.711437
219;327;0.820500;219.639695
220;297;0.814300;220.568210
221;10;0.816800;221.496326
222;647;0.819900;222.424190
223;334;0.814700;223.353419
224;67;0.816400;224.281287
225;48;0.819200;225.210315
226;637;0.816200;226.137663
227;99;0.815500;227.064818
228;359;0.815900;227.994990
229;194;0.819400;228.922758
230;389;0.816600;229.852401
231;198;0.817600;230.779638
232;936;0.813900;231.708810
233;812;0.813600;232.637971
234;1340;0.818400;233.566319
235;362;0.822100;234.496110
236;1072;0.812900;235.422896
237;1825;0.818400;236.353570
238;1283;0.818500;237.282451
239;134;0.816100;238.212595
240;131;0.814600;239.141750
241;1334;0.815300;240.069305
242;7;0.821400;240.998857
243;545;0.816000;241.927309
244;35;0.822700;242.856352
245;995;0.816100;243.786548
246;1974;0.815300;244.748603
247;520;0.820800;245.727827
248;1218;0.815300;246.706591
249;488;0.818400;247.685700
250;42;0.818500;248.665916
251;516;0.819800;249.643944
252;1115;0.821200;250.623730
253;1800;0.818900;251.603945
254;100;0.820000;252.582716
255;1224;0.817200;253.563029
256;296;0.819700;254.540528
257;1430;0.821900;255.520352
258;1927;0.820400;256.499825
259;2022;0.817000;257.428897
260;1095;0.820600;258.358083
261;909;0.821700;259.286181
262;1948;0.820700;260.215980
263;706;0.817200;261.144169
264;17;0.822500;262.074150
265;192;0.821300;263.054503
266;68;0.820300;264.032103
267;90;0.819300;265.013380
268;1903;0.820700;265.992546
269;644;0.819900;266.972348
270;1541;0.817800;267.952342
271;364;0.820600;268.930629
272;166;0.825100;269.912595
273;775;0.819900;270.890859
274;227;0.820700;271.870563
275;1592;0.822200;272.850210
276;825;0.820900;273.829308
277;228;0.817300;274.810043
278;1185;0.820400;275.789173
279;833;0.822700;276.768793
280;231;0.817500;277.749258
281;2090;0.819700;278.729021
282;1977;0.821700;279.710907
283;14;0.822100;280.740549
284;232;0.825400;281.772070
285;1482;0.824500;282.802951
286;625;0.821300;283.833730
287;1523;0.822300;284.864855
288;76;0.824900;285.894148
289;1172;0.823600;286.924908
290;1422;0.826500;287.955995
291;404;0.825600;288.986538
292;1610;0.823800;290.017076
293;1922;0.827300;291.045789
294;169;0.824200;292.075732
295;1574;0.826600;293.106805
296;173;0.823700;294.136421
297;1600;0.824600;295.164125
298;899;0.827400;296.143051
299;195;0.823900;297.121601
300;1090;0.825800;298.101123
301;999;0.824100;299.079090
302;968;0.827200;300.059005
303;260;0.825000;301.038138
304;1084;0.825400;302.016817
305;788;0.828800;302.997864
306;1733;0.825200;303.976878
307;1035;0.827600;304.956873
308;1621;0.828100;305.935349
309;477;0.827500;306.914244
310;355;0.825200;307.893665
311;2021;0.827600;308.872579
312;176;0.827700;309.852478
313;2009;0.828500;310.831034
314;861;0.827100;311.810108
315;16;0.826300;312.789467
316;1297;0.825800;313.768695
317;591;0.826500;314.750464
318;1770;0.827300;315.729337
319;1132;0.827500;316.708639
320;1350;0.825300;317.689041
321;244;0.827000;318.668579
322;1099;0.826000;319.649874
323;407;0.828300;320.629070
324;587;0.825400;321.611447
325;943;0.825500;322.591281
326;451;0.825500;323.570926
327;1605;0.827600;324.550095
328;747;0.825800;325.529348
329;0;0.824100;326.508168
330;258;0.829800;327.524662
331;417;0.829100;328.554998
332;1553;0.828500;329.586507
333;1725;0.827400;330.616307
334;332;0.830200;331.645954
335;1043;0.829800;332.624809
336;1180;0.831300;333.603863
337;1188;0.830100;334.584606
338;196;0.831900;335.563569
339;1655;0.827000;336.542556
340;139;0.829100;337.521562
341;263;0.833000;338.500519
342;1421;0.827300;339.502434
343;577;0.831600;340.532450
344;1982;0.829600;341.561943
345;544;0.828900;342.592950
346;1890;0.828300;343.623366
347;1680;0.833000;344.653012
348;301;0.831200;345.682830
349;1415;0.826700;346.711768
350;830;0.830200;347.741737
351;1059;0.829300;348.770165
352;458;0.833600;349.799835
353;866;0.829200;350.858372
354;519;0.830400;351.938601
355;86;0.828800;353.018862
356;167;0.828200;354.099041
357;1447;0.831000;355.179912
358;631;0.830000;356.261303
359;1724;0.830500;357.341086
360;1423;0.831900;358.421648
361;481;0.827600;359.502179
362;1556;0.833400;360.582005
363;50;0.831600;361.662259
364;1287;0.833600;362.741873
365;942;0.835500;363.821568
366;551;0.836200;364.902623
367;2030;0.830700;365.983758
368;1319;0.831000;367.063831
369;1007;0.831100;368.144112
370;1746;0.834200;369.224889
371;517;0.833800;370.305774
372;269;0.830500;371.387503
373;1100;0.833100;372.468413
374;1835;0.838900;373.549937
375;1134;0.834800;374.630853
376;1014;0.834000;375.710836
377;410;0.834700;376.791869
378;2083;0.835700;377.872362
379;47;0.835500;378.953628
380;1387;0.833700;380.033588
381;335;0.835500;381.113409
382;674;0.834400;382.194349
383;1342;0.834700;383.275715
384;126;0.835200;384.357417
385;1030;0.834500;385.438373
386;20;0.830000;386.507967
387;174;0.832900;387.539213
388;82;0.833600;388.569062
389;640;0.835100;389.599878
390;1040;0.830300;390.629270
391;524;0.840500;391.659734
392;1550;0.834900;392.689981
393;1294;0.835600;393.722064
394;248;0.836700;394.751645
395;1598;0.840300;395.782358
396;1429;0.838800;396.812487
397;152;0.838600;397.844723
398;496;0.834400;398.874111
399;218;0.838700;399.905874
400;81;0.840300;400.935407
401;548;0.839000;401.966989
402;1221;0.835700;402.997665
403;1635;0.839200;404.027445
404;156;0.836500;405.059412
405;1510;0.840200;406.090049
406;236;0.837800;407.120222
407;1804;0.839100;408.151234
408;759;0.841600;409.181811
409;257;0.841000;410.211694
410;1067;0.841500;411.241493
411;854;0.843800;412.270648
412;1303;0.837800;413.301103
413;695;0.837700;414.331696
414;202;0.840700;415.363195
415;416;0.840300;416.393669
416;829;0.839200;417.425065
417;209;0.840300;418.457439
418;659;0.839400;419.488155
419;1496;0.842100;420.520790
420;331;0.840600;421.551814
421;1277;0.838800;422.584322
422;36;0.838600;423.616310
423;205;0.839200;424.648336
424;509;0.839900;425.679963
425;836;0.839200;426.711351
426;1440;0.840900;427.742619
427;708;0.844600;428.774779
428;65;0.839100;429.807638
429;2012;0.840900;430.839613
430;1561;0.841300;431.872869
431;302;0.839900;432.903519
432;1215;0.843800;433.935153
433;1486;0.842200;434.966071
434;160;0.846000;435.999168
435;571;0.843400;437.030263
436;63;0.842500;438.063905
437;1140;0.843000;439.093529
438;186;0.841000;440.125979
439;338;0.841500;441.157815
440;361;0.844300;442.153179
441;164;0.844300;443.133928
442;567;0.841400;444.113084
443;1538;0.841100;445.143170
444;528;0.841900;446.172636
445;848;0.847200;447.203983
446;330;0.844200;448.233849
447;71;0.847500;449.249013
448;823;0.844900;450.229248
449;683;0.843900;451.212830
450;649;0.844300;452.192559
451;5;0.843600;453.170832
452;897;0.847400;454.150062
453;758;0.845800;455.130551
454;672;0.847400;456.108127
455;1848;0.846700;457.087143
456;743;0.846600;458.065342
457;1701;0.847700;459.042228
458;1420;0.847100;460.023280
459;485;0.846300;461.000818
460;619;0.844300;461.978940
461;1191;0.845400;462.955752
462;912;0.851400;463.933067
463;1162;0.845600;464.913438
464;1742;0.848000;465.890690
465;1973;0.847300;466.870354
466;211;0.843700;467.848237
467;1077;0.849100;468.826282
468;578;0.847600;469.804398
469;595;0.847900;470.781277
470;1029;0.844600;471.759477
471;1364;0.846800;472.736898
472;693;0.851300;473.714476
473;1367;0.846200;474.694841
474;1205;0.848300;475.674530
475;1442;0.844600;476.654951
476;786;0.846200;477.634166
477;1124;0.847600;478.613294
478;887;0.849000;479.592595
479;1458;0.845200;480.572274
480;103;0.847100;481.552321
481;19;0.846300;482.531768
482;1921;0.847400;483.511301
483;857;0.848400;484.491029
484;39;0.849000;485.469346
485;1071;0.848800;486.447467
486;363;0.848900;487.425301
487;1827;0.849900;488.402910
488;18;0.851100;489.379482
489;828;0.847700;490.356197
490;919;0.848400;491.332461
491;620;0.849000;492.309740
492;555;0.850500;493.289993
493;262;0.848300;494.265915
494;681;0.844800;495.215381
495;315;0.847100;496.150199
496;1410;0.844700;497.130124
497;1315;0.846500;498.108753
498;963;0.847000;499.087350
499;316;0.848100;500.066755
