k;seed;inf;tim
0;11;0.499000;0.001405
1;1229;0.466000;0.673273
2;823;0.506000;1.342612
3;1559;0.523000;2.018236
4;709;0.520000;2.690498
5;370;0.510000;3.364319
6;363;0.507000;4.039496
7;770;0.495000;4.713659
8;36;0.482000;5.384902
9;98;0.508000;6.061574
10;777;0.503000;6.735122
11;1342;0.503000;7.409649
12;392;0.515000;8.085493
13;66;0.516000;8.762625
14;8;0.519000;9.436497
15;1903;0.528000;10.117758
16;1029;0.528000;10.791645
17;1605;0.536000;11.463294
18;1253;0.527000;12.140759
19;377;0.518000;12.813086
20;223;0.538000;13.487892
21;712;0.527000;14.162586
22;1300;0.540000;14.833309
23;1603;0.521000;15.503287
24;289;0.542000;16.179840
25;1355;0.544000;16.851336
26;1316;0.537000;17.520132
27;166;0.523000;18.195834
28;274;0.534000;18.868345
29;902;0.537000;19.541474
30;446;0.535000;20.213755
31;4;0.545000;20.886519
32;913;0.550000;21.555568
33;1539;0.552000;22.224102
34;1;0.553000;22.898865
35;1993;0.552000;23.569979
36;417;0.534000;24.242687
37;1283;0.526000;24.917983
38;133;0.547000;25.591649
39;669;0.547000;26.261046
40;39;0.558000;26.934937
41;1465;0.533000;27.604104
42;1489;0.549000;28.273865
43;521;0.536000;28.950820
44;790;0.551000;29.622656
45;110;0.541000;30.294069
46;1717;0.536000;30.966301
47;503;0.531000;31.635328
48;18;0.555000;32.305919
49;1668;0.548000;32.977440
50;1216;0.563000;33.648461
51;150;0.537000;34.317198
52;2029;0.568000;34.988818
53;1681;0.553000;35.659254
54;72;0.556000;36.330086
55;1394;0.553000;37.004083
56;1647;0.547000;37.672753
57;1709;0.551000;38.342489
58;35;0.560000;39.015001
59;390;0.546000;39.685854
60;56;0.548000;40.359725
61;1218;0.562000;41.029368
62;1046;0.541000;41.700486
63;460;0.544000;42.370224
64;978;0.573000;43.043918
65;620;0.556000;43.715011
66;1763;0.561000;44.384694
67;639;0.556000;45.054612
68;38;0.564000;45.727581
69;257;0.567000;46.398530
70;17;0.560000;47.072015
71;1237;0.541000;47.743337
72;226;0.554000;48.415074
73;258;0.560000;49.086723
74;231;0.548000;49.760377
75;332;0.559000;50.431884
76;210;0.557000;51.103164
77;1399;0.557000;51.778178
78;359;0.567000;52.449643
79;865;0.569000;53.119540
80;1610;0.567000;53.793169
81;165;0.556000;54.467985
82;90;0.566000;55.145604
83;707;0.554000;55.818832
84;590;0.554000;56.489718
85;80;0.565000;57.161750
86;407;0.551000;57.834370
87;580;0.580000;58.506353
88;136;0.568000;59.178038
89;454;0.571000;59.852061
