k;seed;inf;tim
0;107;0.000000;0.000211
10;4023;0.005750;57.724713
20;74;0.012500;117.102165
30;3812;0.012000;177.245996
40;1696;0.011750;237.640347
50;1767;0.019750;298.097924
60;756;0.022750;358.731627
70;2377;0.026750;419.450234
80;157;0.037250;480.286072
90;1920;0.052000;541.214419
100;3978;0.055250;602.222365
110;3821;0.055250;663.360409
120;145;0.064750;724.500677
130;4003;0.069500;785.754323
140;3961;0.066500;847.153547
150;2299;0.083250;908.620724
160;3930;0.086250;970.128691
170;327;0.099750;1031.704170
180;2419;0.102250;1093.354868
190;3830;0.124250;1155.102374
200;3862;0.132500;1216.908794
210;1277;0.144250;1278.828683
220;3737;0.170500;1340.830711
230;1801;0.166750;1402.867753
240;1649;0.187250;1464.957565
250;3690;0.204500;1527.050512
260;1966;0.218250;1589.236140
270;2037;0.234000;1651.457703
280;2575;0.227500;1713.783475
290;3497;0.236500;1776.103488
300;210;0.238000;1838.483280
310;292;0.244250;1900.896222
320;719;0.255750;1963.294634
330;3738;0.263250;2025.689403
340;3278;0.272000;2088.130187
350;431;0.282250;2150.642207
360;2015;0.281250;2213.119522
370;1789;0.282500;2275.673397
380;1113;0.289250;2338.239966
390;3992;0.300500;2400.832219
400;1708;0.310500;2463.523298
410;3574;0.309000;2526.164639
420;46;0.324750;2588.871089
430;3488;0.332750;2651.599573
440;1359;0.340000;2714.351046
450;3981;0.349000;2777.112769
460;2875;0.365500;2839.943165
470;3078;0.385750;2902.792792
480;191;0.393750;2965.680511
490;1797;0.383000;3028.597271
