k;seed;inf;tim
0;107;0.000250;0.002838
10;582;0.009500;59.548876
20;1319;0.010500;120.695761
30;397;0.010750;182.575980
40;3859;0.015750;244.472620
50;1862;0.020000;306.380763
60;2657;0.027500;368.336297
70;2427;0.026750;430.296697
80;1572;0.036000;492.320939
90;2175;0.043750;554.351943
100;4010;0.048750;616.463407
110;209;0.054750;678.606105
120;4023;0.057750;740.684962
130;1282;0.062000;802.782411
140;19;0.067750;864.938458
150;2786;0.069500;927.072501
160;1375;0.072500;989.252106
170;255;0.073250;1051.451763
180;3875;0.080250;1113.664042
190;3894;0.084250;1175.933612
200;2299;0.089250;1238.214587
210;3694;0.095000;1300.485031
220;3331;0.097500;1362.823757
230;23;0.100500;1425.155851
240;3077;0.102250;1487.517566
250;34;0.118750;1549.899983
260;3245;0.116250;1612.299095
270;3752;0.121250;1674.767174
280;61;0.128000;1737.239584
290;1865;0.136000;1799.764838
300;1610;0.151750;1862.294852
310;781;0.150500;1924.843355
320;3166;0.161000;1987.389811
330;3598;0.166500;2049.992522
340;1881;0.172250;2112.630565
350;669;0.177750;2175.249192
360;3586;0.181750;2237.883863
370;454;0.196500;2300.561932
380;227;0.201500;2363.285095
390;783;0.218500;2426.151929
400;1519;0.234000;2488.934324
410;210;0.234750;2551.733279
420;1869;0.235500;2614.616188
430;11;0.236000;2677.478269
440;292;0.243750;2740.347291
450;1509;0.245500;2803.241228
460;1526;0.247250;2866.162162
470;719;0.256750;2929.083855
480;234;0.259250;2992.016615
490;520;0.265000;3054.979127
