k;seed;inf;tim
0;4038;0.000000;6.112545
10;4012;0.011250;162.905843
20;3059;0.013750;348.606945
30;215;0.014750;535.395563
40;3812;0.017250;722.434876
50;2039;0.021750;909.660148
60;3965;0.028000;1096.841679
70;179;0.030750;1284.069775
80;157;0.038750;1471.317383
90;3987;0.055000;1658.666086
100;3748;0.058250;1846.143365
110;3335;0.060250;2033.552448
120;1946;0.060250;2220.997165
130;4036;0.069500;2408.598926
140;47;0.073500;2596.118836
150;1920;0.073750;2783.734835
160;486;0.083500;2971.365961
170;61;0.082500;3159.150859
180;1997;0.085250;3347.032677
190;1754;0.091750;3534.961720
200;2419;0.100250;3722.992141
210;3859;0.114000;3911.082614
220;282;0.129250;4099.247190
230;3815;0.126750;4287.468605
240;398;0.143500;4475.777139
250;1865;0.147750;4664.162638
260;1877;0.161250;4852.630194
270;2509;0.166500;5041.202004
280;669;0.179250;5229.900049
290;3737;0.186750;5418.667587
300;4001;0.199750;5607.454709
310;195;0.217750;5796.448488
320;2025;0.228000;5985.539935
330;1786;0.240750;6173.012639
340;2961;0.240000;6354.861737
350;482;0.243750;6535.786509
360;2754;0.245000;6716.501639
370;3730;0.252500;6897.612545
380;241;0.261000;7079.049948
390;3608;0.259500;7260.768863
400;1714;0.265000;7443.756885
410;2081;0.276250;7629.800575
420;431;0.283250;7818.807356
430;740;0.286500;8007.396604
440;3570;0.285250;8195.998446
450;2663;0.292250;8384.662009
460;1524;0.295750;8573.488661
470;44;0.304500;8762.395800
480;2233;0.305000;8951.389491
490;4004;0.300500;9140.256194
