k;seed;inf;tim
0;107;0.000500;6.138828
10;605;0.014000;190.371892
20;349;0.013000;375.959603
30;952;0.013750;561.612863
40;1767;0.013750;747.352075
50;1862;0.021000;933.425585
60;2657;0.028000;1119.536818
70;154;0.032250;1305.741171
80;3822;0.037750;1492.035681
90;591;0.051750;1678.489180
100;3639;0.057250;1864.952802
110;3865;0.056250;2051.518677
120;15;0.064000;2238.086828
130;1543;0.072500;2424.706440
140;1240;0.071000;2611.522603
150;2462;0.071750;2798.521262
160;513;0.084500;2985.546958
170;4034;0.087500;3172.659464
180;2299;0.095500;3359.802758
190;2978;0.099250;3546.997274
200;1136;0.103000;3734.254044
210;3412;0.108500;3921.557322
220;3567;0.117500;4109.038392
230;3993;0.127000;4296.554599
240;3804;0.137000;4484.143697
250;2509;0.149000;4671.890235
260;1080;0.169750;4859.666567
270;321;0.176000;5047.461141
280;4018;0.187750;5235.361128
290;3947;0.199750;5423.401283
300;3274;0.213750;5611.388609
310;3891;0.230500;5799.542225
320;2528;0.231500;5987.795916
330;1899;0.235000;6173.983973
340;1895;0.243000;6355.220525
350;43;0.241750;6535.799675
360;49;0.250000;6716.202491
370;1562;0.256250;6897.001050
380;267;0.269250;7078.071570
390;3746;0.262000;7259.572198
400;136;0.269000;7441.430280
410;3003;0.277500;7627.209513
420;3894;0.284500;7814.630576
430;147;0.289000;8001.691210
440;2508;0.293250;8188.803303
450;207;0.297250;8375.998713
460;1829;0.308500;8563.303315
470;2272;0.307250;8750.640867
480;2291;0.310250;8938.138438
490;3998;0.316750;9125.429434
