k;seed;inf;tim
0;107;0.000000;0.003411
10;3342;0.012500;65.804272
20;582;0.013250;134.043085
30;605;0.012500;202.030155
40;2005;0.014750;270.922428
50;3926;0.018500;340.058938
60;2657;0.024750;409.286135
70;4013;0.027750;478.490865
80;1572;0.034750;548.054630
90;557;0.040750;617.743157
100;2040;0.057000;687.483038
110;4035;0.057250;757.262847
120;301;0.055250;826.690166
130;3748;0.064000;896.359875
140;138;0.064750;966.011848
150;1623;0.068000;1035.394952
160;833;0.071000;1103.154328
170;1830;0.077250;1168.768721
180;3959;0.075500;1234.340608
190;2189;0.087000;1299.987400
200;76;0.087500;1365.814795
210;2025;0.091500;1431.869141
220;1263;0.099250;1497.884590
230;3641;0.096250;1564.092509
240;275;0.106500;1630.105310
250;8;0.114000;1696.313914
260;34;0.111000;1762.449568
270;2023;0.115000;1828.460593
280;3815;0.127000;1894.550083
290;3997;0.119250;1960.640942
300;3862;0.142000;2026.563336
310;1345;0.150250;2092.563179
320;3226;0.153000;2158.839229
330;3172;0.164250;2225.309228
340;669;0.168750;2291.564373
350;3820;0.171250;2357.947994
360;2016;0.172000;2424.339071
370;2027;0.194000;2490.935017
380;3710;0.199250;2557.385077
390;177;0.220750;2623.941880
400;3841;0.231000;2691.110386
410;3891;0.234000;2758.270661
420;972;0.232000;2824.988919
430;2612;0.238500;2891.635311
440;3266;0.242750;2958.270138
450;292;0.241500;3024.917966
460;3730;0.247000;3091.598763
470;1550;0.254250;3158.268445
480;234;0.259000;3225.823869
490;3163;0.261000;3293.113623
