k;seed;inf;tim
0;271;0.054200;0.000126
1;494;0.058300;0.032295
2;476;0.069800;0.063868
3;222;0.069300;0.095929
4;486;0.069200;0.128129
5;188;0.079900;0.160524
6;344;0.088500;0.193237
7;258;0.101100;0.225998
8;1;0.136800;0.259001
9;435;0.142400;0.292413
10;91;0.145400;0.326233
11;237;0.156100;0.360717
12;231;0.154100;0.395318
13;60;0.163700;0.430115
14;482;0.167200;0.465218
15;163;0.177300;0.500608
16;468;0.178200;0.536145
17;46;0.182000;0.571753
18;428;0.189000;0.607487
19;437;0.196400;0.643224
20;27;0.206800;0.679157
21;456;0.214400;0.715073
22;483;0.215800;0.750983
23;13;0.219100;0.787040
24;204;0.218600;0.823091
25;158;0.212100;0.859236
26;45;0.216100;0.895338
27;232;0.217900;0.931482
28;230;0.217300;0.967724
29;174;0.229100;1.004097
30;462;0.231100;1.040464
31;159;0.231500;1.076879
32;306;0.239800;1.113304
33;251;0.246600;1.149822
34;246;0.251500;1.186403
35;47;0.256100;1.222983
36;485;0.253300;1.259671
37;294;0.264400;1.296502
38;300;0.264500;1.333366
39;26;0.269900;1.370236
40;467;0.278400;1.407126
41;418;0.275500;1.443996
42;62;0.280100;1.480963
43;371;0.289700;1.517937
44;19;0.291000;1.554973
45;202;0.304600;1.592198
46;495;0.304000;1.629561
47;122;0.304000;1.666894
48;12;0.308600;1.704310
49;55;0.308800;1.741697
50;350;0.303900;1.779084
51;263;0.310100;1.816510
52;497;0.309900;1.853886
53;173;0.308200;1.891268
54;433;0.313100;1.928709
55;92;0.313300;1.966270
56;317;0.314500;2.003896
57;250;0.314800;2.041512
58;303;0.315300;2.079091
59;61;0.313800;2.116682
60;401;0.318900;2.154346
61;402;0.318900;2.192041
62;17;0.315600;2.229744
63;352;0.319900;2.267502
64;388;0.320900;2.305290
65;333;0.321200;2.343255
66;161;0.321000;2.381049
67;93;0.323500;2.418884
68;439;0.326300;2.456746
69;177;0.327600;2.494674
70;166;0.329100;2.532718
71;236;0.327100;2.570810
72;212;0.330300;2.608922
73;148;0.345000;2.646935
74;387;0.342600;2.685100
75;304;0.353500;2.723278
76;73;0.357600;2.761514
77;430;0.359900;2.799704
78;39;0.361100;2.838004
79;489;0.358600;2.876437
80;310;0.364300;2.914934
81;219;0.365100;2.953454
82;30;0.367200;2.991937
83;6;0.371600;3.030500
84;165;0.374600;3.069065
85;2;0.371300;3.107740
86;87;0.378200;3.146508
87;239;0.378700;3.185292
88;90;0.388100;3.224068
89;200;0.388000;3.262933
90;282;0.390200;3.301852
91;164;0.394300;3.340803
92;279;0.392200;3.379879
93;442;0.405400;3.418991
94;169;0.404600;3.458061
95;112;0.408400;3.497147
96;496;0.415100;3.536196
97;284;0.411300;3.575290
98;168;0.410800;3.614535
99;329;0.415100;3.653804
100;396;0.415500;3.692994
101;343;0.413700;3.732162
102;425;0.412700;3.771442
103;363;0.421600;3.810842
104;440;0.416700;3.850211
105;427;0.417700;3.889496
106;487;0.423800;3.928839
107;290;0.427300;3.968202
108;405;0.439000;4.007594
109;145;0.441700;4.046999
110;244;0.437000;4.086519
111;49;0.449500;4.126159
112;9;0.446700;4.165723
113;261;0.449000;4.205322
114;397;0.455100;4.244910
115;102;0.448700;4.284829
116;8;0.453500;4.325336
117;499;0.448900;4.364988
118;126;0.455800;4.404714
119;479;0.457900;4.444447
120;465;0.466200;4.484200
121;125;0.468900;4.523964
122;71;0.462700;4.563788
123;252;0.471300;4.603674
124;217;0.474500;4.643641
125;289;0.465500;4.683594
126;325;0.473200;4.723532
127;33;0.469700;4.763471
128;267;0.480300;4.803426
129;293;0.482500;4.843491
130;205;0.481600;4.883673
131;97;0.486000;4.923869
132;373;0.480200;4.964047
133;134;0.479800;5.004311
134;436;0.485900;5.044545
135;269;0.486800;5.084684
136;80;0.486400;5.124864
137;105;0.488800;5.165079
138;330;0.490300;5.205282
139;337;0.496800;5.245587
140;256;0.494600;5.285846
141;390;0.502000;5.326126
142;331;0.502700;5.366375
143;481;0.509100;5.406786
144;196;0.508900;5.447259
145;278;0.518200;5.487677
146;275;0.513400;5.528072
147;464;0.515400;5.568444
148;38;0.522400;5.608922
149;150;0.528400;5.649455
150;137;0.521400;5.689898
151;266;0.524900;5.730360
152;412;0.529100;5.770815
153;383;0.522000;5.811241
154;416;0.527000;5.851878
155;32;0.529500;5.892432
156;40;0.528400;5.932950
157;351;0.533500;5.973480
158;488;0.528000;6.014020
159;408;0.533400;6.054583
160;215;0.532100;6.095189
161;381;0.526100;6.135782
162;262;0.529000;6.176377
163;458;0.532500;6.217007
