k;seed;inf;tim
0;271;0.000000;0.000031
1;499;0.000000;0.008511
2;174;0.000000;0.016178
3;477;0.000000;0.023977
4;478;0.000000;0.031935
5;454;0.000000;0.040060
6;484;0.000000;0.048378
7;215;0.000000;0.056764
8;204;0.000000;0.065291
9;497;0.000000;0.073906
10;1;0.000000;0.082644
11;458;0.000000;0.091614
12;451;0.000000;0.100740
13;475;0.000000;0.110039
14;433;0.000000;0.119489
15;419;0.000000;0.129143
16;260;0.000000;0.138920
17;412;0.000000;0.148834
18;157;0.000000;0.158961
19;358;0.000000;0.169199
20;431;0.000000;0.179592
21;389;0.000000;0.190140
22;365;0.000000;0.200800
23;188;0.000000;0.211701
24;237;0.000000;0.222709
25;213;0.000000;0.233803
26;219;0.000000;0.245029
27;487;0.000000;0.256485
28;381;0.000000;0.268083
29;250;0.000000;0.279781
30;252;0.000000;0.291594
31;396;0.000000;0.303607
32;193;0.000000;0.315732
33;417;0.000000;0.328011
34;262;0.000000;0.340363
35;408;0.000000;0.352872
36;137;0.000000;0.365580
37;109;0.000000;0.378397
38;375;0.000000;0.391396
39;290;0.000000;0.404520
40;133;0.000000;0.417828
41;232;0.000000;0.431292
42;159;0.000000;0.444930
43;348;0.000000;0.458788
44;160;0.000000;0.472856
45;259;0.000000;0.487071
46;363;0.000000;0.501490
47;212;0.000100;0.516126
48;149;0.000000;0.530899
49;146;0.000100;0.545891
50;178;0.000100;0.561129
51;242;0.000200;0.576566
52;150;0.000200;0.592218
53;236;0.000400;0.608103
54;449;0.000400;0.624162
55;248;0.000800;0.640491
56;205;0.000900;0.657035
57;130;0.000800;0.673962
58;7;0.001000;0.691068
59;98;0.001300;0.708414
60;78;0.001200;0.725985
61;386;0.001800;0.743893
62;145;0.001900;0.762185
63;436;0.002300;0.780793
64;202;0.002200;0.799789
65;401;0.002500;0.819096
66;123;0.002500;0.838603
67;128;0.002600;0.858445
68;195;0.003300;0.878476
69;197;0.003500;0.898793
70;409;0.003500;0.919327
71;121;0.003800;0.940171
72;434;0.004100;0.961281
73;253;0.004600;0.982771
74;136;0.004700;1.004572
75;240;0.005000;1.026713
76;194;0.005900;1.049086
77;345;0.005200;1.071704
78;144;0.006300;1.094739
79;11;0.007000;1.118001
80;251;0.006400;1.141460
81;235;0.006800;1.165205
82;66;0.007800;1.189367
83;407;0.008000;1.213903
84;169;0.008400;1.238827
85;220;0.008100;1.264022
86;361;0.008100;1.289478
87;337;0.010000;1.315246
88;90;0.009800;1.341315
89;490;0.009300;1.367801
90;120;0.009800;1.394636
91;192;0.010900;1.421767
92;115;0.010200;1.449234
93;72;0.011900;1.477077
94;132;0.011600;1.505252
95;277;0.012600;1.533782
96;126;0.011500;1.562573
97;152;0.012300;1.591729
98;211;0.012900;1.621106
