k;seed;inf;tim
0;263;0.159600;0.090395
1;474;0.199400;0.242950
2;434;0.212200;0.395484
3;320;0.298100;0.548418
4;470;0.339800;0.701188
5;26;0.350800;0.854029
6;205;0.354700;1.007210
7;478;0.370600;1.160506
8;417;0.377100;1.313740
9;472;0.382100;1.467020
10;160;0.394200;1.620620
11;1;0.397700;1.774215
12;182;0.411500;1.927877
13;257;0.412800;2.081650
14;343;0.421000;2.235628
15;380;0.437200;2.389627
16;450;0.448500;2.543657
17;300;0.455900;2.697810
18;2;0.465500;2.851851
19;240;0.466700;3.006063
20;392;0.460900;3.160450
21;315;0.473600;3.314604
22;250;0.492000;3.469043
23;463;0.486700;3.623460
24;237;0.500400;3.777909
25;254;0.514700;3.932472
26;195;0.525300;4.087093
27;465;0.538900;4.242026
28;456;0.542800;4.396839
29;159;0.557900;4.551581
30;259;0.558000;4.706379
31;476;0.566900;4.861197
32;244;0.571700;5.016182
33;283;0.576500;5.171373
34;334;0.585700;5.326303
35;413;0.581900;5.481288
36;269;0.588800;5.636398
37;331;0.596800;5.791421
38;458;0.596600;5.946796
39;169;0.600400;6.102034
40;398;0.606600;6.257289
41;188;0.600600;6.412540
42;364;0.612600;6.567884
43;58;0.620900;6.723158
44;439;0.616100;6.878420
45;35;0.620500;7.033837
46;201;0.632200;7.189386
47;143;0.630100;7.344946
48;93;0.638900;7.500332
49;78;0.644300;7.655873
50;47;0.647200;7.811580
51;219;0.649800;7.967240
52;204;0.655800;8.122846
53;241;0.661200;8.278394
54;466;0.663500;8.433927
55;151;0.669500;8.589577
56;220;0.673800;8.745338
57;248;0.668000;8.901145
58;177;0.674100;9.056908
59;448;0.682000;9.212701
60;142;0.686800;9.368426
61;94;0.688100;9.524222
62;161;0.684100;9.680085
63;116;0.692900;9.835743
64;480;0.693300;9.991758
65;64;0.697400;10.147664
66;477;0.698000;10.303460
67;77;0.697100;10.459251
68;42;0.702300;10.615223
69;144;0.699800;10.770994
70;218;0.705400;10.926889
71;38;0.700700;11.082892
72;271;0.716500;11.238757
73;427;0.715300;11.394715
74;388;0.716400;11.550685
75;302;0.719700;11.706685
76;495;0.723000;11.862912
77;487;0.725900;12.019280
78;258;0.727300;12.175409
79;402;0.733000;12.331703
80;396;0.734400;12.487890
81;29;0.737200;12.644260
82;242;0.742800;12.800580
83;255;0.741600;12.956896
84;236;0.742700;13.113260
85;81;0.750700;13.269597
86;121;0.755400;13.426116
87;366;0.749600;13.582603
88;473;0.753400;13.739116
89;440;0.755100;13.895493
90;435;0.757900;14.051878
91;69;0.758600;14.208594
92;208;0.761500;14.364963
93;246;0.759800;14.521306
94;492;0.760400;14.677783
95;488;0.766200;14.834223
96;63;0.770100;14.990991
97;496;0.775100;15.147365
98;189;0.775200;15.303709
99;490;0.780600;15.460159
100;192;0.782200;15.616610
101;193;0.787000;15.772969
102;5;0.786600;15.929497
103;186;0.790200;16.086105
104;187;0.792400;16.242515
105;10;0.795100;16.399061
106;346;0.789100;16.555586
107;301;0.794800;16.711979
108;306;0.799900;16.868476
109;363;0.800100;17.025048
110;285;0.800700;17.181591
111;297;0.805600;17.338039
112;60;0.804500;17.494400
113;330;0.805100;17.650868
114;316;0.812900;17.807357
115;183;0.809500;17.963821
116;486;0.812900;18.120327
117;437;0.812000;18.276747
118;403;0.819900;18.433156
119;233;0.815300;18.589615
120;71;0.819800;18.746154
121;310;0.822800;18.902727
122;453;0.827700;19.059180
123;273;0.829800;19.215782
124;211;0.832500;19.372200
125;284;0.832500;19.528627
126;389;0.839200;19.685074
127;368;0.839800;19.841727
128;74;0.845200;19.998350
129;251;0.844600;20.154877
130;279;0.851900;20.311296
131;245;0.851200;20.467940
132;468;0.847000;20.624468
133;156;0.853400;20.781018
134;471;0.852900;20.937825
135;452;0.853800;21.094459
136;278;0.859800;21.250901
137;9;0.857500;21.407384
138;469;0.861500;21.563790
139;46;0.862800;21.720356
140;325;0.858700;21.876986
141;7;0.865700;22.033575
142;348;0.867100;22.190110
143;296;0.871000;22.346631
144;399;0.869700;22.503126
145;415;0.875300;22.659644
146;499;0.875900;22.816191
147;180;0.874500;22.972683
148;226;0.880100;23.129285
149;328;0.878600;23.285825
150;11;0.878500;23.442296
151;459;0.881400;23.598756
152;109;0.883000;23.755079
153;350;0.883500;23.911659
154;232;0.885700;24.068082
155;84;0.887300;24.224560
156;262;0.887400;24.381097
157;382;0.889400;24.537407
158;152;0.887700;24.693818
159;253;0.893900;24.850259
160;352;0.894700;25.006605
161;404;0.894000;25.162920
162;133;0.896900;25.319291
163;475;0.896000;25.475718
164;223;0.901400;25.632040
165;167;0.900200;25.788332
166;409;0.899300;25.945031
167;305;0.902300;26.101518
168;227;0.901100;26.257748
169;260;0.904000;26.413993
170;407;0.902900;26.570201
171;252;0.908100;26.726413
172;140;0.906300;26.882785
173;446;0.906400;27.039032
174;309;0.910500;27.195452
175;323;0.908400;27.351684
176;30;0.910300;27.507808
177;171;0.911400;27.664044
178;332;0.914000;27.820221
179;351;0.914300;27.976527
180;438;0.917000;28.133067
181;217;0.917900;28.289198
182;491;0.916800;28.445405
183;462;0.918400;28.601548
184;432;0.916300;28.757789
185;356;0.918800;28.913956
186;249;0.920700;29.070040
187;107;0.923900;29.226477
188;145;0.922500;29.382686
189;431;0.925000;29.538825
190;132;0.925100;29.695039
191;376;0.927100;29.851076
192;443;0.924800;30.007359
193;441;0.924300;30.163696
194;210;0.928300;30.319994
195;286;0.927800;30.479571
196;324;0.929300;30.635643
197;18;0.931000;30.791625
198;329;0.929900;30.947741
199;22;0.928200;31.103833
200;482;0.933900;31.259804
201;493;0.929400;31.415846
202;44;0.934700;31.571713
203;464;0.935500;31.727633
204;43;0.931600;31.883606
205;124;0.935800;32.039396
206;290;0.935000;32.195368
207;137;0.937100;32.351329
208;311;0.937500;32.507072
209;199;0.937100;32.662970
210;377;0.938500;32.818838
211;231;0.937400;32.974665
212;381;0.940600;33.130576
213;39;0.943500;33.286199
214;198;0.940200;33.441935
215;426;0.941000;33.597751
216;70;0.942400;33.753504
217;13;0.943700;33.909013
218;494;0.943700;34.064636
219;48;0.943000;34.220252
220;102;0.944800;34.375907
221;100;0.943500;34.531565
222;90;0.944300;34.687059
223;362;0.946500;34.842508
224;3;0.947700;34.998027
225;120;0.947700;35.153494
226;371;0.947700;35.308887
227;175;0.947600;35.464309
228;234;0.949400;35.619752
229;498;0.949600;35.775096
230;173;0.949600;35.930598
231;436;0.949900;36.086089
232;447;0.953200;36.241507
233;99;0.951000;36.396953
234;148;0.953300;36.552187
235;428;0.953100;36.707403
236;215;0.955000;36.862791
237;319;0.956300;37.018062
238;420;0.956600;37.174520
239;53;0.956100;37.329705
240;489;0.957700;37.484839
241;442;0.959300;37.640223
242;243;0.959800;37.795347
243;294;0.962000;37.950555
244;197;0.961000;38.105774
245;80;0.961500;38.260826
246;139;0.960600;38.415993
247;158;0.963600;38.571227
248;384;0.963200;38.726340
249;345;0.964700;38.881303
250;335;0.964200;39.036422
251;92;0.965300;39.191534
252;497;0.964000;39.346454
253;444;0.965400;39.501479
254;111;0.966900;39.656487
255;129;0.967200;39.811491
256;358;0.968400;39.966422
257;190;0.967800;40.122037
258;272;0.968400;40.279431
259;57;0.969300;40.434219
260;400;0.969800;40.589102
261;122;0.969900;40.743858
262;276;0.969700;40.898977
263;101;0.971400;41.053774
264;112;0.972000;41.208537
265;56;0.971100;41.363355
266;479;0.972900;41.518125
267;202;0.973600;41.672767
268;408;0.973500;41.827745
269;235;0.973600;41.982607
270;303;0.973200;42.137391
271;354;0.974100;42.292030
272;86;0.975300;42.446751
273;339;0.975100;42.601331
274;393;0.977300;42.755983
275;62;0.975300;42.910518
276;391;0.978200;43.065027
277;421;0.978200;43.219447
278;155;0.978200;43.373946
279;118;0.979400;43.528370
280;322;0.979800;43.682671
281;410;0.978700;43.837069
282;165;0.978400;43.991442
283;372;0.980800;44.145938
284;162;0.979600;44.300183
285;267;0.981800;44.454720
286;337;0.980700;44.609062
287;72;0.981200;44.763302
288;149;0.981700;44.917513
289;313;0.982900;45.071747
290;373;0.982400;45.225831
291;375;0.981700;45.379891
292;344;0.983300;45.534020
293;451;0.982700;45.688173
294;19;0.983100;45.842238
295;422;0.983300;45.996500
296;170;0.983800;46.150516
297;154;0.983600;46.304510
298;308;0.984900;46.458350
299;225;0.983900;46.612191
300;370;0.984000;46.766156
301;96;0.984800;46.920295
302;153;0.985300;47.074066
303;483;0.984900;47.227954
304;268;0.984200;47.381668
305;40;0.985600;47.535489
306;321;0.985400;47.689268
307;445;0.986200;47.843002
308;113;0.986600;47.996586
309;85;0.986100;48.150339
310;484;0.986200;48.303934
311;4;0.987800;48.457752
312;221;0.987100;48.611383
313;247;0.985600;48.764893
314;136;0.986200;48.918435
315;25;0.987400;49.071984
316;15;0.988100;49.225519
317;157;0.987800;49.379023
318;357;0.987400;49.532409
319;108;0.989000;49.685898
320;224;0.988200;49.839254
321;73;0.988200;49.992690
322;8;0.988700;50.146163
323;347;0.988200;50.299373
324;230;0.988300;50.452666
325;138;0.988900;50.605869
326;374;0.988700;50.759088
327;196;0.988200;50.912371
328;467;0.988800;51.065570
329;424;0.989300;51.218681
330;110;0.988500;51.371703
331;416;0.989200;51.524613
332;131;0.989800;51.677700
333;166;0.989800;51.830710
334;222;0.990000;51.983597
335;106;0.989700;52.136659
336;163;0.990600;52.289527
337;114;0.990100;52.442378
338;126;0.989800;52.595287
339;97;0.989900;52.748107
340;91;0.989900;52.900966
341;27;0.989400;53.053791
342;125;0.990100;53.206605
343;293;0.990400;53.359430
344;24;0.990900;53.512018
345;0;0.990700;53.664677
346;31;0.991300;53.817205
347;179;0.991300;53.970084
348;369;0.992100;54.122682
349;6;0.992300;54.275404
350;214;0.991800;54.428005
351;119;0.991100;54.580431
352;12;0.992000;54.732769
